Waiting for operation to complete...
Transcript: Juliusz Słowacki Testament mój żyłem z wami cierpiałem i płakałem z wami nigdy mi kto szlachetny nie był obojętny liczba zarzucam i dalej idą w cień z duchami A jak gdyby to szczęście było idę smętny nie zostawiłem tutaj żadnego dziedzica ani dla mojej lutni ani dla imienia imię moje tak przeszło jako Błyskawica i będzie jak dźwięk pusty trwać przez pokolenia Jakby coś się nie znali w podaniach przekażcie że dla ojczyzny starał moje lata młode Buki okręt walczył siedziałem na maszcie a gdy tonął z okrętem poszedłem pod wodę Ale kiedyś o smutnych losach zadumany mojej biednej ojczyzny Poznań kto szlachetny że płaszcz na moim duchu
Confidence: 0.8817372918128967
Word: Juliusz, start_time: 0.0, end_time: 1.1
Word: przekażcie, start_time: 39.1, end_time: 39.6
Word: że, start_time: 39.6, end_time: 40.6
Word: dla, start_time: 40.6, end_time: 40.8
Word: ojczyzny, start_time: 40.8, end_time: 41.2
Word: starał, start_time: 41.2, end_time: 41.8
Word: moje, start_time: 41.8, end_time: 42.1
Word: lata, start_time: 42.1, end_time: 42.4
Word: młode, start_time: 42.4, end_time: 42.8
Word: Buki, start_time: 42.8, end_time: 44.2
Word: okręt, start_time: 44.2, end_time: 44.6
Word: walczył, start_time: 44.6, end_time: 45.1
Word: siedziałem, start_time: 45.1, end_time: 46.1
Word: na, start_time: 46.1, end_time: 46.2
Word: maszcie, start_time: 46.2, end_time: 46.5
Word: a, start_time: 46.5, end_time: 46.7
Word: gdy, start_time: 46.7, end_time: 47.7
Word: tonął, start_time: 47.7, end_time: 48.0
Word: z, start_time: 48.0, end_time: 48.1
Word: okrętem, start_time: 48.1, end_time: 49.0
Word: poszedłem, start_time: 49.0, end_time: 49.5
Word: pod, start_time: 49.5, end_time: 49.7
Word: wodę, start_time: 49.7, end_time: 50.0
Word: Ale, start_time: 50.0, end_time: 51.7
Word: kiedyś, start_time: 51.7, end_time: 52.1
Word: o, start_time: 52.1, end_time: 52.3
Word: smutnych, start_time: 52.3, end_time: 53.1
Word: losach, start_time: 53.1, end_time: 53.5
Word: zadumany, start_time: 53.5, end_time: 54.1
Word: mojej, start_time: 54.1, end_time: 54.8
Word: biednej, start_time: 54.8, end_time: 55.2
Word: ojczyzny, start_time: 55.2, end_time: 56.0
Word: Poznań, start_time: 56.0, end_time: 57.0
Word: kto, start_time: 57.0, end_time: 57.2
Word: szlachetny, start_time: 57.2, end_time: 57.7
Word: że, start_time: 57.7, end_time: 58.7
Word: płaszcz, start_time: 58.7, end_time: 59.1
Word: na, start_time: 59.1, end_time: 59.2
Word: moim, start_time: 59.2, end_time: 59.5
Word: duchu, start_time: 59.5, end_time: 59.8
Transcript: zebrany lecz świetność ami moich dawnych przodków świetny niech przyjaciele Moi w nocy się zgromadzą i biedne serce moje spalą w aloesie i tej która mi dała to serce oddadzą tak się matko wypłaca świat gdy podniesie niech przyjaciele Moi świętą przy pucharze i zabiją mój pogrzeb oraz własną wiedzę jeżeli będę duchem to się im pokażę jeśli Bóg nie uwolni od ręki nie przyjdę lecz zaklinam Niech żywi nie tracą nadziei i przed narodem niosą Oświaty kaganiec A kiedy trzeba na śmierć idą po kolei jak kamienie przez Boga rzucane na szaniec co do mnie Ja zostawiam maleńką to drużbę tych co mogli pokochać serce moje dumne znać Że srogą spełniłem twardą Bożą służbę i zgodziłem się to mieć nie płakał trumnę kto drugi tak bez świateł
Confidence: 0.8854411244392395
Word: zebrany, start_time: 59.9, end_time: 61.0
Word: lecz, start_time: 61.0, end_time: 61.5
Word: świetność, start_time: 61.5, end_time: 62.0
Word: ami, start_time: 62.0, end_time: 62.3
Word: moich, start_time: 62.3, end_time: 62.6
Word: dawnych, start_time: 62.6, end_time: 62.8
Word: przodków, start_time: 62.8, end_time: 63.5
Word: świetny, start_time: 63.5, end_time: 64.0
Word: niech, start_time: 64.0, end_time: 65.6
Word: przyjaciele, start_time: 65.6, end_time: 66.1
Word: Moi, start_time: 66.1, end_time: 66.3
Word: w, start_time: 66.3, end_time: 66.4
Word: nocy, start_time: 66.4, end_time: 66.7
Word: się, start_time: 66.7, end_time: 66.9
Word: zgromadzą, start_time: 66.9, end_time: 67.5
Word: i, start_time: 67.5, end_time: 67.7
Word: biedne, start_time: 67.7, end_time: 68.6
Word: serce, start_time: 68.6, end_time: 68.8
Word: moje, start_time: 68.8, end_time: 69.3
Word: spalą, start_time: 69.3, end_time: 69.6
Word: w, start_time: 69.6, end_time: 69.9
Word: aloesie, start_time: 69.9, end_time: 70.2
Word: i, start_time: 70.2, end_time: 70.5
Word: tej, start_time: 70.5, end_time: 71.7
Word: która, start_time: 71.7, end_time: 72.1
Word: mi, start_time: 72.1, end_time: 72.2
Word: dała, start_time: 72.2, end_time: 72.5
Word: to, start_time: 72.5, end_time: 72.6
Word: serce, start_time: 72.6, end_time: 73.1
Word: oddadzą, start_time: 73.1, end_time: 73.7
Word: tak, start_time: 73.7, end_time: 74.7
Word: się, start_time: 74.7, end_time: 74.8
Word: matko, start_time: 74.8, end_time: 75.1
Word: wypłaca, start_time: 75.1, end_time: 75.5
Word: świat, start_time: 75.5, end_time: 75.9
Word: gdy, start_time: 75.9, end_time: 76.2
Word: podniesie, start_time: 76.2, end_time: 76.9
Word: niech, start_time: 76.9, end_time: 78.1
Word: przyjaciele, start_time: 78.1, end_time: 78.6
Word: Moi, start_time: 78.6, end_time: 78.8
Word: świętą, start_time: 78.8, end_time: 79.3
Word: przy, start_time: 79.3, end_time: 79.5
Word: pucharze, start_time: 79.5, end_time: 79.9
Word: i, start_time: 79.9, end_time: 80.1
Word: zabiją, start_time: 80.1, end_time: 80.9
Word: mój, start_time: 80.9, end_time: 81.2
Word: pogrzeb, start_time: 81.2, end_time: 81.5
Word: oraz, start_time: 81.5, end_time: 82.2
Word: własną, start_time: 82.2, end_time: 82.6
Word: wiedzę, start_time: 82.6, end_time: 82.7
Word: jeżeli, start_time: 82.7, end_time: 84.0
Word: będę, start_time: 84.0, end_time: 84.3
Word: duchem, start_time: 84.3, end_time: 84.6
Word: to, start_time: 84.6, end_time: 85.0
Word: się, start_time: 85.0, end_time: 85.1
Word: im, start_time: 85.1, end_time: 85.3
Word: pokażę, start_time: 85.3, end_time: 85.8
Word: jeśli, start_time: 85.8, end_time: 86.9
Word: Bóg, start_time: 86.9, end_time: 87.1
Word: nie, start_time: 87.1, end_time: 87.3
Word: uwolni, start_time: 87.3, end_time: 87.8
Word: od, start_time: 87.8, end_time: 87.9
Word: ręki, start_time: 87.9, end_time: 88.3
Word: nie, start_time: 88.3, end_time: 88.4
Word: przyjdę, start_time: 88.4, end_time: 89.3
Word: lecz, start_time: 89.3, end_time: 90.2
Word: zaklinam, start_time: 90.2, end_time: 90.6
Word: Niech, start_time: 90.6, end_time: 91.0
Word: żywi, start_time: 91.0, end_time: 92.0
Word: nie, start_time: 92.0, end_time: 92.3
Word: tracą, start_time: 92.3, end_time: 92.5
Word: nadziei, start_time: 92.5, end_time: 92.9
Word: i, start_time: 92.9, end_time: 93.5
Word: przed, start_time: 93.5, end_time: 94.1
Word: narodem, start_time: 94.1, end_time: 94.4
Word: niosą, start_time: 94.4, end_time: 94.7
Word: Oświaty, start_time: 94.7, end_time: 95.1
Word: kaganiec, start_time: 95.1, end_time: 95.5
Word: A, start_time: 95.5, end_time: 96.2
Word: kiedy, start_time: 96.2, end_time: 96.8
Word: trzeba, start_time: 96.8, end_time: 97.2
Word: na, start_time: 97.2, end_time: 97.3
Word: śmierć, start_time: 97.3, end_time: 97.4
Word: idą, start_time: 97.4, end_time: 97.9
Word: po, start_time: 97.9, end_time: 98.2
Word: kolei, start_time: 98.2, end_time: 98.3
Word: jak, start_time: 98.3, end_time: 98.8
Word: kamienie, start_time: 98.8, end_time: 99.4
Word: przez, start_time: 99.4, end_time: 99.9
Word: Boga, start_time: 99.9, end_time: 100.2
Word: rzucane, start_time: 100.2, end_time: 100.8
Word: na, start_time: 100.8, end_time: 101.0
Word: szaniec, start_time: 101.0, end_time: 101.1
Word: co, start_time: 101.1, end_time: 102.8
Word: do, start_time: 102.8, end_time: 103.0
Word: mnie, start_time: 103.0, end_time: 103.1
Word: Ja, start_time: 103.1, end_time: 104.2
Word: zostawiam, start_time: 104.2, end_time: 104.8
Word: maleńką, start_time: 104.8, end_time: 105.4
Word: to, start_time: 105.4, end_time: 105.6
Word: drużbę, start_time: 105.6, end_time: 106.1
Word: tych, start_time: 106.1, end_time: 107.4
Word: co, start_time: 107.4, end_time: 107.5
Word: mogli, start_time: 107.5, end_time: 107.9
Word: pokochać, start_time: 107.9, end_time: 108.3
Word: serce, start_time: 108.3, end_time: 108.8
Word: moje, start_time: 108.8, end_time: 109.0
Word: dumne, start_time: 109.0, end_time: 109.2
Word: znać, start_time: 109.2, end_time: 111.4
Word: Że, start_time: 111.4, end_time: 111.7
Word: srogą, start_time: 111.7, end_time: 112.1
Word: spełniłem, start_time: 112.1, end_time: 112.7
Word: twardą, start_time: 112.7, end_time: 113.2
Word: Bożą, start_time: 113.2, end_time: 113.6
Word: służbę, start_time: 113.6, end_time: 114.2
Word: i, start_time: 114.2, end_time: 114.2
Word: zgodziłem, start_time: 114.2, end_time: 115.3
Word: się, start_time: 115.3, end_time: 115.3
Word: to, start_time: 115.3, end_time: 115.6
Word: mieć, start_time: 115.6, end_time: 115.7
Word: nie, start_time: 115.7, end_time: 115.9
Word: płakał, start_time: 115.9, end_time: 116.2
Word: trumnę, start_time: 116.2, end_time: 116.8
Word: kto, start_time: 116.8, end_time: 118.5
Word: drugi, start_time: 118.5, end_time: 118.8
Word: tak, start_time: 118.8, end_time: 119.1
Word: bez, start_time: 119.1, end_time: 119.3
Word: świateł, start_time: 119.3, end_time: 119.7
Transcript: Lasków się zgodzi Iść taką obojętność jak ja mieć dla świata być sternikiem duchami napełnionej Łodzi i tak cicho odlecieć jak duch gdy od lat a jednak zostanie po mnie ta siła fatalna co mi żywemu na nic tylko czoło zdobi rzeczy po śmierci was będzie gniotła niewidzialna aż was zjadacze chleba w aniołów przerobi
Confidence: 0.9627672433853149
Word: Lasków, start_time: 119.9, end_time: 120.3
Word: się, start_time: 120.3, end_time: 120.5
Word: zgodzi, start_time: 120.5, end_time: 120.9
Word: Iść, start_time: 120.9, end_time: 121.4
Word: taką, start_time: 121.4, end_time: 122.3
Word: obojętność, start_time: 122.3, end_time: 122.4
Word: jak, start_time: 122.4, end_time: 123.3
Word: ja, start_time: 123.3, end_time: 123.5
Word: mieć, start_time: 123.5, end_time: 123.8
Word: dla, start_time: 123.8, end_time: 123.9
Word: świata, start_time: 123.9, end_time: 124.1
Word: być, start_time: 124.1, end_time: 125.6
Word: sternikiem, start_time: 125.6, end_time: 126.3
Word: duchami, start_time: 126.3, end_time: 126.9
Word: napełnionej, start_time: 126.9, end_time: 127.6
Word: Łodzi, start_time: 127.6, end_time: 127.9
Word: i, start_time: 127.9, end_time: 128.0
Word: tak, start_time: 128.0, end_time: 128.9
Word: cicho, start_time: 128.9, end_time: 129.2
Word: odlecieć, start_time: 129.2, end_time: 129.8
Word: jak, start_time: 129.8, end_time: 130.1
Word: duch, start_time: 130.1, end_time: 130.4
Word: gdy, start_time: 130.4, end_time: 130.7
Word: od, start_time: 130.7, end_time: 130.8
Word: lat, start_time: 130.8, end_time: 131.1
Word: a, start_time: 131.1, end_time: 131.2
Word: jednak, start_time: 131.2, end_time: 133.9
Word: zostanie, start_time: 133.9, end_time: 134.4
Word: po, start_time: 134.4, end_time: 134.5
Word: mnie, start_time: 134.5, end_time: 134.6
Word: ta, start_time: 134.6, end_time: 134.9
Word: siła, start_time: 134.9, end_time: 135.2
Word: fatalna, start_time: 135.2, end_time: 135.3
Word: co, start_time: 135.3, end_time: 136.5
Word: mi, start_time: 136.5, end_time: 136.6
Word: żywemu, start_time: 136.6, end_time: 137.0
Word: na, start_time: 137.0, end_time: 137.2
Word: nic, start_time: 137.2, end_time: 137.4
Word: tylko, start_time: 137.4, end_time: 137.8
Word: czoło, start_time: 137.8, end_time: 138.2
Word: zdobi, start_time: 138.2, end_time: 138.6
Word: rzeczy, start_time: 138.6, end_time: 139.8
Word: po, start_time: 139.8, end_time: 139.9
Word: śmierci, start_time: 139.9, end_time: 140.3
Word: was, start_time: 140.3, end_time: 140.6
Word: będzie, start_time: 140.6, end_time: 140.9
Word: gniotła, start_time: 140.9, end_time: 141.4
Word: niewidzialna, start_time: 141.4, end_time: 142.1
Word: aż, start_time: 142.1, end_time: 142.7
Word: was, start_time: 142.7, end_time: 142.9
Word: zjadacze, start_time: 142.9, end_time: 143.5
Word: chleba, start_time: 143.5, end_time: 143.6
Word: w, start_time: 143.6, end_time: 144.0
Word: aniołów, start_time: 144.0, end_time: 144.8
Word: przerobi, start_time: 144.8, end_time: 145.1
