Waiting for operation to complete...
Transcript: Nazajutrz Rozmowa przy stole człowiek rozsądny uderzając w wieku swej tabakiery Szkoda jednak że teraz już długo nie usłyszymy opery dobrze wykonanej płynie to stay fatalnej przesady człowiek o twarzy mulata tak tak mówiłem to nieraz runy Anny zbyt żywo ją wczoraj przejmowała była niby opętana przez cały Antrakt leżała bez przytomności a w scenie drugiego aktu miała atak nerwowy jegomość bez znaczenia pach co pan mówi człowiek o twarzy mulata ależ tak atak nerwowy i nie można jej było wynieść z teatru ja na łaskę nieba sądzę że te ataki nie są niebezpieczne to usłyszymy znów senior
Confidence: 0.9574217796325684
Word: Nazajutrz, start_time: 0.0, end_time: 1.2
Word: była, start_time: 27.8, end_time: 28.6
Word: niby, start_time: 28.6, end_time: 28.8
Word: opętana, start_time: 28.8, end_time: 29.6
Word: przez, start_time: 29.6, end_time: 30.1
Word: cały, start_time: 30.1, end_time: 30.5
Word: Antrakt, start_time: 30.5, end_time: 31.2
Word: leżała, start_time: 31.2, end_time: 32.2
Word: bez, start_time: 32.2, end_time: 32.3
Word: przytomności, start_time: 32.3, end_time: 33.2
Word: a, start_time: 33.2, end_time: 33.3
Word: w, start_time: 33.3, end_time: 34.2
Word: scenie, start_time: 34.2, end_time: 34.6
Word: drugiego, start_time: 34.6, end_time: 35.1
Word: aktu, start_time: 35.1, end_time: 35.7
Word: miała, start_time: 35.7, end_time: 36.6
Word: atak, start_time: 36.6, end_time: 37.1
Word: nerwowy, start_time: 37.1, end_time: 37.5
Word: jegomość, start_time: 37.5, end_time: 39.0
Word: bez, start_time: 39.0, end_time: 39.6
Word: znaczenia, start_time: 39.6, end_time: 40.1
Word: pach, start_time: 40.1, end_time: 41.3
Word: co, start_time: 41.3, end_time: 42.3
Word: pan, start_time: 42.3, end_time: 42.5
Word: mówi, start_time: 42.5, end_time: 42.6
Word: człowiek, start_time: 42.6, end_time: 43.9
Word: o, start_time: 43.9, end_time: 44.0
Word: twarzy, start_time: 44.0, end_time: 44.5
Word: mulata, start_time: 44.5, end_time: 44.9
Word: ależ, start_time: 44.9, end_time: 46.1
Word: tak, start_time: 46.1, end_time: 46.4
Word: atak, start_time: 46.4, end_time: 47.3
Word: nerwowy, start_time: 47.3, end_time: 47.6
Word: i, start_time: 47.6, end_time: 48.0
Word: nie, start_time: 48.0, end_time: 48.7
Word: można, start_time: 48.7, end_time: 48.9
Word: jej, start_time: 48.9, end_time: 49.0
Word: było, start_time: 49.0, end_time: 49.5
Word: wynieść, start_time: 49.5, end_time: 50.0
Word: z, start_time: 50.0, end_time: 50.3
Word: teatru, start_time: 50.3, end_time: 50.8
Word: ja, start_time: 50.8, end_time: 51.6
Word: na, start_time: 51.6, end_time: 52.4
Word: łaskę, start_time: 52.4, end_time: 52.8
Word: nieba, start_time: 52.8, end_time: 53.1
Word: sądzę, start_time: 53.1, end_time: 54.3
Word: że, start_time: 54.3, end_time: 54.6
Word: te, start_time: 54.6, end_time: 54.8
Word: ataki, start_time: 54.8, end_time: 55.1
Word: nie, start_time: 55.1, end_time: 55.5
Word: są, start_time: 55.5, end_time: 55.7
Word: niebezpieczne, start_time: 55.7, end_time: 56.5
Word: to, start_time: 56.5, end_time: 57.3
Word: usłyszymy, start_time: 57.3, end_time: 58.4
Word: znów, start_time: 58.4, end_time: 58.8
Word: senior, start_time: 58.8, end_time: 59.5
Transcript: człowiek rozsądny zażywając tabakę trudno to będzie gdy siniora umarła tej nocy ściśle o 2:00
Confidence: 0.8436141014099121
Word: człowiek, start_time: 59.9, end_time: 60.8
Word: rozsądny, start_time: 60.8, end_time: 61.0
Word: zażywając, start_time: 61.0, end_time: 62.6
Word: tabakę, start_time: 62.6, end_time: 62.7
Word: trudno, start_time: 62.7, end_time: 64.9
Word: to, start_time: 64.9, end_time: 65.0
Word: będzie, start_time: 65.0, end_time: 65.4
Word: gdy, start_time: 65.4, end_time: 66.2
Word: siniora, start_time: 66.2, end_time: 66.9
Word: umarła, start_time: 66.9, end_time: 67.8
Word: tej, start_time: 67.8, end_time: 68.1
Word: nocy, start_time: 68.1, end_time: 68.6
Word: ściśle, start_time: 68.6, end_time: 70.0
Word: o, start_time: 70.0, end_time: 70.2
Word: 2:00, start_time: 70.2, end_time: 71.6
