Waiting for operation to complete...
Transcript: piosenka sentymentalna której jednak nie trzeba brać zanadto serio do Czy pamiętasz jeszcze te wieśniany dni pierwszego twych zmysłów dziewczęcych rozkwitu może o nich czasem serce twoje śnij kto wie może we śnie omdlewa z zachwytu a gdy cię of ładnie wspomnień tęskni chrzan może czasem marzysz o Cichej sielance w dym z ust wpół dziecięcych pierwszy uścisk grał w jakiejś ogrodowej ustronnej altance może czasem wspomnisz słodkie chwile gdy uczył pierwszych pieszczot twe nieśmiałe rączki kiedy się upijam pierwszym dreszczem twym młodziutkiego ciała gdym rozwijał pączki dziś Ty w pełnej krasie jak dojrzały Kłos innym daje szczęście na twoje piersi białej głos nie ma piersi to nic nie szkodzi proszę nie przez
Confidence: 0.8601217865943909
Word: piosenka, start_time: 0.0, end_time: 0.7000000000000001
Word: zwiędły, start_time: 77.2, end_time: 77.9
Word: kwiat, start_time: 77.9, end_time: 78.2
Word: dyszeć, start_time: 78.2, end_time: 79.3
Word: będzie, start_time: 79.3, end_time: 79.8
Word: czarem, start_time: 79.8, end_time: 80.3
Word: ostatnich, start_time: 80.3, end_time: 81.3
Word: upojeni, start_time: 81.3, end_time: 82.1
Word: Ocal, start_time: 82.1, end_time: 82.8
Word: biedne, start_time: 82.8, end_time: 83.4
Word: dzieci, start_time: 83.4, end_time: 83.7
Word: od, start_time: 83.7, end_time: 84.1
Word: miłosnych, start_time: 84.1, end_time: 84.7
Word: mąż, start_time: 84.7, end_time: 85.1
Word: Niech, start_time: 85.1, end_time: 85.9
Word: jest, start_time: 85.9, end_time: 86.1
Word: twoja, start_time: 86.1, end_time: 86.3
Word: dobroć, start_time: 86.3, end_time: 86.9
Word: do, start_time: 86.9, end_time: 87.2
Word: siebie, start_time: 87.2, end_time: 87.5
Word: przygarnie, start_time: 87.5, end_time: 88.2
Word: Niechaj, start_time: 88.2, end_time: 89.1
Word: pierwszą, start_time: 89.1, end_time: 89.6
Word: słodyczy, start_time: 89.6, end_time: 90.3
Word: weźmiesz, start_time: 90.3, end_time: 90.9
Word: twoich, start_time: 90.9, end_time: 91.4
Word: rąk, start_time: 91.4, end_time: 91.6
Word: niech, start_time: 91.6, end_time: 92.8
Word: nie, start_time: 92.8, end_time: 93.0
Word: zna, start_time: 93.0, end_time: 93.4
Word: co, start_time: 93.4, end_time: 93.7
Word: pragnie, start_time: 93.7, end_time: 93.8
Word: młodzieńczych, start_time: 93.8, end_time: 95.1
Word: męczarnie, start_time: 95.1, end_time: 95.8
Word: Halina, start_time: 95.8, end_time: 97.1
Word: nie, start_time: 97.1, end_time: 97.2
Word: spłynie, start_time: 97.2, end_time: 97.6
Word: dawna, start_time: 97.6, end_time: 98.2
Word: tkliwość, start_time: 98.2, end_time: 98.9
Word: 2, start_time: 98.9, end_time: 99.2
Word: on, start_time: 99.2, end_time: 100.2
Word: odda, start_time: 100.2, end_time: 100.6
Word: ci, start_time: 100.6, end_time: 100.7
Word: w, start_time: 100.7, end_time: 101.0
Word: zamian, start_time: 101.0, end_time: 101.4
Word: pieszczot, start_time: 101.4, end_time: 102.2
Word: syf, start_time: 102.2, end_time: 102.5
Word: pierwiosnki, start_time: 102.5, end_time: 103.4
Word: chcieli, start_time: 103.4, end_time: 104.6
Word: być, start_time: 104.6, end_time: 104.8
Word: tym, start_time: 104.8, end_time: 105.1
Word: dla, start_time: 105.1, end_time: 105.3
Word: niego, start_time: 105.3, end_time: 105.6
Word: czym, start_time: 105.6, end_time: 106.2
Word: dla, start_time: 106.2, end_time: 106.5
Word: ciebie, start_time: 106.5, end_time: 106.6
Word: Ja, start_time: 106.6, end_time: 107.0
Word: niech, start_time: 107.0, end_time: 108.0
Word: się, start_time: 108.0, end_time: 108.2
Word: odezwie, start_time: 108.2, end_time: 108.6
Word: Eko, start_time: 108.6, end_time: 109.3
Word: dawnej, start_time: 109.3, end_time: 109.9
Word: cudnej, start_time: 109.9, end_time: 110.8
Word: piosenki, start_time: 110.8, end_time: 111.5
