Waiting for operation to complete...
Transcript: splin smutek w sercu moim Mieszka I tak gryzie mnie jak ważka gryzie duszę moją biedną o co to już wszystko jedno przyczyn jest ogromnie wiele na duszy jak i na ciele coraz rzadziej mi się zdarzy bym uśmiechnął się na twarzy ciągle myślę aż do skutku o moim dotkliwym smutku No jak mnie to czasem nudzi patrzeć na cierpienia ludzi czasem się nieszczęście stało że dzieciątko robi białą ja się na to Krzywiec rożki i daje skuteczne proszki po których mówię że ono będzie robiło zielono Jeszcze bardziej beznadziei pędzę życie przy kolei z tą koleją bywa różnie czasem komuś członki różnie to znów dadzą znać o zmierzchu że ktoś flaki ma na wierzchu wielka bywa rozmaitość rzeczy które budzą litość Jaś
Confidence: 0.9096543788909912
Word: splin, start_time: 0.0, end_time: 1.0
Word: stało, start_time: 31.2, end_time: 31.6
Word: że, start_time: 31.6, end_time: 32.3
Word: dzieciątko, start_time: 32.3, end_time: 32.6
Word: robi, start_time: 32.6, end_time: 33.3
Word: białą, start_time: 33.3, end_time: 33.8
Word: ja, start_time: 33.8, end_time: 34.4
Word: się, start_time: 34.4, end_time: 34.5
Word: na, start_time: 34.5, end_time: 34.7
Word: to, start_time: 34.7, end_time: 34.8
Word: Krzywiec, start_time: 34.8, end_time: 35.3
Word: rożki, start_time: 35.3, end_time: 35.7
Word: i, start_time: 35.7, end_time: 35.9
Word: daje, start_time: 35.9, end_time: 36.6
Word: skuteczne, start_time: 36.6, end_time: 37.2
Word: proszki, start_time: 37.2, end_time: 37.7
Word: po, start_time: 37.7, end_time: 38.2
Word: których, start_time: 38.2, end_time: 38.6
Word: mówię, start_time: 38.6, end_time: 38.9
Word: że, start_time: 38.9, end_time: 39.4
Word: ono, start_time: 39.4, end_time: 39.8
Word: będzie, start_time: 39.8, end_time: 40.3
Word: robiło, start_time: 40.3, end_time: 41.1
Word: zielono, start_time: 41.1, end_time: 41.7
Word: Jeszcze, start_time: 41.7, end_time: 42.4
Word: bardziej, start_time: 42.4, end_time: 43.1
Word: beznadziei, start_time: 43.1, end_time: 43.9
Word: pędzę, start_time: 43.9, end_time: 44.7
Word: życie, start_time: 44.7, end_time: 45.2
Word: przy, start_time: 45.2, end_time: 45.5
Word: kolei, start_time: 45.5, end_time: 45.9
Word: z, start_time: 45.9, end_time: 46.2
Word: tą, start_time: 46.2, end_time: 46.8
Word: koleją, start_time: 46.8, end_time: 47.3
Word: bywa, start_time: 47.3, end_time: 47.7
Word: różnie, start_time: 47.7, end_time: 48.0
Word: czasem, start_time: 48.0, end_time: 48.7
Word: komuś, start_time: 48.7, end_time: 49.2
Word: członki, start_time: 49.2, end_time: 50.0
Word: różnie, start_time: 50.0, end_time: 50.6
Word: to, start_time: 50.6, end_time: 51.2
Word: znów, start_time: 51.2, end_time: 51.5
Word: dadzą, start_time: 51.5, end_time: 51.8
Word: znać, start_time: 51.8, end_time: 52.0
Word: o, start_time: 52.0, end_time: 52.3
Word: zmierzchu, start_time: 52.3, end_time: 52.7
Word: że, start_time: 52.7, end_time: 53.2
Word: ktoś, start_time: 53.2, end_time: 53.5
Word: flaki, start_time: 53.5, end_time: 54.0
Word: ma, start_time: 54.0, end_time: 54.1
Word: na, start_time: 54.1, end_time: 54.2
Word: wierzchu, start_time: 54.2, end_time: 54.6
Word: wielka, start_time: 54.6, end_time: 55.5
Word: bywa, start_time: 55.5, end_time: 55.8
Word: rozmaitość, start_time: 55.8, end_time: 56.5
Word: rzeczy, start_time: 56.5, end_time: 57.4
Word: które, start_time: 57.4, end_time: 57.8
Word: budzą, start_time: 57.8, end_time: 58.1
Word: litość, start_time: 58.1, end_time: 58.8
Word: Jaś, start_time: 58.8, end_time: 59.9
Transcript: znowu troszkę krzywie Jadę na lokomotywie to znów naśladując wiem że skacze sobie wlot na drodze Myślę często tylko przy tym żeby już być emerytem innych zmartwień też jest sporo lewą nogę rok Mam chorą chodź czyniłem to i owo żeby ona była zdrową ale najcięższa choroba jest dla mnie
Confidence: 0.9503090381622314
Word: znowu, start_time: 59.9, end_time: 60.3
Word: troszkę, start_time: 60.3, end_time: 60.8
Word: krzywie, start_time: 60.8, end_time: 61.2
Word: Jadę, start_time: 61.2, end_time: 62.1
Word: na, start_time: 62.1, end_time: 62.3
Word: lokomotywie, start_time: 62.3, end_time: 63.2
Word: to, start_time: 63.2, end_time: 63.9
Word: znów, start_time: 63.9, end_time: 64.1
Word: naśladując, start_time: 64.1, end_time: 64.9
Word: wiem, start_time: 64.9, end_time: 65.3
Word: że, start_time: 65.3, end_time: 65.5
Word: skacze, start_time: 65.5, end_time: 66.4
Word: sobie, start_time: 66.4, end_time: 66.6
Word: wlot, start_time: 66.6, end_time: 67.2
Word: na, start_time: 67.2, end_time: 67.4
Word: drodze, start_time: 67.4, end_time: 68.1
Word: Myślę, start_time: 68.1, end_time: 68.7
Word: często, start_time: 68.7, end_time: 69.1
Word: tylko, start_time: 69.1, end_time: 69.7
Word: przy, start_time: 69.7, end_time: 70.1
Word: tym, start_time: 70.1, end_time: 70.2
Word: żeby, start_time: 70.2, end_time: 71.0
Word: już, start_time: 71.0, end_time: 71.2
Word: być, start_time: 71.2, end_time: 71.5
Word: emerytem, start_time: 71.5, end_time: 71.9
Word: innych, start_time: 71.9, end_time: 73.4
Word: zmartwień, start_time: 73.4, end_time: 74.0
Word: też, start_time: 74.0, end_time: 74.3
Word: jest, start_time: 74.3, end_time: 74.5
Word: sporo, start_time: 74.5, end_time: 75.0
Word: lewą, start_time: 75.0, end_time: 75.8
Word: nogę, start_time: 75.8, end_time: 76.2
Word: rok, start_time: 76.2, end_time: 76.7
Word: Mam, start_time: 76.7, end_time: 77.0
Word: chorą, start_time: 77.0, end_time: 77.4
Word: chodź, start_time: 77.4, end_time: 78.1
Word: czyniłem, start_time: 78.1, end_time: 78.5
Word: to, start_time: 78.5, end_time: 78.7
Word: i, start_time: 78.7, end_time: 78.8
Word: owo, start_time: 78.8, end_time: 79.1
Word: żeby, start_time: 79.1, end_time: 79.8
Word: ona, start_time: 79.8, end_time: 80.1
Word: była, start_time: 80.1, end_time: 80.2
Word: zdrową, start_time: 80.2, end_time: 80.8
Word: ale, start_time: 80.8, end_time: 81.7
Word: najcięższa, start_time: 81.7, end_time: 82.7
Word: choroba, start_time: 82.7, end_time: 83.3
Word: jest, start_time: 83.3, end_time: 83.9
Word: dla, start_time: 83.9, end_time: 84.3
Word: mnie, start_time: 84.3, end_time: 84.5
