Waiting for operation to complete...
Transcript: opowieści dziadkowa o zaginionej Hrabi nie straszna okropność w Warszawie się stała Jak opisuje nasza praca cała zjadły hrabiny jakieś ludożercy srogie morderce coś popatrzymy sobie te bandyty do nieszczęśliwej bezbronny kobity nic jej nie pomógł bilet pierwszej klasy okropny czasy wlazła ci za nią jedna z drugą świnia jak zacznie kurzyć paskudne Virginia za małą chwilę wszystko w kupie spało Tak ci śmierdziało dalej że zbóje do on a nie bąki biedną hrabinę wywlekli za nogi nos jej z krwawily podbije Joka płynie posoka łatwiej wszyscy prawie bez hałasu tak po kamieniach wlekły ją do lasu ledwie że czasem który okien łypie czy jeszcze zipie potem Te zbóje
Confidence: 0.8333773612976074
Word: opowieści, start_time: 0.0, end_time: 0.7000000000000001
Word: do, start_time: 18.2, end_time: 18.8
Word: nieszczęśliwej, start_time: 18.8, end_time: 19.9
Word: bezbronny, start_time: 19.9, end_time: 20.9
Word: kobity, start_time: 20.9, end_time: 21.5
Word: nic, start_time: 21.5, end_time: 22.2
Word: jej, start_time: 22.2, end_time: 22.5
Word: nie, start_time: 22.5, end_time: 22.7
Word: pomógł, start_time: 22.7, end_time: 23.1
Word: bilet, start_time: 23.1, end_time: 23.8
Word: pierwszej, start_time: 23.8, end_time: 24.4
Word: klasy, start_time: 24.4, end_time: 24.9
Word: okropny, start_time: 24.9, end_time: 26.2
Word: czasy, start_time: 26.2, end_time: 26.6
Word: wlazła, start_time: 26.6, end_time: 27.7
Word: ci, start_time: 27.7, end_time: 27.9
Word: za, start_time: 27.9, end_time: 28.0
Word: nią, start_time: 28.0, end_time: 28.2
Word: jedna, start_time: 28.2, end_time: 28.8
Word: z, start_time: 28.8, end_time: 28.9
Word: drugą, start_time: 28.9, end_time: 29.3
Word: świnia, start_time: 29.3, end_time: 29.9
Word: jak, start_time: 29.9, end_time: 30.5
Word: zacznie, start_time: 30.5, end_time: 31.0
Word: kurzyć, start_time: 31.0, end_time: 31.4
Word: paskudne, start_time: 31.4, end_time: 32.4
Word: Virginia, start_time: 32.4, end_time: 33.2
Word: za, start_time: 33.2, end_time: 33.9
Word: małą, start_time: 33.9, end_time: 34.2
Word: chwilę, start_time: 34.2, end_time: 34.6
Word: wszystko, start_time: 34.6, end_time: 35.4
Word: w, start_time: 35.4, end_time: 35.5
Word: kupie, start_time: 35.5, end_time: 35.9
Word: spało, start_time: 35.9, end_time: 36.5
Word: Tak, start_time: 36.5, end_time: 37.0
Word: ci, start_time: 37.0, end_time: 37.4
Word: śmierdziało, start_time: 37.4, end_time: 38.3
Word: dalej, start_time: 38.3, end_time: 39.5
Word: że, start_time: 39.5, end_time: 39.6
Word: zbóje, start_time: 39.6, end_time: 40.1
Word: do, start_time: 40.1, end_time: 40.3
Word: on, start_time: 40.3, end_time: 40.5
Word: a, start_time: 40.5, end_time: 40.6
Word: nie, start_time: 40.6, end_time: 40.8
Word: bąki, start_time: 40.8, end_time: 40.9
Word: biedną, start_time: 40.9, end_time: 41.9
Word: hrabinę, start_time: 41.9, end_time: 42.6
Word: wywlekli, start_time: 42.6, end_time: 43.4
Word: za, start_time: 43.4, end_time: 43.7
Word: nogi, start_time: 43.7, end_time: 44.0
Word: nos, start_time: 44.0, end_time: 44.7
Word: jej, start_time: 44.7, end_time: 45.0
Word: z, start_time: 45.0, end_time: 45.0
Word: krwawily, start_time: 45.0, end_time: 45.7
Word: podbije, start_time: 45.7, end_time: 46.6
Word: Joka, start_time: 46.6, end_time: 47.0
Word: płynie, start_time: 47.0, end_time: 48.0
Word: posoka, start_time: 48.0, end_time: 48.6
Word: łatwiej, start_time: 48.6, end_time: 50.3
Word: wszyscy, start_time: 50.3, end_time: 50.6
Word: prawie, start_time: 50.6, end_time: 50.9
Word: bez, start_time: 50.9, end_time: 51.1
Word: hałasu, start_time: 51.1, end_time: 51.3
Word: tak, start_time: 51.3, end_time: 52.2
Word: po, start_time: 52.2, end_time: 52.4
Word: kamieniach, start_time: 52.4, end_time: 52.8
Word: wlekły, start_time: 52.8, end_time: 53.6
Word: ją, start_time: 53.6, end_time: 53.8
Word: do, start_time: 53.8, end_time: 54.0
Word: lasu, start_time: 54.0, end_time: 54.3
Word: ledwie, start_time: 54.3, end_time: 55.0
Word: że, start_time: 55.0, end_time: 55.1
Word: czasem, start_time: 55.1, end_time: 55.5
Word: który, start_time: 55.5, end_time: 55.8
Word: okien, start_time: 55.8, end_time: 56.3
Word: łypie, start_time: 56.3, end_time: 56.6
Word: czy, start_time: 56.6, end_time: 57.3
Word: jeszcze, start_time: 57.3, end_time: 57.6
Word: zipie, start_time: 57.6, end_time: 58.0
Word: potem, start_time: 58.0, end_time: 58.8
Word: Te, start_time: 58.8, end_time: 58.9
Word: zbóje, start_time: 58.9, end_time: 59.3
Transcript: Brzydko ściągnęły ci z niej do koszuli syćko i nie bacząc na płacze i jęki w ziemi na męki takie historie pisały gazety myślałeś sobie szkoda ci kobiety na raz się wielka odchodzi nowina że jest hrabina wszystko się pyta jak było w tym lesie było nie było nigdy dziś nie dowie się bo swojej krzywdy ta kobita święta nic nie pamięta Diabeł nie dojdzie jak ta sprawa ma się może i prawda co pisał w czasie że to pewnikiem był socjalistyczny gwałt polityczny wpisane w roku 1907
Confidence: 0.9686613082885742
Word: Brzydko, start_time: 59.9, end_time: 60.8
Word: ściągnęły, start_time: 60.8, end_time: 62.0
Word: ci, start_time: 62.0, end_time: 62.2
Word: z, start_time: 62.2, end_time: 62.3
Word: niej, start_time: 62.3, end_time: 62.6
Word: do, start_time: 62.6, end_time: 62.8
Word: koszuli, start_time: 62.8, end_time: 63.5
Word: syćko, start_time: 63.5, end_time: 64.1
Word: i, start_time: 64.1, end_time: 64.2
Word: nie, start_time: 64.2, end_time: 64.9
Word: bacząc, start_time: 64.9, end_time: 65.2
Word: na, start_time: 65.2, end_time: 65.5
Word: płacze, start_time: 65.5, end_time: 66.4
Word: i, start_time: 66.4, end_time: 66.5
Word: jęki, start_time: 66.5, end_time: 67.1
Word: w, start_time: 67.1, end_time: 67.4
Word: ziemi, start_time: 67.4, end_time: 68.2
Word: na, start_time: 68.2, end_time: 68.4
Word: męki, start_time: 68.4, end_time: 69.0
Word: takie, start_time: 69.0, end_time: 70.2
Word: historie, start_time: 70.2, end_time: 70.7
Word: pisały, start_time: 70.7, end_time: 71.3
Word: gazety, start_time: 71.3, end_time: 71.4
Word: myślałeś, start_time: 71.4, end_time: 72.8
Word: sobie, start_time: 72.8, end_time: 72.9
Word: szkoda, start_time: 72.9, end_time: 74.0
Word: ci, start_time: 74.0, end_time: 74.2
Word: kobiety, start_time: 74.2, end_time: 74.7
Word: na, start_time: 74.7, end_time: 75.3
Word: raz, start_time: 75.3, end_time: 75.5
Word: się, start_time: 75.5, end_time: 75.6
Word: wielka, start_time: 75.6, end_time: 76.2
Word: odchodzi, start_time: 76.2, end_time: 76.9
Word: nowina, start_time: 76.9, end_time: 77.4
Word: że, start_time: 77.4, end_time: 77.6
Word: jest, start_time: 77.6, end_time: 78.7
Word: hrabina, start_time: 78.7, end_time: 79.5
Word: wszystko, start_time: 79.5, end_time: 80.3
Word: się, start_time: 80.3, end_time: 80.4
Word: pyta, start_time: 80.4, end_time: 80.8
Word: jak, start_time: 80.8, end_time: 81.5
Word: było, start_time: 81.5, end_time: 81.9
Word: w, start_time: 81.9, end_time: 82.0
Word: tym, start_time: 82.0, end_time: 82.2
Word: lesie, start_time: 82.2, end_time: 82.4
Word: było, start_time: 82.4, end_time: 83.8
Word: nie, start_time: 83.8, end_time: 84.2
Word: było, start_time: 84.2, end_time: 84.3
Word: nigdy, start_time: 84.3, end_time: 85.3
Word: dziś, start_time: 85.3, end_time: 85.6
Word: nie, start_time: 85.6, end_time: 85.8
Word: dowie, start_time: 85.8, end_time: 86.2
Word: się, start_time: 86.2, end_time: 86.4
Word: bo, start_time: 86.4, end_time: 86.9
Word: swojej, start_time: 86.9, end_time: 87.2
Word: krzywdy, start_time: 87.2, end_time: 87.7
Word: ta, start_time: 87.7, end_time: 87.8
Word: kobita, start_time: 87.8, end_time: 88.2
Word: święta, start_time: 88.2, end_time: 88.8
Word: nic, start_time: 88.8, end_time: 89.3
Word: nie, start_time: 89.3, end_time: 89.5
Word: pamięta, start_time: 89.5, end_time: 90.0
Word: Diabeł, start_time: 90.0, end_time: 91.4
Word: nie, start_time: 91.4, end_time: 91.6
Word: dojdzie, start_time: 91.6, end_time: 92.1
Word: jak, start_time: 92.1, end_time: 92.7
Word: ta, start_time: 92.7, end_time: 92.9
Word: sprawa, start_time: 92.9, end_time: 93.3
Word: ma, start_time: 93.3, end_time: 93.5
Word: się, start_time: 93.5, end_time: 93.6
Word: może, start_time: 93.6, end_time: 94.6
Word: i, start_time: 94.6, end_time: 94.7
Word: prawda, start_time: 94.7, end_time: 94.8
Word: co, start_time: 94.8, end_time: 95.6
Word: pisał, start_time: 95.6, end_time: 95.8
Word: w, start_time: 95.8, end_time: 96.1
Word: czasie, start_time: 96.1, end_time: 96.5
Word: że, start_time: 96.5, end_time: 97.1
Word: to, start_time: 97.1, end_time: 97.3
Word: pewnikiem, start_time: 97.3, end_time: 97.9
Word: był, start_time: 97.9, end_time: 98.5
Word: socjalistyczny, start_time: 98.5, end_time: 99.8
Word: gwałt, start_time: 99.8, end_time: 100.8
Word: polityczny, start_time: 100.8, end_time: 101.8
Word: wpisane, start_time: 101.8, end_time: 102.9
Word: w, start_time: 102.9, end_time: 102.9
Word: roku, start_time: 102.9, end_time: 103.3
Word: 1907, start_time: 103.3, end_time: 104.6
