Waiting for operation to complete...
Transcript: Cześć doniosłość społeczna satyry Moliera Molier odkrył jedną tajemnice odkrył w teatrze nową potęgę jedną z największych Jakie istnieją mianowicie zabijać śmiechem śmiechem brzmiących ze sceny w rynku Moliera komedia staje się satyrą Jedną z najważniejszych najcenniejszych Jakie istnieją a równocześnie piętnujący to co go przyjmuje wstrętem Molier głosi swoją twórczością własny ideał życia komedia staje się u niego niejednokrotnie trybunał mównicę i posiada uszyte potęgę Molier jest nie tylko twórca komedii on jest i twórcą życia przyszedł spojrzał dokoła siebie i powiedział to a to jest głupie złej śmieszne Nie chcę aby to istniało i to co on tak na piętnował znikało strawione własną śmieszności jeżeli problem świętoszka jest dziś poniekąd przebrzmiały to właśnie jest największą zdobyczą Moliera nie zmieniło oczywiście Molier
Confidence: 0.9773345589637756
Word: Cześć, start_time: 0.0, end_time: 0.8
Word: to, start_time: 46.9, end_time: 47.4
Word: co, start_time: 47.4, end_time: 47.7
Word: on, start_time: 47.7, end_time: 47.8
Word: tak, start_time: 47.8, end_time: 48.0
Word: na, start_time: 48.0, end_time: 48.2
Word: piętnował, start_time: 48.2, end_time: 48.8
Word: znikało, start_time: 48.8, end_time: 49.5
Word: strawione, start_time: 49.5, end_time: 50.1
Word: własną, start_time: 50.1, end_time: 50.5
Word: śmieszności, start_time: 50.5, end_time: 51.2
Word: jeżeli, start_time: 51.2, end_time: 52.0
Word: problem, start_time: 52.0, end_time: 52.4
Word: świętoszka, start_time: 52.4, end_time: 53.0
Word: jest, start_time: 53.0, end_time: 53.4
Word: dziś, start_time: 53.4, end_time: 53.8
Word: poniekąd, start_time: 53.8, end_time: 54.3
Word: przebrzmiały, start_time: 54.3, end_time: 55.1
Word: to, start_time: 55.1, end_time: 55.6
Word: właśnie, start_time: 55.6, end_time: 56.0
Word: jest, start_time: 56.0, end_time: 56.2
Word: największą, start_time: 56.2, end_time: 56.8
Word: zdobyczą, start_time: 56.8, end_time: 57.3
Word: Moliera, start_time: 57.3, end_time: 57.9
Word: nie, start_time: 57.9, end_time: 58.5
Word: zmieniło, start_time: 58.5, end_time: 58.9
Word: oczywiście, start_time: 58.9, end_time: 59.3
Word: Molier, start_time: 59.3, end_time: 59.8
Transcript: czy chcesz ludzkiej natury ale w momencie przeobrażania się społeczeństwa zwalił swoją satyrą nie jeden z bałwanów stojących na przeszkodzie idącemu nowemu życiu i tak potężnie jak może nikt inny przyczynił się do jego ewolucji w duchu światła i swobody przyszłość nie zmieściła wszystkie postulaty Moliera Od pierwszej chwili powrotu do Paryża Molier czuje się nieswojo w tym świecie na każdym kroku widzi pana szansę się głupstwo ciasnotę pojęć bakalarstwo obłudę przemoc ucisk to też każda jego sztuka to wybicie jakiegoś okna aby Spuścić powietrze którego potrzebował dla płuc epoka w której żył Molier znajduje się na przełomie dwóch zmagających się z tobą Światów z jednej strony nowoczesna myśl niezmiernie bliska już nas z drugiej Cały aparat społeczny i naukowy niemal średniowieczny przeżyty ale dzierżący jeszcze wszystko w ręku i konwulsyjnie broniący się Invasion
Confidence: 0.9564435482025146
Word: czy, start_time: 59.9, end_time: 60.4
Word: chcesz, start_time: 60.4, end_time: 60.7
Word: ludzkiej, start_time: 60.7, end_time: 61.1
Word: natury, start_time: 61.1, end_time: 61.5
Word: ale, start_time: 61.5, end_time: 62.1
Word: w, start_time: 62.1, end_time: 62.2
Word: momencie, start_time: 62.2, end_time: 62.5
Word: przeobrażania, start_time: 62.5, end_time: 63.4
Word: się, start_time: 63.4, end_time: 63.7
Word: społeczeństwa, start_time: 63.7, end_time: 64.5
Word: zwalił, start_time: 64.5, end_time: 65.3
Word: swoją, start_time: 65.3, end_time: 65.7
Word: satyrą, start_time: 65.7, end_time: 66.2
Word: nie, start_time: 66.2, end_time: 66.6
Word: jeden, start_time: 66.6, end_time: 66.9
Word: z, start_time: 66.9, end_time: 67.0
Word: bałwanów, start_time: 67.0, end_time: 67.6
Word: stojących, start_time: 67.6, end_time: 68.4
Word: na, start_time: 68.4, end_time: 68.4
Word: przeszkodzie, start_time: 68.4, end_time: 69.0
Word: idącemu, start_time: 69.0, end_time: 69.6
Word: nowemu, start_time: 69.6, end_time: 70.1
Word: życiu, start_time: 70.1, end_time: 70.5
Word: i, start_time: 70.5, end_time: 70.6
Word: tak, start_time: 70.6, end_time: 71.2
Word: potężnie, start_time: 71.2, end_time: 71.9
Word: jak, start_time: 71.9, end_time: 72.1
Word: może, start_time: 72.1, end_time: 72.3
Word: nikt, start_time: 72.3, end_time: 72.7
Word: inny, start_time: 72.7, end_time: 73.2
Word: przyczynił, start_time: 73.2, end_time: 73.7
Word: się, start_time: 73.7, end_time: 73.9
Word: do, start_time: 73.9, end_time: 74.0
Word: jego, start_time: 74.0, end_time: 74.2
Word: ewolucji, start_time: 74.2, end_time: 74.9
Word: w, start_time: 74.9, end_time: 75.1
Word: duchu, start_time: 75.1, end_time: 75.7
Word: światła, start_time: 75.7, end_time: 76.2
Word: i, start_time: 76.2, end_time: 76.2
Word: swobody, start_time: 76.2, end_time: 76.8
Word: przyszłość, start_time: 76.8, end_time: 77.7
Word: nie, start_time: 77.7, end_time: 77.9
Word: zmieściła, start_time: 77.9, end_time: 78.4
Word: wszystkie, start_time: 78.4, end_time: 78.8
Word: postulaty, start_time: 78.8, end_time: 79.1
Word: Moliera, start_time: 79.1, end_time: 79.9
Word: Od, start_time: 79.9, end_time: 80.7
Word: pierwszej, start_time: 80.7, end_time: 81.1
Word: chwili, start_time: 81.1, end_time: 81.2
Word: powrotu, start_time: 81.2, end_time: 81.7
Word: do, start_time: 81.7, end_time: 82.0
Word: Paryża, start_time: 82.0, end_time: 82.3
Word: Molier, start_time: 82.3, end_time: 83.1
Word: czuje, start_time: 83.1, end_time: 83.5
Word: się, start_time: 83.5, end_time: 83.7
Word: nieswojo, start_time: 83.7, end_time: 84.2
Word: w, start_time: 84.2, end_time: 84.6
Word: tym, start_time: 84.6, end_time: 84.7
Word: świecie, start_time: 84.7, end_time: 85.1
Word: na, start_time: 85.1, end_time: 85.7
Word: każdym, start_time: 85.7, end_time: 86.1
Word: kroku, start_time: 86.1, end_time: 86.2
Word: widzi, start_time: 86.2, end_time: 86.7
Word: pana, start_time: 86.7, end_time: 87.0
Word: szansę, start_time: 87.0, end_time: 87.3
Word: się, start_time: 87.3, end_time: 87.4
Word: głupstwo, start_time: 87.4, end_time: 88.1
Word: ciasnotę, start_time: 88.1, end_time: 88.9
Word: pojęć, start_time: 88.9, end_time: 89.4
Word: bakalarstwo, start_time: 89.4, end_time: 90.5
Word: obłudę, start_time: 90.5, end_time: 91.4
Word: przemoc, start_time: 91.4, end_time: 92.0
Word: ucisk, start_time: 92.0, end_time: 92.8
Word: to, start_time: 92.8, end_time: 93.7
Word: też, start_time: 93.7, end_time: 93.8
Word: każda, start_time: 93.8, end_time: 94.3
Word: jego, start_time: 94.3, end_time: 94.5
Word: sztuka, start_time: 94.5, end_time: 95.0
Word: to, start_time: 95.0, end_time: 95.1
Word: wybicie, start_time: 95.1, end_time: 95.6
Word: jakiegoś, start_time: 95.6, end_time: 96.0
Word: okna, start_time: 96.0, end_time: 96.5
Word: aby, start_time: 96.5, end_time: 97.0
Word: Spuścić, start_time: 97.0, end_time: 97.5
Word: powietrze, start_time: 97.5, end_time: 97.6
Word: którego, start_time: 97.6, end_time: 98.5
Word: potrzebował, start_time: 98.5, end_time: 99.1
Word: dla, start_time: 99.1, end_time: 99.3
Word: płuc, start_time: 99.3, end_time: 99.6
Word: epoka, start_time: 99.6, end_time: 100.5
Word: w, start_time: 100.5, end_time: 100.6
Word: której, start_time: 100.6, end_time: 100.7
Word: żył, start_time: 100.7, end_time: 101.0
Word: Molier, start_time: 101.0, end_time: 101.6
Word: znajduje, start_time: 101.6, end_time: 102.1
Word: się, start_time: 102.1, end_time: 102.2
Word: na, start_time: 102.2, end_time: 102.4
Word: przełomie, start_time: 102.4, end_time: 102.8
Word: dwóch, start_time: 102.8, end_time: 103.1
Word: zmagających, start_time: 103.1, end_time: 103.9
Word: się, start_time: 103.9, end_time: 104.0
Word: z, start_time: 104.0, end_time: 104.2
Word: tobą, start_time: 104.2, end_time: 104.5
Word: Światów, start_time: 104.5, end_time: 105.1
Word: z, start_time: 105.1, end_time: 105.3
Word: jednej, start_time: 105.3, end_time: 105.9
Word: strony, start_time: 105.9, end_time: 106.1
Word: nowoczesna, start_time: 106.1, end_time: 106.9
Word: myśl, start_time: 106.9, end_time: 107.4
Word: niezmiernie, start_time: 107.4, end_time: 108.3
Word: bliska, start_time: 108.3, end_time: 108.8
Word: już, start_time: 108.8, end_time: 108.9
Word: nas, start_time: 108.9, end_time: 109.3
Word: z, start_time: 109.3, end_time: 109.5
Word: drugiej, start_time: 109.5, end_time: 110.2
Word: Cały, start_time: 110.2, end_time: 110.6
Word: aparat, start_time: 110.6, end_time: 111.0
Word: społeczny, start_time: 111.0, end_time: 111.7
Word: i, start_time: 111.7, end_time: 111.8
Word: naukowy, start_time: 111.8, end_time: 112.4
Word: niemal, start_time: 112.4, end_time: 113.0
Word: średniowieczny, start_time: 113.0, end_time: 114.0
Word: przeżyty, start_time: 114.0, end_time: 114.7
Word: ale, start_time: 114.7, end_time: 115.2
Word: dzierżący, start_time: 115.2, end_time: 115.9
Word: jeszcze, start_time: 115.9, end_time: 116.2
Word: wszystko, start_time: 116.2, end_time: 116.7
Word: w, start_time: 116.7, end_time: 116.8
Word: ręku, start_time: 116.8, end_time: 117.2
Word: i, start_time: 117.2, end_time: 117.3
Word: konwulsyjnie, start_time: 117.3, end_time: 118.4
Word: broniący, start_time: 118.4, end_time: 119.0
Word: się, start_time: 119.0, end_time: 119.2
Word: Invasion, start_time: 119.2, end_time: 119.9
Transcript: ducha a obręcz ta była silna oficjalnie władcy ludzkich wierzeń i myśli posiadali w ręku wszystkich środki represji medycyna prawoznawstwo filozofia i najgroźniejsza z nich teologia podawały sobie ręce gdy chodziło o poskromienie śmiałka który się odważył podkopywanie autorytet lub rutynę Mateuszem jest kto nie wierzy w puszczanie krwi heretykiem kto nie wierzy w Arystotelesa ale ogłosić wówczas kogoś Mateuszem znaczyło niemal postawić go poza obrębem prawa znaczyło poszczuć go jak psa to nam tłumaczy doniosłość walki Moliera z ówczesną medycyną to nam tłumaczy jak Świętoszek czy farsy lekarskie Moliera czy też jego pocieszny filozofowie Wszystko płynie z jednego i tego samego źródła pamiętajmy o potędze ówczesnych Tartuffe i organów przednimi to Kartezjusz chroni się przezornie do Holandii i tam na wiadomość o skazaniu Galileusza
Confidence: 0.9558385014533997
Word: ducha, start_time: 119.9, end_time: 120.5
Word: a, start_time: 120.5, end_time: 120.7
Word: obręcz, start_time: 120.7, end_time: 121.5
Word: ta, start_time: 121.5, end_time: 121.7
Word: była, start_time: 121.7, end_time: 122.0
Word: silna, start_time: 122.0, end_time: 122.4
Word: oficjalnie, start_time: 122.4, end_time: 123.6
Word: władcy, start_time: 123.6, end_time: 124.1
Word: ludzkich, start_time: 124.1, end_time: 124.6
Word: wierzeń, start_time: 124.6, end_time: 125.0
Word: i, start_time: 125.0, end_time: 125.1
Word: myśli, start_time: 125.1, end_time: 125.6
Word: posiadali, start_time: 125.6, end_time: 126.1
Word: w, start_time: 126.1, end_time: 126.2
Word: ręku, start_time: 126.2, end_time: 126.5
Word: wszystkich, start_time: 126.5, end_time: 127.0
Word: środki, start_time: 127.0, end_time: 127.4
Word: represji, start_time: 127.4, end_time: 127.9
Word: medycyna, start_time: 127.9, end_time: 129.2
Word: prawoznawstwo, start_time: 129.2, end_time: 130.4
Word: filozofia, start_time: 130.4, end_time: 131.3
Word: i, start_time: 131.3, end_time: 131.4
Word: najgroźniejsza, start_time: 131.4, end_time: 132.7
Word: z, start_time: 132.7, end_time: 132.8
Word: nich, start_time: 132.8, end_time: 133.0
Word: teologia, start_time: 133.0, end_time: 133.7
Word: podawały, start_time: 133.7, end_time: 134.5
Word: sobie, start_time: 134.5, end_time: 134.8
Word: ręce, start_time: 134.8, end_time: 135.2
Word: gdy, start_time: 135.2, end_time: 135.6
Word: chodziło, start_time: 135.6, end_time: 136.1
Word: o, start_time: 136.1, end_time: 136.1
Word: poskromienie, start_time: 136.1, end_time: 136.8
Word: śmiałka, start_time: 136.8, end_time: 137.4
Word: który, start_time: 137.4, end_time: 137.8
Word: się, start_time: 137.8, end_time: 137.9
Word: odważył, start_time: 137.9, end_time: 138.6
Word: podkopywanie, start_time: 138.6, end_time: 139.6
Word: autorytet, start_time: 139.6, end_time: 140.5
Word: lub, start_time: 140.5, end_time: 140.6
Word: rutynę, start_time: 140.6, end_time: 141.2
Word: Mateuszem, start_time: 141.2, end_time: 142.2
Word: jest, start_time: 142.2, end_time: 142.6
Word: kto, start_time: 142.6, end_time: 143.2
Word: nie, start_time: 143.2, end_time: 143.3
Word: wierzy, start_time: 143.3, end_time: 143.6
Word: w, start_time: 143.6, end_time: 143.7
Word: puszczanie, start_time: 143.7, end_time: 144.2
Word: krwi, start_time: 144.2, end_time: 144.6
Word: heretykiem, start_time: 144.6, end_time: 145.5
Word: kto, start_time: 145.5, end_time: 146.1
Word: nie, start_time: 146.1, end_time: 146.3
Word: wierzy, start_time: 146.3, end_time: 146.4
Word: w, start_time: 146.4, end_time: 146.6
Word: Arystotelesa, start_time: 146.6, end_time: 147.4
Word: ale, start_time: 147.4, end_time: 148.1
Word: ogłosić, start_time: 148.1, end_time: 148.6
Word: wówczas, start_time: 148.6, end_time: 148.8
Word: kogoś, start_time: 148.8, end_time: 149.3
Word: Mateuszem, start_time: 149.3, end_time: 150.2
Word: znaczyło, start_time: 150.2, end_time: 151.3
Word: niemal, start_time: 151.3, end_time: 151.7
Word: postawić, start_time: 151.7, end_time: 152.3
Word: go, start_time: 152.3, end_time: 152.4
Word: poza, start_time: 152.4, end_time: 152.7
Word: obrębem, start_time: 152.7, end_time: 153.2
Word: prawa, start_time: 153.2, end_time: 153.7
Word: znaczyło, start_time: 153.7, end_time: 154.6
Word: poszczuć, start_time: 154.6, end_time: 155.0
Word: go, start_time: 155.0, end_time: 155.2
Word: jak, start_time: 155.2, end_time: 155.3
Word: psa, start_time: 155.3, end_time: 155.5
Word: to, start_time: 155.5, end_time: 156.2
Word: nam, start_time: 156.2, end_time: 156.4
Word: tłumaczy, start_time: 156.4, end_time: 156.9
Word: doniosłość, start_time: 156.9, end_time: 157.5
Word: walki, start_time: 157.5, end_time: 157.9
Word: Moliera, start_time: 157.9, end_time: 158.4
Word: z, start_time: 158.4, end_time: 158.5
Word: ówczesną, start_time: 158.5, end_time: 159.0
Word: medycyną, start_time: 159.0, end_time: 159.6
Word: to, start_time: 159.6, end_time: 160.4
Word: nam, start_time: 160.4, end_time: 160.5
Word: tłumaczy, start_time: 160.5, end_time: 161.1
Word: jak, start_time: 161.1, end_time: 161.3
Word: Świętoszek, start_time: 161.3, end_time: 162.0
Word: czy, start_time: 162.0, end_time: 162.2
Word: farsy, start_time: 162.2, end_time: 162.6
Word: lekarskie, start_time: 162.6, end_time: 163.2
Word: Moliera, start_time: 163.2, end_time: 163.7
Word: czy, start_time: 163.7, end_time: 164.1
Word: też, start_time: 164.1, end_time: 164.3
Word: jego, start_time: 164.3, end_time: 164.4
Word: pocieszny, start_time: 164.4, end_time: 165.0
Word: filozofowie, start_time: 165.0, end_time: 165.8
Word: Wszystko, start_time: 165.8, end_time: 166.5
Word: płynie, start_time: 166.5, end_time: 166.9
Word: z, start_time: 166.9, end_time: 167.0
Word: jednego, start_time: 167.0, end_time: 167.5
Word: i, start_time: 167.5, end_time: 167.7
Word: tego, start_time: 167.7, end_time: 167.8
Word: samego, start_time: 167.8, end_time: 168.1
Word: źródła, start_time: 168.1, end_time: 168.4
Word: pamiętajmy, start_time: 168.4, end_time: 169.9
Word: o, start_time: 169.9, end_time: 170.0
Word: potędze, start_time: 170.0, end_time: 170.5
Word: ówczesnych, start_time: 170.5, end_time: 171.1
Word: Tartuffe, start_time: 171.1, end_time: 171.6
Word: i, start_time: 171.6, end_time: 171.7
Word: organów, start_time: 171.7, end_time: 172.5
Word: przednimi, start_time: 172.5, end_time: 173.5
Word: to, start_time: 173.5, end_time: 173.6
Word: Kartezjusz, start_time: 173.6, end_time: 174.3
Word: chroni, start_time: 174.3, end_time: 174.7
Word: się, start_time: 174.7, end_time: 174.9
Word: przezornie, start_time: 174.9, end_time: 175.6
Word: do, start_time: 175.6, end_time: 175.7
Word: Holandii, start_time: 175.7, end_time: 176.3
Word: i, start_time: 176.3, end_time: 176.4
Word: tam, start_time: 176.4, end_time: 177.3
Word: na, start_time: 177.3, end_time: 177.8
Word: wiadomość, start_time: 177.8, end_time: 178.4
Word: o, start_time: 178.4, end_time: 178.4
Word: skazaniu, start_time: 178.4, end_time: 179.0
Word: Galileusza, start_time: 179.0, end_time: 179.7
Transcript: jeszcze swój Traktat o świecie wobec Zjednoczonych potęg duchownych i świeckich jakże słabe były środki którymi rozporządzaniu wcześniej Wojownicy Światła myśli ich wyrażone z nieskończonymi ostrożność ami krążyły wyłącznie niemal szczupłym kręgu naukowego świata przenikanie ich do ogółu było bardzo ograniczone i nieraz przybyłym nieoczekiwany sukurs ten aktor wędrowny wesołych Królewski który nie puścił się z grupą komediantów na prowincje liznął co nieco z Filozofii Gandhiego a później nauczył się po prostu czytać w księdze życia stanął w szeregu walczących o światło mając w ręce najsprawniejsze broń śmiech i szyderstwo i stał się ten cud i Shot potężnego wybuch śmiechu wywołanego geniuszem komicznym Moliera zatrzęsły się mury gmachu którego nie mogły zburzyć zespolone trudy uczonych od tego szerokiego śmiechu mieszkają duchy ciemności a myśl ludzka może
Confidence: 0.9518873691558838
Word: jeszcze, start_time: 179.9, end_time: 180.2
Word: swój, start_time: 180.2, end_time: 180.4
Word: Traktat, start_time: 180.4, end_time: 181.1
Word: o, start_time: 181.1, end_time: 181.2
Word: świecie, start_time: 181.2, end_time: 181.8
Word: wobec, start_time: 181.8, end_time: 182.6
Word: Zjednoczonych, start_time: 182.6, end_time: 183.3
Word: potęg, start_time: 183.3, end_time: 183.7
Word: duchownych, start_time: 183.7, end_time: 184.4
Word: i, start_time: 184.4, end_time: 184.5
Word: świeckich, start_time: 184.5, end_time: 184.7
Word: jakże, start_time: 184.7, end_time: 185.6
Word: słabe, start_time: 185.6, end_time: 186.0
Word: były, start_time: 186.0, end_time: 186.3
Word: środki, start_time: 186.3, end_time: 186.9
Word: którymi, start_time: 186.9, end_time: 187.5
Word: rozporządzaniu, start_time: 187.5, end_time: 188.4
Word: wcześniej, start_time: 188.4, end_time: 189.0
Word: Wojownicy, start_time: 189.0, end_time: 189.5
Word: Światła, start_time: 189.5, end_time: 189.7
Word: myśli, start_time: 189.7, end_time: 190.9
Word: ich, start_time: 190.9, end_time: 191.1
Word: wyrażone, start_time: 191.1, end_time: 191.7
Word: z, start_time: 191.7, end_time: 191.7
Word: nieskończonymi, start_time: 191.7, end_time: 192.4
Word: ostrożność, start_time: 192.4, end_time: 193.2
Word: ami, start_time: 193.2, end_time: 193.5
Word: krążyły, start_time: 193.5, end_time: 194.3
Word: wyłącznie, start_time: 194.3, end_time: 194.9
Word: niemal, start_time: 194.9, end_time: 195.2
Word: szczupłym, start_time: 195.2, end_time: 195.8
Word: kręgu, start_time: 195.8, end_time: 196.3
Word: naukowego, start_time: 196.3, end_time: 196.8
Word: świata, start_time: 196.8, end_time: 197.3
Word: przenikanie, start_time: 197.3, end_time: 198.3
Word: ich, start_time: 198.3, end_time: 198.5
Word: do, start_time: 198.5, end_time: 198.6
Word: ogółu, start_time: 198.6, end_time: 199.0
Word: było, start_time: 199.0, end_time: 199.5
Word: bardzo, start_time: 199.5, end_time: 199.8
Word: ograniczone, start_time: 199.8, end_time: 200.6
Word: i, start_time: 200.6, end_time: 200.7
Word: nieraz, start_time: 200.7, end_time: 201.5
Word: przybyłym, start_time: 201.5, end_time: 202.2
Word: nieoczekiwany, start_time: 202.2, end_time: 203.0
Word: sukurs, start_time: 203.0, end_time: 203.6
Word: ten, start_time: 203.6, end_time: 204.3
Word: aktor, start_time: 204.3, end_time: 204.6
Word: wędrowny, start_time: 204.6, end_time: 204.8
Word: wesołych, start_time: 204.8, end_time: 206.0
Word: Królewski, start_time: 206.0, end_time: 206.7
Word: który, start_time: 206.7, end_time: 206.9
Word: nie, start_time: 206.9, end_time: 207.1
Word: puścił, start_time: 207.1, end_time: 207.4
Word: się, start_time: 207.4, end_time: 207.8
Word: z, start_time: 207.8, end_time: 207.9
Word: grupą, start_time: 207.9, end_time: 208.2
Word: komediantów, start_time: 208.2, end_time: 208.9
Word: na, start_time: 208.9, end_time: 209.1
Word: prowincje, start_time: 209.1, end_time: 209.7
Word: liznął, start_time: 209.7, end_time: 210.6
Word: co, start_time: 210.6, end_time: 210.7
Word: nieco, start_time: 210.7, end_time: 211.0
Word: z, start_time: 211.0, end_time: 211.0
Word: Filozofii, start_time: 211.0, end_time: 211.7
Word: Gandhiego, start_time: 211.7, end_time: 212.5
Word: a, start_time: 212.5, end_time: 212.7
Word: później, start_time: 212.7, end_time: 213.5
Word: nauczył, start_time: 213.5, end_time: 213.9
Word: się, start_time: 213.9, end_time: 214.0
Word: po, start_time: 214.0, end_time: 214.2
Word: prostu, start_time: 214.2, end_time: 214.6
Word: czytać, start_time: 214.6, end_time: 214.9
Word: w, start_time: 214.9, end_time: 215.0
Word: księdze, start_time: 215.0, end_time: 215.4
Word: życia, start_time: 215.4, end_time: 215.4
Word: stanął, start_time: 215.4, end_time: 216.6
Word: w, start_time: 216.6, end_time: 216.6
Word: szeregu, start_time: 216.6, end_time: 217.1
Word: walczących, start_time: 217.1, end_time: 217.7
Word: o, start_time: 217.7, end_time: 217.8
Word: światło, start_time: 217.8, end_time: 218.3
Word: mając, start_time: 218.3, end_time: 219.2
Word: w, start_time: 219.2, end_time: 219.3
Word: ręce, start_time: 219.3, end_time: 219.6
Word: najsprawniejsze, start_time: 219.6, end_time: 220.6
Word: broń, start_time: 220.6, end_time: 221.0
Word: śmiech, start_time: 221.0, end_time: 221.6
Word: i, start_time: 221.6, end_time: 221.8
Word: szyderstwo, start_time: 221.8, end_time: 222.7
