Waiting for operation to complete...
Transcript: Henryk Sienkiewicz Bartek zwycięzca bohater mój nazywał się Bartek Słowik ale ponieważ miał zwyczaj wytrzeszczać oczy gdy do niego mówiono że to sąsiedzi nazwali go Bartek wyłupiaste ze słowikiem istot niemało miał wspólnego natomiast jego przymioty umysłowe i prawdziwie homeryczne naiwność zjednał rymu także przezwisko głupi Bartek to ostatnie było najpopularniejsze i zapewne Samo jedno tylko przejdzie do historii chociaż Bartek nosił jeszcze czwarte urzędowe ponieważ wyrazy człowiek i słowik nie przedstawiają dla ucha niemieckiego żadnej różnicy a Niemcy lubią imię cywilizacji przekładać barbarzyńskie słowiańskie nazwy najbardziej kulturny język czyta w swoim czasie przypisach wojskowych miała miejsce następujące rozmowa jak się nazywasz pytał Bartka oficer
Confidence: 0.8657289147377014
Word: Henryk, start_time: 0.0, end_time: 1.4
Word: nosił, start_time: 36.3, end_time: 36.7
Word: jeszcze, start_time: 36.7, end_time: 37.0
Word: czwarte, start_time: 37.0, end_time: 37.5
Word: urzędowe, start_time: 37.5, end_time: 38.5
Word: ponieważ, start_time: 38.5, end_time: 39.5
Word: wyrazy, start_time: 39.5, end_time: 39.9
Word: człowiek, start_time: 39.9, end_time: 40.5
Word: i, start_time: 40.5, end_time: 40.6
Word: słowik, start_time: 40.6, end_time: 41.2
Word: nie, start_time: 41.2, end_time: 41.3
Word: przedstawiają, start_time: 41.3, end_time: 42.5
Word: dla, start_time: 42.5, end_time: 42.8
Word: ucha, start_time: 42.8, end_time: 43.0
Word: niemieckiego, start_time: 43.0, end_time: 43.6
Word: żadnej, start_time: 43.6, end_time: 44.2
Word: różnicy, start_time: 44.2, end_time: 44.5
Word: a, start_time: 44.5, end_time: 44.9
Word: Niemcy, start_time: 44.9, end_time: 45.4
Word: lubią, start_time: 45.4, end_time: 45.7
Word: imię, start_time: 45.7, end_time: 46.2
Word: cywilizacji, start_time: 46.2, end_time: 46.8
Word: przekładać, start_time: 46.8, end_time: 47.9
Word: barbarzyńskie, start_time: 47.9, end_time: 48.7
Word: słowiańskie, start_time: 48.7, end_time: 49.2
Word: nazwy, start_time: 49.2, end_time: 49.6
Word: najbardziej, start_time: 49.6, end_time: 49.8
Word: kulturny, start_time: 49.8, end_time: 51.0
Word: język, start_time: 51.0, end_time: 51.4
Word: czyta, start_time: 51.4, end_time: 52.2
Word: w, start_time: 52.2, end_time: 52.2
Word: swoim, start_time: 52.2, end_time: 52.5
Word: czasie, start_time: 52.5, end_time: 52.6
Word: przypisach, start_time: 52.6, end_time: 53.6
Word: wojskowych, start_time: 53.6, end_time: 54.1
Word: miała, start_time: 54.1, end_time: 54.9
Word: miejsce, start_time: 54.9, end_time: 55.3
Word: następujące, start_time: 55.3, end_time: 56.1
Word: rozmowa, start_time: 56.1, end_time: 56.9
Word: jak, start_time: 56.9, end_time: 57.7
Word: się, start_time: 57.7, end_time: 57.8
Word: nazywasz, start_time: 57.8, end_time: 58.3
Word: pytał, start_time: 58.3, end_time: 59.0
Word: Bartka, start_time: 59.0, end_time: 59.4
Word: oficer, start_time: 59.4, end_time: 59.8
Transcript: słownik like I would i oficer napisał mysz natec pochodził ze wsi pogłębi na której to nazwy wsi jest bardzo wiele w Księstwie poznańskim i innych ziemiach dawnej rzeczypospolitej był on nie licząc gruntu chałupy i paru krów właścicielem Soroka tego konia i żony Dzięki takiemu zabiegowi okoliczności mógł sobie żyć spokojnie i zgodnie z mądrością zawartą w wierszu koni srokacz żona Magda co ma być to i tak da jakoś życie jego układało się zupełnie jak Bóg dał i dopiero gdy Bóg dał wojnę Bartek zachował się nie pomału Przyszło zawiadomienie że trzeba się było zostawić trzeba było porzucić chałupę grunt i zdać wszystko na babską opiekę ludzie w pogrzebie nie byli w ogóle dosyć biedni Bartek zimą bywało
Confidence: 0.8822352290153503
Word: słownik, start_time: 60.1, end_time: 61.2
Word: like, start_time: 61.2, end_time: 62.6
Word: I, start_time: 62.6, end_time: 63.4
Word: would, start_time: 63.4, end_time: 63.7
Word: i, start_time: 63.7, end_time: 64.0
Word: oficer, start_time: 64.0, end_time: 64.9
Word: napisał, start_time: 64.9, end_time: 65.3
Word: mysz, start_time: 65.3, end_time: 66.4
Word: natec, start_time: 66.4, end_time: 67.3
Word: pochodził, start_time: 67.3, end_time: 67.9
Word: ze, start_time: 67.9, end_time: 68.0
Word: wsi, start_time: 68.0, end_time: 68.3
Word: pogłębi, start_time: 68.3, end_time: 69.4
Word: na, start_time: 69.4, end_time: 69.6
Word: której, start_time: 69.6, end_time: 70.3
Word: to, start_time: 70.3, end_time: 70.4
Word: nazwy, start_time: 70.4, end_time: 70.9
Word: wsi, start_time: 70.9, end_time: 71.0
Word: jest, start_time: 71.0, end_time: 71.5
Word: bardzo, start_time: 71.5, end_time: 71.9
Word: wiele, start_time: 71.9, end_time: 72.2
Word: w, start_time: 72.2, end_time: 72.3
Word: Księstwie, start_time: 72.3, end_time: 72.7
Word: poznańskim, start_time: 72.7, end_time: 73.3
Word: i, start_time: 73.3, end_time: 73.4
Word: innych, start_time: 73.4, end_time: 73.9
Word: ziemiach, start_time: 73.9, end_time: 74.2
Word: dawnej, start_time: 74.2, end_time: 74.8
Word: rzeczypospolitej, start_time: 74.8, end_time: 75.2
Word: był, start_time: 75.2, end_time: 76.6
Word: on, start_time: 76.6, end_time: 76.8
Word: nie, start_time: 76.8, end_time: 77.3
Word: licząc, start_time: 77.3, end_time: 77.6
Word: gruntu, start_time: 77.6, end_time: 78.1
Word: chałupy, start_time: 78.1, end_time: 78.6
Word: i, start_time: 78.6, end_time: 78.7
Word: paru, start_time: 78.7, end_time: 79.0
Word: krów, start_time: 79.0, end_time: 79.3
Word: właścicielem, start_time: 79.3, end_time: 80.5
Word: Soroka, start_time: 80.5, end_time: 80.9
Word: tego, start_time: 80.9, end_time: 81.2
Word: konia, start_time: 81.2, end_time: 81.7
Word: i, start_time: 81.7, end_time: 81.8
Word: żony, start_time: 81.8, end_time: 82.9
Word: Dzięki, start_time: 82.9, end_time: 85.0
Word: takiemu, start_time: 85.0, end_time: 85.3
Word: zabiegowi, start_time: 85.3, end_time: 85.5
Word: okoliczności, start_time: 85.5, end_time: 86.5
Word: mógł, start_time: 86.5, end_time: 86.9
Word: sobie, start_time: 86.9, end_time: 87.2
Word: żyć, start_time: 87.2, end_time: 87.5
Word: spokojnie, start_time: 87.5, end_time: 88.1
Word: i, start_time: 88.1, end_time: 88.6
Word: zgodnie, start_time: 88.6, end_time: 89.6
Word: z, start_time: 89.6, end_time: 89.7
Word: mądrością, start_time: 89.7, end_time: 90.3
Word: zawartą, start_time: 90.3, end_time: 90.8
Word: w, start_time: 90.8, end_time: 91.0
Word: wierszu, start_time: 91.0, end_time: 91.4
Word: koni, start_time: 91.4, end_time: 92.5
Word: srokacz, start_time: 92.5, end_time: 93.3
Word: żona, start_time: 93.3, end_time: 94.1
Word: Magda, start_time: 94.1, end_time: 94.5
Word: co, start_time: 94.5, end_time: 95.5
Word: ma, start_time: 95.5, end_time: 95.7
Word: być, start_time: 95.7, end_time: 96.1
Word: to, start_time: 96.1, end_time: 96.9
Word: i, start_time: 96.9, end_time: 97.1
Word: tak, start_time: 97.1, end_time: 97.5
Word: da, start_time: 97.5, end_time: 97.7
Word: jakoś, start_time: 97.7, end_time: 98.7
Word: życie, start_time: 98.7, end_time: 99.2
Word: jego, start_time: 99.2, end_time: 99.3
Word: układało, start_time: 99.3, end_time: 99.8
Word: się, start_time: 99.8, end_time: 99.9
Word: zupełnie, start_time: 99.9, end_time: 100.4
Word: jak, start_time: 100.4, end_time: 100.6
Word: Bóg, start_time: 100.6, end_time: 101.0
Word: dał, start_time: 101.0, end_time: 101.3
Word: i, start_time: 101.3, end_time: 101.5
Word: dopiero, start_time: 101.5, end_time: 102.3
Word: gdy, start_time: 102.3, end_time: 102.4
Word: Bóg, start_time: 102.4, end_time: 102.7
Word: dał, start_time: 102.7, end_time: 103.1
Word: wojnę, start_time: 103.1, end_time: 103.8
Word: Bartek, start_time: 103.8, end_time: 104.7
Word: zachował, start_time: 104.7, end_time: 105.5
Word: się, start_time: 105.5, end_time: 105.6
Word: nie, start_time: 105.6, end_time: 105.8
Word: pomału, start_time: 105.8, end_time: 106.2
Word: Przyszło, start_time: 106.2, end_time: 107.2
Word: zawiadomienie, start_time: 107.2, end_time: 107.4
Word: że, start_time: 107.4, end_time: 107.9
Word: trzeba, start_time: 107.9, end_time: 108.3
Word: się, start_time: 108.3, end_time: 108.4
Word: było, start_time: 108.4, end_time: 108.6
Word: zostawić, start_time: 108.6, end_time: 109.1
Word: trzeba, start_time: 109.1, end_time: 109.9
Word: było, start_time: 109.9, end_time: 110.1
Word: porzucić, start_time: 110.1, end_time: 110.8
Word: chałupę, start_time: 110.8, end_time: 111.3
Word: grunt, start_time: 111.3, end_time: 111.9
Word: i, start_time: 111.9, end_time: 112.1
Word: zdać, start_time: 112.1, end_time: 112.7
Word: wszystko, start_time: 112.7, end_time: 113.3
Word: na, start_time: 113.3, end_time: 113.5
Word: babską, start_time: 113.5, end_time: 114.1
Word: opiekę, start_time: 114.1, end_time: 114.7
Word: ludzie, start_time: 114.7, end_time: 115.8
Word: w, start_time: 115.8, end_time: 116.0
Word: pogrzebie, start_time: 116.0, end_time: 116.4
Word: nie, start_time: 116.4, end_time: 116.5
Word: byli, start_time: 116.5, end_time: 116.8
Word: w, start_time: 116.8, end_time: 116.9
Word: ogóle, start_time: 116.9, end_time: 117.3
Word: dosyć, start_time: 117.3, end_time: 117.6
Word: biedni, start_time: 117.6, end_time: 118.0
Word: Bartek, start_time: 118.0, end_time: 118.7
Word: zimą, start_time: 118.7, end_time: 119.1
Word: bywało, start_time: 119.1, end_time: 119.5
Transcript: do fabryki i tym sobie w gospodarstwie pomagał teraz co kto wie kiedy się wojna z francuzem skończy Magda gdy przeczytała kartkę powołującą zaczęła robić A żeby z nami żyło żeby on śmieli chociaż jest głupi i jednak mi cię żal francuzy też czy nie przepuszczą albo głowę od nowa bo co czemu Bartek że kobieta sprawiedliwie mówi Francuzów bał się jak ognia przy tym i jemu było żal Co jedzą Francuzi zrobili po co on tam pójdzie i dlaczego na tę straszną obczyzny gdzie nie ma ani jednej duszy życzliwej jak się w pogrzebie nie siedzi to zdaje się od niej tak nie owak jak zwyczajni pogłębienie A jak każą iść Dopiero się widzisz że wszelako to lepiej niż gdzie indziej ale już nic nie pomoże taka Dolna trzeba iść Bartek Uściskał baby potem 10-letniego Franka potem splunął
Confidence: 0.8416624069213867
Word: do, start_time: 120.0, end_time: 120.4
Word: fabryki, start_time: 120.4, end_time: 120.9
Word: i, start_time: 120.9, end_time: 121.0
Word: tym, start_time: 121.0, end_time: 121.7
Word: sobie, start_time: 121.7, end_time: 121.9
Word: w, start_time: 121.9, end_time: 122.0
Word: gospodarstwie, start_time: 122.0, end_time: 122.6
Word: pomagał, start_time: 122.6, end_time: 123.1
Word: teraz, start_time: 123.1, end_time: 123.5
Word: co, start_time: 123.5, end_time: 124.1
Word: kto, start_time: 124.1, end_time: 125.0
Word: wie, start_time: 125.0, end_time: 125.2
Word: kiedy, start_time: 125.2, end_time: 125.6
Word: się, start_time: 125.6, end_time: 125.7
Word: wojna, start_time: 125.7, end_time: 126.0
Word: z, start_time: 126.0, end_time: 126.1
Word: francuzem, start_time: 126.1, end_time: 126.6
Word: skończy, start_time: 126.6, end_time: 127.0
Word: Magda, start_time: 127.0, end_time: 128.0
Word: gdy, start_time: 128.0, end_time: 128.6
Word: przeczytała, start_time: 128.6, end_time: 129.1
Word: kartkę, start_time: 129.1, end_time: 129.5
Word: powołującą, start_time: 129.5, end_time: 130.3
Word: zaczęła, start_time: 130.3, end_time: 130.9
Word: robić, start_time: 130.9, end_time: 131.3
Word: A, start_time: 131.3, end_time: 131.6
Word: żeby, start_time: 131.6, end_time: 132.8
Word: z, start_time: 132.8, end_time: 132.9
Word: nami, start_time: 132.9, end_time: 133.5
Word: żyło, start_time: 133.5, end_time: 134.1
Word: żeby, start_time: 134.1, end_time: 134.3
Word: on, start_time: 134.3, end_time: 135.5
Word: śmieli, start_time: 135.5, end_time: 136.1
Word: chociaż, start_time: 136.1, end_time: 137.0
Word: jest, start_time: 137.0, end_time: 137.1
Word: głupi, start_time: 137.1, end_time: 137.5
Word: i, start_time: 137.5, end_time: 137.6
Word: jednak, start_time: 137.6, end_time: 138.3
Word: mi, start_time: 138.3, end_time: 138.4
Word: cię, start_time: 138.4, end_time: 138.6
Word: żal, start_time: 138.6, end_time: 138.9
Word: francuzy, start_time: 138.9, end_time: 139.9
Word: też, start_time: 139.9, end_time: 140.3
Word: czy, start_time: 140.3, end_time: 140.5
Word: nie, start_time: 140.5, end_time: 140.5
Word: przepuszczą, start_time: 140.5, end_time: 141.2
Word: albo, start_time: 141.2, end_time: 141.4
Word: głowę, start_time: 141.4, end_time: 141.8
Word: od, start_time: 141.8, end_time: 142.0
Word: nowa, start_time: 142.0, end_time: 142.2
Word: bo, start_time: 142.2, end_time: 142.4
Word: co, start_time: 142.4, end_time: 142.6
Word: czemu, start_time: 142.6, end_time: 143.8
Word: Bartek, start_time: 143.8, end_time: 144.2
Word: że, start_time: 144.2, end_time: 145.0
Word: kobieta, start_time: 145.0, end_time: 145.4
Word: sprawiedliwie, start_time: 145.4, end_time: 146.0
Word: mówi, start_time: 146.0, end_time: 146.3
Word: Francuzów, start_time: 146.3, end_time: 147.2
Word: bał, start_time: 147.2, end_time: 147.5
Word: się, start_time: 147.5, end_time: 147.6
Word: jak, start_time: 147.6, end_time: 147.9
Word: ognia, start_time: 147.9, end_time: 148.1
Word: przy, start_time: 148.1, end_time: 148.5
Word: tym, start_time: 148.5, end_time: 148.7
Word: i, start_time: 148.7, end_time: 148.8
Word: jemu, start_time: 148.8, end_time: 149.8
Word: było, start_time: 149.8, end_time: 150.0
Word: żal, start_time: 150.0, end_time: 150.3
Word: Co, start_time: 150.3, end_time: 151.4
Word: jedzą, start_time: 151.4, end_time: 151.7
Word: Francuzi, start_time: 151.7, end_time: 152.0
Word: zrobili, start_time: 152.0, end_time: 152.8
Word: po, start_time: 152.8, end_time: 153.6
Word: co, start_time: 153.6, end_time: 153.7
Word: on, start_time: 153.7, end_time: 153.9
Word: tam, start_time: 153.9, end_time: 153.9
Word: pójdzie, start_time: 153.9, end_time: 154.5
Word: i, start_time: 154.5, end_time: 154.7
Word: dlaczego, start_time: 154.7, end_time: 155.1
Word: na, start_time: 155.1, end_time: 155.5
Word: tę, start_time: 155.5, end_time: 155.6
Word: straszną, start_time: 155.6, end_time: 155.9
Word: obczyzny, start_time: 155.9, end_time: 156.9
Word: gdzie, start_time: 156.9, end_time: 157.4
Word: nie, start_time: 157.4, end_time: 157.6
Word: ma, start_time: 157.6, end_time: 157.7
Word: ani, start_time: 157.7, end_time: 157.9
Word: jednej, start_time: 157.9, end_time: 158.3
Word: duszy, start_time: 158.3, end_time: 158.5
Word: życzliwej, start_time: 158.5, end_time: 159.3
Word: jak, start_time: 159.3, end_time: 160.1
Word: się, start_time: 160.1, end_time: 160.2
Word: w, start_time: 160.2, end_time: 160.3
Word: pogrzebie, start_time: 160.3, end_time: 160.8
Word: nie, start_time: 160.8, end_time: 160.9
Word: siedzi, start_time: 160.9, end_time: 161.3
Word: to, start_time: 161.3, end_time: 162.0
Word: zdaje, start_time: 162.0, end_time: 162.4
Word: się, start_time: 162.4, end_time: 162.6
Word: od, start_time: 162.6, end_time: 162.9
Word: niej, start_time: 162.9, end_time: 163.5
Word: tak, start_time: 163.5, end_time: 163.8
Word: nie, start_time: 163.8, end_time: 164.0
Word: owak, start_time: 164.0, end_time: 164.5
Word: jak, start_time: 164.5, end_time: 165.0
Word: zwyczajni, start_time: 165.0, end_time: 165.5
Word: pogłębienie, start_time: 165.5, end_time: 166.1
Word: A, start_time: 166.1, end_time: 166.2
Word: jak, start_time: 166.2, end_time: 166.6
Word: każą, start_time: 166.6, end_time: 167.0
Word: iść, start_time: 167.0, end_time: 167.4
Word: Dopiero, start_time: 167.4, end_time: 168.3
Word: się, start_time: 168.3, end_time: 168.5
Word: widzisz, start_time: 168.5, end_time: 168.9
Word: że, start_time: 168.9, end_time: 169.1
Word: wszelako, start_time: 169.1, end_time: 169.5
Word: to, start_time: 169.5, end_time: 169.7
Word: lepiej, start_time: 169.7, end_time: 170.1
Word: niż, start_time: 170.1, end_time: 170.5
Word: gdzie, start_time: 170.5, end_time: 170.7
Word: indziej, start_time: 170.7, end_time: 170.8
Word: ale, start_time: 170.8, end_time: 172.1
Word: już, start_time: 172.1, end_time: 172.2
Word: nic, start_time: 172.2, end_time: 172.4
Word: nie, start_time: 172.4, end_time: 172.5
Word: pomoże, start_time: 172.5, end_time: 172.7
Word: taka, start_time: 172.7, end_time: 173.2
Word: Dolna, start_time: 173.2, end_time: 173.4
Word: trzeba, start_time: 173.4, end_time: 173.8
Word: iść, start_time: 173.8, end_time: 174.1
Word: Bartek, start_time: 174.1, end_time: 174.9
Word: Uściskał, start_time: 174.9, end_time: 175.6
Word: baby, start_time: 175.6, end_time: 175.9
Word: potem, start_time: 175.9, end_time: 176.4
Word: 10-letniego, start_time: 176.4, end_time: 177.2
Word: Franka, start_time: 177.2, end_time: 177.7
Word: potem, start_time: 177.7, end_time: 178.0
Word: splunął, start_time: 178.0, end_time: 178.8
Transcript: się i wyszedł z chałupy A Magda zanim nie żegnali się zbyt czule ona i chłopak szlocha Lyon powtarzał no cicho No i tak znaleźli się na drodze to dopiero ujrzeli że w całym pogłębienie wzięło się to samo co u nich cała wieś w uległa droga zapchana powołanymi idą oni do stacji kolejowej a baby dzieci Star Chipsy odprowadzają ich powołanym ciężko na sercu kilku tylko młodszym fajki wiszą z gęby kilku już pijanych na początek kilku śpiewa ochrypłym głosem Skrzyneckiego ręce i złote pierścienice już nie będę wymachiwać szablon na wojence 1 też i drugi Niemiec z pobliskich Kolonistów śpiewa ze strachu wacht am Rhein cały utwór pstry i różnobarwne wśród którego połyskują bagnety żandarmski posuwa się opłotkami ku końcowi wsi
Confidence: 0.9667568206787109
Word: się, start_time: 180.0, end_time: 180.3
Word: i, start_time: 180.3, end_time: 180.5
Word: wyszedł, start_time: 180.5, end_time: 181.5
Word: z, start_time: 181.5, end_time: 181.6
Word: chałupy, start_time: 181.6, end_time: 182.0
Word: A, start_time: 182.0, end_time: 182.1
Word: Magda, start_time: 182.1, end_time: 183.1
Word: zanim, start_time: 183.1, end_time: 183.4
Word: nie, start_time: 183.4, end_time: 184.0
Word: żegnali, start_time: 184.0, end_time: 184.4
Word: się, start_time: 184.4, end_time: 184.5
Word: zbyt, start_time: 184.5, end_time: 184.8
Word: czule, start_time: 184.8, end_time: 185.1
Word: ona, start_time: 185.1, end_time: 185.9
Word: i, start_time: 185.9, end_time: 185.9
Word: chłopak, start_time: 185.9, end_time: 186.2
Word: szlocha, start_time: 186.2, end_time: 186.8
Word: Lyon, start_time: 186.8, end_time: 187.3
Word: powtarzał, start_time: 187.3, end_time: 187.8
Word: no, start_time: 187.8, end_time: 187.9
Word: cicho, start_time: 187.9, end_time: 188.9
Word: No, start_time: 188.9, end_time: 188.9
Word: i, start_time: 188.9, end_time: 189.5
Word: tak, start_time: 189.5, end_time: 190.4
Word: znaleźli, start_time: 190.4, end_time: 191.3
Word: się, start_time: 191.3, end_time: 191.5
Word: na, start_time: 191.5, end_time: 191.6
Word: drodze, start_time: 191.6, end_time: 191.8
Word: to, start_time: 191.8, end_time: 192.7
Word: dopiero, start_time: 192.7, end_time: 192.9
Word: ujrzeli, start_time: 192.9, end_time: 193.4
Word: że, start_time: 193.4, end_time: 193.6
Word: w, start_time: 193.6, end_time: 193.7
Word: całym, start_time: 193.7, end_time: 194.0
Word: pogłębienie, start_time: 194.0, end_time: 194.6
Word: wzięło, start_time: 194.6, end_time: 195.1
Word: się, start_time: 195.1, end_time: 195.2
Word: to, start_time: 195.2, end_time: 195.4
Word: samo, start_time: 195.4, end_time: 195.6
Word: co, start_time: 195.6, end_time: 195.9
Word: u, start_time: 195.9, end_time: 196.0
Word: nich, start_time: 196.0, end_time: 196.2
Word: cała, start_time: 196.2, end_time: 197.0
Word: wieś, start_time: 197.0, end_time: 197.3
Word: w, start_time: 197.3, end_time: 197.5
Word: uległa, start_time: 197.5, end_time: 198.1
Word: droga, start_time: 198.1, end_time: 198.5
Word: zapchana, start_time: 198.5, end_time: 199.1
Word: powołanymi, start_time: 199.1, end_time: 199.9
Word: idą, start_time: 199.9, end_time: 200.5
Word: oni, start_time: 200.5, end_time: 200.8
Word: do, start_time: 200.8, end_time: 200.9
Word: stacji, start_time: 200.9, end_time: 201.3
Word: kolejowej, start_time: 201.3, end_time: 201.3
Word: a, start_time: 201.3, end_time: 201.8
Word: baby, start_time: 201.8, end_time: 202.4
Word: dzieci, start_time: 202.4, end_time: 202.8
Word: Star, start_time: 202.8, end_time: 203.2
Word: Chipsy, start_time: 203.2, end_time: 203.7
Word: odprowadzają, start_time: 203.7, end_time: 204.9
Word: ich, start_time: 204.9, end_time: 205.2
Word: powołanym, start_time: 205.2, end_time: 206.3
Word: ciężko, start_time: 206.3, end_time: 206.9
Word: na, start_time: 206.9, end_time: 207.0
Word: sercu, start_time: 207.0, end_time: 207.1
Word: kilku, start_time: 207.1, end_time: 208.6
Word: tylko, start_time: 208.6, end_time: 209.0
Word: młodszym, start_time: 209.0, end_time: 209.8
Word: fajki, start_time: 209.8, end_time: 210.6
Word: wiszą, start_time: 210.6, end_time: 210.9
Word: z, start_time: 210.9, end_time: 211.0
Word: gęby, start_time: 211.0, end_time: 211.4
Word: kilku, start_time: 211.4, end_time: 212.0
Word: już, start_time: 212.0, end_time: 212.2
Word: pijanych, start_time: 212.2, end_time: 213.1
Word: na, start_time: 213.1, end_time: 213.2
Word: początek, start_time: 213.2, end_time: 213.6
Word: kilku, start_time: 213.6, end_time: 214.2
Word: śpiewa, start_time: 214.2, end_time: 214.7
Word: ochrypłym, start_time: 214.7, end_time: 215.5
Word: głosem, start_time: 215.5, end_time: 215.6
Word: Skrzyneckiego, start_time: 215.6, end_time: 217.6
Word: ręce, start_time: 217.6, end_time: 218.3
Word: i, start_time: 218.3, end_time: 218.4
Word: złote, start_time: 218.4, end_time: 219.1
Word: pierścienice, start_time: 219.1, end_time: 220.2
Word: już, start_time: 220.2, end_time: 221.1
Word: nie, start_time: 221.1, end_time: 221.2
Word: będę, start_time: 221.2, end_time: 221.6
Word: wymachiwać, start_time: 221.6, end_time: 222.8
Word: szablon, start_time: 222.8, end_time: 223.8
Word: na, start_time: 223.8, end_time: 223.9
Word: wojence, start_time: 223.9, end_time: 224.5
Word: 1, start_time: 224.5, end_time: 225.8
Word: też, start_time: 225.8, end_time: 226.0
Word: i, start_time: 226.0, end_time: 226.1
Word: drugi, start_time: 226.1, end_time: 226.5
Word: Niemiec, start_time: 226.5, end_time: 226.8
Word: z, start_time: 226.8, end_time: 226.9
Word: pobliskich, start_time: 226.9, end_time: 227.8
Word: Kolonistów, start_time: 227.8, end_time: 228.3
Word: śpiewa, start_time: 228.3, end_time: 228.8
Word: ze, start_time: 228.8, end_time: 228.9
Word: strachu, start_time: 228.9, end_time: 229.2
Word: wacht, start_time: 229.2, end_time: 230.1
Word: am, start_time: 230.1, end_time: 230.4
Word: Rhein, start_time: 230.4, end_time: 230.5
Word: cały, start_time: 230.5, end_time: 231.8
Word: utwór, start_time: 231.8, end_time: 232.0
Word: pstry, start_time: 232.0, end_time: 232.6
Word: i, start_time: 232.6, end_time: 232.7
Word: różnobarwne, start_time: 232.7, end_time: 233.1
Word: wśród, start_time: 233.1, end_time: 233.8
Word: którego, start_time: 233.8, end_time: 234.1
Word: połyskują, start_time: 234.1, end_time: 234.6
Word: bagnety, start_time: 234.6, end_time: 235.2
Word: żandarmski, start_time: 235.2, end_time: 235.7
