Waiting for operation to complete...
Transcript: Polały się łzy me czyste rzęsiste chce mi się pisać wiersze jak psi psi dziecko chce się słóweczka rzucam pierwsze może mi coś przyniesie może inne liczne popłyną zanim ciurkiem floresy kreśląc śliczne pod skrzętny moim piórkiem może wytrysk No ze mnie w obrazku w dziwnych żołądek po której bym daremnie wysyłał mój rozsądek Zawsze ci to duszy zdrowiej i chodź na nich szemrzą różni że iść jest pielgrzymowi gdy w drodze się wypróżnić Ach tak pielgrzymem jestem dawcą cym po asfalcie co utrudzony gestem kuli się w swoim palcie wśród ulic po kręcenia błądzę po mieście obcym brnę poprzez mgły wspomnienia gdyby żył to młodym chłopcem błąd że wśród tysiąca co będę mógł
Confidence: 0.8156969547271729
Word: Polały, start_time: 0.0, end_time: 1.1
Word: kuli, start_time: 44.2, end_time: 44.9
Word: się, start_time: 44.9, end_time: 45.2
Word: w, start_time: 45.2, end_time: 45.3
Word: swoim, start_time: 45.3, end_time: 45.6
Word: palcie, start_time: 45.6, end_time: 46.3
Word: wśród, start_time: 46.3, end_time: 47.3
Word: ulic, start_time: 47.3, end_time: 47.8
Word: po, start_time: 47.8, end_time: 48.0
Word: kręcenia, start_time: 48.0, end_time: 48.6
Word: błądzę, start_time: 48.6, end_time: 49.5
Word: po, start_time: 49.5, end_time: 49.6
Word: mieście, start_time: 49.6, end_time: 50.1
Word: obcym, start_time: 50.1, end_time: 50.6
Word: brnę, start_time: 50.6, end_time: 51.5
Word: poprzez, start_time: 51.5, end_time: 52.2
Word: mgły, start_time: 52.2, end_time: 52.7
Word: wspomnienia, start_time: 52.7, end_time: 53.5
Word: gdyby, start_time: 53.5, end_time: 54.3
Word: żył, start_time: 54.3, end_time: 54.5
Word: to, start_time: 54.5, end_time: 54.8
Word: młodym, start_time: 54.8, end_time: 55.3
Word: chłopcem, start_time: 55.3, end_time: 55.9
Word: błąd, start_time: 55.9, end_time: 57.0
Word: że, start_time: 57.0, end_time: 57.0
Word: wśród, start_time: 57.0, end_time: 57.3
Word: tysiąca, start_time: 57.3, end_time: 58.4
Word: co, start_time: 58.4, end_time: 58.8
Word: będę, start_time: 58.8, end_time: 59.3
Word: mógł, start_time: 59.3, end_time: 59.7
Transcript: i giną jak firma nie trzęsąca w Elektro bio kino patrzę w niknąca szlaki uśmiecham się do środka a każdy uśmiech taki to jakby jedna zwrotka patrzę z mych lat dojrzałych w przeszłość z powidłami i z oczu posmutniał ich nach psi psi robię łzami w Paryżu w marcu 1912 roku
Confidence: 0.9168264865875244
Word: i, start_time: 59.9, end_time: 60.0
Word: giną, start_time: 60.0, end_time: 60.6
Word: jak, start_time: 60.6, end_time: 61.4
Word: firma, start_time: 61.4, end_time: 62.0
Word: nie, start_time: 62.0, end_time: 62.0
Word: trzęsąca, start_time: 62.0, end_time: 63.0
Word: w, start_time: 63.0, end_time: 63.1
Word: Elektro, start_time: 63.1, end_time: 64.2
Word: bio, start_time: 64.2, end_time: 64.7
Word: kino, start_time: 64.7, end_time: 65.4
Word: patrzę, start_time: 65.4, end_time: 66.8
Word: w, start_time: 66.8, end_time: 67.0
Word: niknąca, start_time: 67.0, end_time: 67.7
Word: szlaki, start_time: 67.7, end_time: 68.2
Word: uśmiecham, start_time: 68.2, end_time: 69.3
Word: się, start_time: 69.3, end_time: 69.3
Word: do, start_time: 69.3, end_time: 69.5
Word: środka, start_time: 69.5, end_time: 69.8
Word: a, start_time: 69.8, end_time: 70.1
Word: każdy, start_time: 70.1, end_time: 71.0
Word: uśmiech, start_time: 71.0, end_time: 71.3
Word: taki, start_time: 71.3, end_time: 72.0
Word: to, start_time: 72.0, end_time: 72.9
Word: jakby, start_time: 72.9, end_time: 73.1
Word: jedna, start_time: 73.1, end_time: 73.4
Word: zwrotka, start_time: 73.4, end_time: 73.9
Word: patrzę, start_time: 73.9, end_time: 75.4
Word: z, start_time: 75.4, end_time: 75.6
Word: mych, start_time: 75.6, end_time: 75.8
Word: lat, start_time: 75.8, end_time: 76.1
Word: dojrzałych, start_time: 76.1, end_time: 76.7
Word: w, start_time: 76.7, end_time: 76.9
Word: przeszłość, start_time: 76.9, end_time: 78.0
Word: z, start_time: 78.0, end_time: 78.2
Word: powidłami, start_time: 78.2, end_time: 79.2
Word: i, start_time: 79.2, end_time: 79.6
Word: z, start_time: 79.6, end_time: 80.3
Word: oczu, start_time: 80.3, end_time: 80.8
Word: posmutniał, start_time: 80.8, end_time: 81.5
Word: ich, start_time: 81.5, end_time: 81.7
Word: nach, start_time: 81.7, end_time: 82.7
Word: psi, start_time: 82.7, end_time: 83.6
Word: psi, start_time: 83.6, end_time: 83.9
Word: robię, start_time: 83.9, end_time: 84.4
Word: łzami, start_time: 84.4, end_time: 85.5
Word: w, start_time: 85.5, end_time: 85.8
Word: Paryżu, start_time: 85.8, end_time: 87.3
Word: w, start_time: 87.3, end_time: 87.6
Word: marcu, start_time: 87.6, end_time: 88.3
Word: 1912, start_time: 88.3, end_time: 89.7
Word: roku, start_time: 89.7, end_time: 90.1
