Waiting for operation to complete...
Transcript: krakowski jubileusz nie wiem który to nasz przodek przydługi ponoć karnawał gdy wyczerpał wszelkich środek Skąd wziąć jakiś świeży kawał raz po formy dążąc nowe chwycił warstwa kaduceusz skromną się nim mocno w głowę i wymyślił jubileusz przyjęła się ta zabawa jako że w niej leży sposób co każdemu daje prawa pić z najważniejszych osób lecz że wszystko mija w świecie niech go jasny piorun trzaśnie i zdarzyć się może przecież tradycja ta wygaśnie podam to więc przepis cały bym wszedł do krakowskich kronik na ten jubel tak wspaniały jak Rękawka lub Lajkonik bierze się do tego celu tęgiego starego pryka wsadza się go na fotelu i siarczyście Gosię tyka odmiany wszak prawa znacie trudności nie będzie za
Confidence: 0.8747223615646362
Word: krakowski, start_time: 0.0, end_time: 0.9
Word: narodzie, start_time: 125.3, end_time: 125.6
Word: będą, start_time: 125.6, end_time: 126.0
Word: święcie, start_time: 126.0, end_time: 126.5
Word: i, start_time: 126.5, end_time: 126.6
Word: prawnuki, start_time: 126.6, end_time: 127.5
Word: nasze, start_time: 127.5, end_time: 128.2
Word: jeszcze, start_time: 128.2, end_time: 128.6
Word: mieć, start_time: 128.6, end_time: 129.3
Word: się, start_time: 129.3, end_time: 129.5
Word: będą, start_time: 129.5, end_time: 129.9
Word: cicho, start_time: 129.9, end_time: 130.9
Word: w, start_time: 130.9, end_time: 131.1
Word: pięcie, start_time: 131.1, end_time: 132.1
Word: więc, start_time: 132.1, end_time: 133.1
Word: gdy, start_time: 133.1, end_time: 133.4
Word: zasług, start_time: 133.4, end_time: 134.0
Word: jubilata, start_time: 134.0, end_time: 134.6
Word: żaden, start_time: 134.6, end_time: 135.1
Word: czasu, start_time: 135.1, end_time: 135.5
Word: Grom, start_time: 135.5, end_time: 135.8
Word: nie, start_time: 135.8, end_time: 136.0
Word: zetrze, start_time: 136.0, end_time: 136.3
Word: niech, start_time: 136.3, end_time: 137.3
Word: nam, start_time: 137.3, end_time: 137.6
Word: jeszcze, start_time: 137.6, end_time: 137.7
Word: długie, start_time: 137.7, end_time: 138.3
Word: lata, start_time: 138.3, end_time: 138.4
Word: po, start_time: 138.4, end_time: 139.5
Word: cichu, start_time: 139.5, end_time: 139.9
Word: psuje, start_time: 139.9, end_time: 140.8
Word: powietrze, start_time: 140.8, end_time: 141.5
Word: Coś, start_time: 141.5, end_time: 142.2
Word: tam, start_time: 142.2, end_time: 142.5
Word: jeszcze, start_time: 142.5, end_time: 142.6
Word: mówca, start_time: 142.6, end_time: 143.2
Word: bąka, start_time: 143.2, end_time: 143.5
Word: orkiestra, start_time: 143.5, end_time: 144.5
Word: kropi, start_time: 144.5, end_time: 144.9
Word: fanfare, start_time: 144.9, end_time: 145.5
Word: a, start_time: 145.5, end_time: 145.7
Word: jubilat, start_time: 145.7, end_time: 146.5
Word: głośność, start_time: 146.5, end_time: 147.4
Word: on, start_time: 147.4, end_time: 147.6
Word: waves, start_time: 147.6, end_time: 148.5
Word: rozkoszy, start_time: 148.5, end_time: 149.5
Word: raniąc, start_time: 149.5, end_time: 150.0
Word: parę, start_time: 150.0, end_time: 150.5
Word: magnificus, start_time: 150.5, end_time: 151.8
Word: się, start_time: 151.8, end_time: 152.0
Word: podnosi, start_time: 152.0, end_time: 152.6
Word: przypadkowo, start_time: 152.6, end_time: 153.9
Word: ginekolog, start_time: 153.9, end_time: 154.5
Word: i, start_time: 154.5, end_time: 154.7
Word: znów, start_time: 154.7, end_time: 155.4
Word: z, start_time: 155.4, end_time: 155.5
Word: innej, start_time: 155.5, end_time: 156.3
Word: beczki, start_time: 156.3, end_time: 156.4
Word: głosi, start_time: 156.4, end_time: 157.2
Word: lapidarny, start_time: 157.2, end_time: 158.3
Word: swój, start_time: 158.3, end_time: 158.7
Word: nekrolog, start_time: 158.7, end_time: 159.6
Word: myśli, start_time: 159.6, end_time: 160.7
Word: wątku, start_time: 160.7, end_time: 161.2
Word: nie, start_time: 161.2, end_time: 161.3
Word: rozprasza, start_time: 161.3, end_time: 161.9
Word: ale, start_time: 161.9, end_time: 162.5
Word: skupia, start_time: 162.5, end_time: 163.0
Word: w, start_time: 163.0, end_time: 163.1
Word: treść, start_time: 163.1, end_time: 163.4
Word: ogólną, start_time: 163.4, end_time: 163.8
Word: panie, start_time: 163.8, end_time: 165.5
Word: ten, start_time: 165.5, end_time: 166.2
Word: ojczyzna, start_time: 166.2, end_time: 167.1
Word: Nasza, start_time: 167.1, end_time: 167.4
Word: jest, start_time: 167.4, end_time: 168.2
Word: nam, start_time: 168.2, end_time: 168.4
Word: wszystkim, start_time: 168.4, end_time: 169.0
Word: matką, start_time: 169.0, end_time: 170.1
Word: wspólną, start_time: 170.1, end_time: 170.7
Word: po, start_time: 170.7, end_time: 171.4
Word: napoju, start_time: 171.4, end_time: 171.8
Word: na, start_time: 171.8, end_time: 171.9
Word: swym, start_time: 171.9, end_time: 172.3
Word: mlekiem, start_time: 172.3, end_time: 172.8
Word: i, start_time: 172.8, end_time: 172.9
Word: karmi, start_time: 172.9, end_time: 173.7
Word: niby, start_time: 173.7, end_time: 174.0
Word: dziecinne, start_time: 174.0, end_time: 174.6
Word: zanim, start_time: 174.6, end_time: 175.3
Word: stanie, start_time: 175.3, end_time: 175.7
Word: się, start_time: 175.7, end_time: 175.8
Word: człowiekiem, start_time: 175.8, end_time: 176.5
Word: przesłanie, start_time: 176.5, end_time: 178.3
Word: pępowinę, start_time: 178.3, end_time: 179.5
Transcript: znak to niskiej podłej duszy Narodowym to występkiem gdy kto związki panie skruszy z tym matczynym panie pępkiem I choć wrogiej siły czasem sznur pępkowy panie przed rąk w Suszu diabła z tym kutasem jak powiada stary Fredro etcetera etcetera 1 gada drugi gada praca żmudna ciężka szczera San Jubilat odpowiada i tak dalej i tak dalej coraz cieplej coraz bardziej w końcu obiad W dużej sali barszczyk łosoś Comber Sarni znów podają jubilata w różnych sosach na patelni znów się każdy głąb z nim brata wpiąć coraz to Bezczel niej aż wreszcie Dobrze gdzieś rano Gdyby są wszystkie likwory i każdy pałę zawianą A brzuch ma od śmiechu chory pacjent
Confidence: 0.8688560724258423
Word: znak, start_time: 179.9, end_time: 180.5
Word: to, start_time: 180.5, end_time: 180.7
Word: niskiej, start_time: 180.7, end_time: 181.4
Word: podłej, start_time: 181.4, end_time: 181.9
Word: duszy, start_time: 181.9, end_time: 182.3
Word: Narodowym, start_time: 182.3, end_time: 183.3
Word: to, start_time: 183.3, end_time: 183.4
Word: występkiem, start_time: 183.4, end_time: 184.1
Word: gdy, start_time: 184.1, end_time: 184.8
Word: kto, start_time: 184.8, end_time: 185.0
Word: związki, start_time: 185.0, end_time: 185.8
Word: panie, start_time: 185.8, end_time: 186.3
Word: skruszy, start_time: 186.3, end_time: 187.1
Word: z, start_time: 187.1, end_time: 187.2
Word: tym, start_time: 187.2, end_time: 187.7
Word: matczynym, start_time: 187.7, end_time: 188.6
Word: panie, start_time: 188.6, end_time: 189.3
Word: pępkiem, start_time: 189.3, end_time: 190.1
Word: I, start_time: 190.1, end_time: 190.4
Word: choć, start_time: 190.4, end_time: 191.0
Word: wrogiej, start_time: 191.0, end_time: 191.8
Word: siły, start_time: 191.8, end_time: 191.8
Word: czasem, start_time: 191.8, end_time: 192.6
Word: sznur, start_time: 192.6, end_time: 193.3
Word: pępkowy, start_time: 193.3, end_time: 194.1
Word: panie, start_time: 194.1, end_time: 194.6
Word: przed, start_time: 194.6, end_time: 195.2
Word: rąk, start_time: 195.2, end_time: 195.5
Word: w, start_time: 195.5, end_time: 195.6
Word: Suszu, start_time: 195.6, end_time: 196.4
Word: diabła, start_time: 196.4, end_time: 197.1
Word: z, start_time: 197.1, end_time: 197.1
Word: tym, start_time: 197.1, end_time: 197.5
Word: kutasem, start_time: 197.5, end_time: 198.1
Word: jak, start_time: 198.1, end_time: 198.6
Word: powiada, start_time: 198.6, end_time: 199.1
Word: stary, start_time: 199.1, end_time: 199.5
Word: Fredro, start_time: 199.5, end_time: 200.0
Word: etcetera, start_time: 200.0, end_time: 201.0
Word: etcetera, start_time: 201.0, end_time: 201.5
Word: 1, start_time: 201.5, end_time: 203.1
Word: gada, start_time: 203.1, end_time: 203.6
Word: drugi, start_time: 203.6, end_time: 204.2
Word: gada, start_time: 204.2, end_time: 204.7
Word: praca, start_time: 204.7, end_time: 205.5
Word: żmudna, start_time: 205.5, end_time: 206.1
Word: ciężka, start_time: 206.1, end_time: 206.9
Word: szczera, start_time: 206.9, end_time: 207.6
Word: San, start_time: 207.6, end_time: 208.4
Word: Jubilat, start_time: 208.4, end_time: 208.5
Word: odpowiada, start_time: 208.5, end_time: 209.6
Word: i, start_time: 209.6, end_time: 209.8
Word: tak, start_time: 209.8, end_time: 210.4
Word: dalej, start_time: 210.4, end_time: 210.9
Word: i, start_time: 210.9, end_time: 211.1
Word: tak, start_time: 211.1, end_time: 211.4
Word: dalej, start_time: 211.4, end_time: 211.5
Word: coraz, start_time: 211.5, end_time: 212.4
Word: cieplej, start_time: 212.4, end_time: 213.1
Word: coraz, start_time: 213.1, end_time: 213.5
Word: bardziej, start_time: 213.5, end_time: 214.2
Word: w, start_time: 214.2, end_time: 214.3
Word: końcu, start_time: 214.3, end_time: 215.0
Word: obiad, start_time: 215.0, end_time: 215.6
Word: W, start_time: 215.6, end_time: 215.7
Word: dużej, start_time: 215.7, end_time: 216.1
Word: sali, start_time: 216.1, end_time: 216.3
Word: barszczyk, start_time: 216.3, end_time: 217.4
Word: łosoś, start_time: 217.4, end_time: 217.9
Word: Comber, start_time: 217.9, end_time: 218.7
Word: Sarni, start_time: 218.7, end_time: 218.7
Word: znów, start_time: 218.7, end_time: 219.9
Word: podają, start_time: 219.9, end_time: 220.4
Word: jubilata, start_time: 220.4, end_time: 221.4
Word: w, start_time: 221.4, end_time: 221.5
Word: różnych, start_time: 221.5, end_time: 222.3
Word: sosach, start_time: 222.3, end_time: 222.5
Word: na, start_time: 222.5, end_time: 223.2
Word: patelni, start_time: 223.2, end_time: 223.8
Word: znów, start_time: 223.8, end_time: 224.5
Word: się, start_time: 224.5, end_time: 224.7
Word: każdy, start_time: 224.7, end_time: 225.3
Word: głąb, start_time: 225.3, end_time: 225.7
Word: z, start_time: 225.7, end_time: 225.8
Word: nim, start_time: 225.8, end_time: 226.0
Word: brata, start_time: 226.0, end_time: 226.5
Word: wpiąć, start_time: 226.5, end_time: 227.2
Word: coraz, start_time: 227.2, end_time: 228.3
Word: to, start_time: 228.3, end_time: 228.6
Word: Bezczel, start_time: 228.6, end_time: 229.1
Word: niej, start_time: 229.1, end_time: 229.4
Word: aż, start_time: 229.4, end_time: 230.2
Word: wreszcie, start_time: 230.2, end_time: 230.4
Word: Dobrze, start_time: 230.4, end_time: 231.2
Word: gdzieś, start_time: 231.2, end_time: 231.5
Word: rano, start_time: 231.5, end_time: 232.0
Word: Gdyby, start_time: 232.0, end_time: 232.8
Word: są, start_time: 232.8, end_time: 233.2
Word: wszystkie, start_time: 233.2, end_time: 233.9
Word: likwory, start_time: 233.9, end_time: 234.3
Word: i, start_time: 234.3, end_time: 234.5
Word: każdy, start_time: 234.5, end_time: 235.4
Word: pałę, start_time: 235.4, end_time: 235.9
Word: zawianą, start_time: 235.9, end_time: 236.4
Word: A, start_time: 236.4, end_time: 236.6
Word: brzuch, start_time: 236.6, end_time: 237.4
Word: ma, start_time: 237.4, end_time: 237.6
Word: od, start_time: 237.6, end_time: 237.8
Word: śmiechu, start_time: 237.8, end_time: 238.1
Word: chory, start_time: 238.1, end_time: 238.7
Word: pacjent, start_time: 238.7, end_time: 239.4
Transcript: odwożą do domu gdzie w pierzynie ciepłej legnie nim nowym takim godom znowu latek 10 zbiegnie ACI szelmy krakowianie dalej sobie łamią głowy komu by to wyrżnąć panie kawał jubileuszowy
Confidence: 0.8685195446014404
Word: odwożą, start_time: 239.8, end_time: 240.5
Word: do, start_time: 240.5, end_time: 240.8
Word: domu, start_time: 240.8, end_time: 241.1
Word: gdzie, start_time: 241.1, end_time: 241.7
Word: w, start_time: 241.7, end_time: 241.8
Word: pierzynie, start_time: 241.8, end_time: 242.3
Word: ciepłej, start_time: 242.3, end_time: 242.9
Word: legnie, start_time: 242.9, end_time: 243.5
Word: nim, start_time: 243.5, end_time: 244.1
Word: nowym, start_time: 244.1, end_time: 244.9
Word: takim, start_time: 244.9, end_time: 245.3
Word: godom, start_time: 245.3, end_time: 245.8
Word: znowu, start_time: 245.8, end_time: 246.6
Word: latek, start_time: 246.6, end_time: 247.1
Word: 10, start_time: 247.1, end_time: 247.9
Word: zbiegnie, start_time: 247.9, end_time: 248.5
Word: ACI, start_time: 248.5, end_time: 249.6
Word: szelmy, start_time: 249.6, end_time: 250.2
Word: krakowianie, start_time: 250.2, end_time: 251.0
Word: dalej, start_time: 251.0, end_time: 251.8
Word: sobie, start_time: 251.8, end_time: 252.0
Word: łamią, start_time: 252.0, end_time: 252.6
Word: głowy, start_time: 252.6, end_time: 253.1
Word: komu, start_time: 253.1, end_time: 254.0
Word: by, start_time: 254.0, end_time: 254.2
Word: to, start_time: 254.2, end_time: 254.4
Word: wyrżnąć, start_time: 254.4, end_time: 255.1
Word: panie, start_time: 255.1, end_time: 255.8
Word: kawał, start_time: 255.8, end_time: 256.7
Word: jubileuszowy, start_time: 256.7, end_time: 258.0
