Waiting for operation to complete...
Transcript: pobudka śpiewana przez Banderii Krakowską W czasie pochodu jubileuszowego w Wiedniu 1908 nuta Bartoszu Bartoszu Wojciechu Wojciechu nie trać ta animuszu Nie trać ta animuszu strasznie wam do twarzy w sowieckich kontuszu uziębło uziembło Lecz znowu się przegrzeje Lecz znowu się przegrzeje narodzie kochany Jeszcze miej nadzieję Turcy ja z Austrią znowu się wywodzą znowu się wywodzą jeszcze polskie szable na coś się przygodą pod Wiedeń pod Wiedeń droga przez Bronowice droga przez Bronowice Włodek już maluję kosy i szabli pan Rydel pan Rydel na odsiecz jedzie Estonii na odsiecz jedzie Estonii sam ma w swojej gębie siłę 3
Confidence: 0.8598509430885315
Word: pobudka, start_time: 0.0, end_time: 0.9
Transcript: 100 koni naturka naturka drukuje Pułk 13 rokuje Pułk 13 siadaj na koń Wojtek poprowadzisz nasty pod Wiedniem batalia powtórzy się ta sama powtórzy się ta sama czy ten czy ten wygra będzie Panorama
Confidence: 0.9495445489883423
Word: 100, start_time: 59.9, end_time: 60.2
Word: koni, start_time: 60.2, end_time: 60.7
Word: naturka, start_time: 60.7, end_time: 62.0
Word: naturka, start_time: 62.0, end_time: 63.1
Word: drukuje, start_time: 63.1, end_time: 64.3
Word: Pułk, start_time: 64.3, end_time: 64.7
Word: 13, start_time: 64.7, end_time: 65.5
Word: rokuje, start_time: 65.5, end_time: 66.5
Word: Pułk, start_time: 66.5, end_time: 67.0
Word: 13, start_time: 67.0, end_time: 67.7
Word: siadaj, start_time: 67.7, end_time: 68.8
Word: na, start_time: 68.8, end_time: 69.0
Word: koń, start_time: 69.0, end_time: 69.3
Word: Wojtek, start_time: 69.3, end_time: 69.9
Word: poprowadzisz, start_time: 69.9, end_time: 71.1
Word: nasty, start_time: 71.1, end_time: 71.7
Word: pod, start_time: 71.7, end_time: 72.3
Word: Wiedniem, start_time: 72.3, end_time: 72.6
Word: batalia, start_time: 72.6, end_time: 73.3
Word: powtórzy, start_time: 73.3, end_time: 74.1
Word: się, start_time: 74.1, end_time: 74.2
Word: ta, start_time: 74.2, end_time: 74.4
Word: sama, start_time: 74.4, end_time: 74.6
Word: powtórzy, start_time: 74.6, end_time: 75.8
Word: się, start_time: 75.8, end_time: 75.8
Word: ta, start_time: 75.8, end_time: 76.2
Word: sama, start_time: 76.2, end_time: 76.5
Word: czy, start_time: 76.5, end_time: 77.3
Word: ten, start_time: 77.3, end_time: 77.7
Word: czy, start_time: 77.7, end_time: 78.2
Word: ten, start_time: 78.2, end_time: 78.3
Word: wygra, start_time: 78.3, end_time: 78.9
Word: będzie, start_time: 78.9, end_time: 80.0
Word: Panorama, start_time: 80.0, end_time: 81.2
