Waiting for operation to complete...
Transcript: Juliusz Słowacki w pamiętniku Zofii Bobrówny Niechaj mnie Zośka o wiersze nie prosi bo kiedy Zośka do ojczyzny wróć i to Każdy kwiatek powie wiersze Zosi każda jej gwiazdka piosenkę zanucił kwiat przekwitnie nim gwiazdeczka zleci słuchaj bo to są najlepsi poeci gwiazdy błękitne kwiateczki czerwone będę ci całe poemata składać ja bym to samo powiedział co one bo ja się od nich nauczyłem gadać bo tam gdzie x i srebrne fale płyną byłem ja niegdyś jak Zośka dzieciną dzisiaj daleko Pojechałem w gości i dalej mnie los nieszczęśliwy goni przywieź mi zośko od tych gwiazd światłości przywieź mi zośko z tamtych kwiatów woni
Confidence: 0.9755407571792603
Word: Juliusz, start_time: 0.0, end_time: 1.1
Word: poemata, start_time: 29.5, end_time: 30.1
Word: składać, start_time: 30.1, end_time: 30.6
Word: ja, start_time: 30.6, end_time: 31.7
Word: bym, start_time: 31.7, end_time: 31.9
Word: to, start_time: 31.9, end_time: 32.0
Word: samo, start_time: 32.0, end_time: 32.3
Word: powiedział, start_time: 32.3, end_time: 32.8
Word: co, start_time: 32.8, end_time: 33.0
Word: one, start_time: 33.0, end_time: 33.3
Word: bo, start_time: 33.3, end_time: 34.0
Word: ja, start_time: 34.0, end_time: 34.2
Word: się, start_time: 34.2, end_time: 34.3
Word: od, start_time: 34.3, end_time: 34.5
Word: nich, start_time: 34.5, end_time: 34.6
Word: nauczyłem, start_time: 34.6, end_time: 35.3
Word: gadać, start_time: 35.3, end_time: 35.6
Word: bo, start_time: 35.6, end_time: 37.0
Word: tam, start_time: 37.0, end_time: 37.2
Word: gdzie, start_time: 37.2, end_time: 37.4
Word: x, start_time: 37.4, end_time: 37.8
Word: i, start_time: 37.8, end_time: 37.8
Word: srebrne, start_time: 37.8, end_time: 38.4
Word: fale, start_time: 38.4, end_time: 38.7
Word: płyną, start_time: 38.7, end_time: 39.1
Word: byłem, start_time: 39.1, end_time: 39.9
Word: ja, start_time: 39.9, end_time: 40.0
Word: niegdyś, start_time: 40.0, end_time: 40.3
Word: jak, start_time: 40.3, end_time: 40.5
Word: Zośka, start_time: 40.5, end_time: 40.9
Word: dzieciną, start_time: 40.9, end_time: 41.5
Word: dzisiaj, start_time: 41.5, end_time: 43.2
Word: daleko, start_time: 43.2, end_time: 43.5
Word: Pojechałem, start_time: 43.5, end_time: 44.1
Word: w, start_time: 44.1, end_time: 44.1
Word: gości, start_time: 44.1, end_time: 44.6
Word: i, start_time: 44.6, end_time: 44.7
Word: dalej, start_time: 44.7, end_time: 46.7
Word: mnie, start_time: 46.7, end_time: 46.9
Word: los, start_time: 46.9, end_time: 47.2
Word: nieszczęśliwy, start_time: 47.2, end_time: 48.0
Word: goni, start_time: 48.0, end_time: 48.3
Word: przywieź, start_time: 48.3, end_time: 50.5
Word: mi, start_time: 50.5, end_time: 50.7
Word: zośko, start_time: 50.7, end_time: 51.5
Word: od, start_time: 51.5, end_time: 52.5
Word: tych, start_time: 52.5, end_time: 52.7
Word: gwiazd, start_time: 52.7, end_time: 53.1
Word: światłości, start_time: 53.1, end_time: 54.1
Word: przywieź, start_time: 54.1, end_time: 56.1
Word: mi, start_time: 56.1, end_time: 56.3
Word: zośko, start_time: 56.3, end_time: 56.4
Word: z, start_time: 56.4, end_time: 56.9
Word: tamtych, start_time: 56.9, end_time: 58.0
Word: kwiatów, start_time: 58.0, end_time: 58.5
Word: woni, start_time: 58.5, end_time: 58.7
Transcript: bo mi naprawdę odmłodnieć potrzeba wróć mi więc z kraju taka jakby z nieba
Confidence: 0.9446316957473755
Word: bo, start_time: 59.9, end_time: 60.8
Word: mi, start_time: 60.8, end_time: 60.9
Word: naprawdę, start_time: 60.9, end_time: 61.2
Word: odmłodnieć, start_time: 61.2, end_time: 62.0
Word: potrzeba, start_time: 62.0, end_time: 62.6
Word: wróć, start_time: 62.6, end_time: 64.8
Word: mi, start_time: 64.8, end_time: 65.0
Word: więc, start_time: 65.0, end_time: 65.3
Word: z, start_time: 65.3, end_time: 65.4
Word: kraju, start_time: 65.4, end_time: 65.9
Word: taka, start_time: 65.9, end_time: 66.3
Word: jakby, start_time: 66.3, end_time: 67.5
Word: z, start_time: 67.5, end_time: 67.6
Word: nieba, start_time: 67.6, end_time: 67.9
