Waiting for operation to complete...
Transcript: składy FIFA pieśń ku pokrzepieniu serc wszystko dziś biada lepiej wcale nie żyć i pesymizmu słuchać zewsząd jęk a jednak państwo zechcieli cie mi wierzyć Życie jest piękne Życie ma swój wdzięk umieć je cenić to pierwsza zaleta nie żądać więcej niż na może dać wówczas braciszku jak mówi poeta garściami rozkosz zewsząd będziesz brać choć wszystko wezmę ci losy przeciwne pociechę pewno zesłał dobry Bóg to że tak powiem szczęście negatywne tego nie wydrze ci najstarszy wróg gdybyś tego szczęścia przeniknął sekreta pogodny idziesz wśród gromów już gdzie mogą ustąpić jak mówi poeta wszędzie ci życie kwitnie wieńcem róż wszędzie radości znajdziesz nowe źródło i dorosły
Confidence: 0.8534440398216248
Word: składy, start_time: 0.0, end_time: 1.2
Word: sobie, start_time: 154.3, end_time: 154.4
Word: dobrze, start_time: 154.4, end_time: 155.5
Word: że, start_time: 155.5, end_time: 155.7
Word: śmiejesz, start_time: 155.7, end_time: 157.4
Word: się, start_time: 157.4, end_time: 157.5
Word: błogo, start_time: 157.5, end_time: 158.1
Word: przed, start_time: 158.1, end_time: 158.5
Word: zamknięciem, start_time: 158.5, end_time: 159.1
Word: powiek, start_time: 159.1, end_time: 159.7
Word: i, start_time: 159.7, end_time: 159.8
Word: Dziękczynienia, start_time: 159.8, end_time: 161.0
Word: czyni, start_time: 161.0, end_time: 161.5
Word: szkolny, start_time: 161.5, end_time: 162.0
Word: gest, start_time: 162.0, end_time: 162.5
Word: tyle, start_time: 162.5, end_time: 163.2
Word: chciał, start_time: 163.2, end_time: 163.7
Word: tylko, start_time: 163.7, end_time: 164.0
Word: znajdziesz, start_time: 164.0, end_time: 165.3
Word: szczęście, start_time: 165.3, end_time: 165.5
Word: człowiek, start_time: 165.5, end_time: 166.4
Word: nie, start_time: 166.4, end_time: 167.0
Word: ma, start_time: 167.0, end_time: 167.1
Word: co, start_time: 167.1, end_time: 167.2
Word: mówić, start_time: 167.2, end_time: 167.3
Word: dobrze, start_time: 167.3, end_time: 168.5
Word: jest, start_time: 168.5, end_time: 169.0
Word: jak, start_time: 169.0, end_time: 169.2
Word: jest, start_time: 169.2, end_time: 169.7
Word: więc, start_time: 169.7, end_time: 170.6
Word: choć, start_time: 170.6, end_time: 170.9
Word: świat, start_time: 170.9, end_time: 171.4
Word: biada, start_time: 171.4, end_time: 171.8
Word: lepiej, start_time: 171.8, end_time: 172.6
Word: wcale, start_time: 172.6, end_time: 172.8
Word: nie, start_time: 172.8, end_time: 173.1
Word: żyć, start_time: 173.1, end_time: 173.4
Word: i, start_time: 173.4, end_time: 173.6
Word: pesymizmu, start_time: 173.6, end_time: 175.0
Word: słuchać, start_time: 175.0, end_time: 175.5
Word: zewsząd, start_time: 175.5, end_time: 175.8
Word: jęk, start_time: 175.8, end_time: 176.4
Word: Najmilsi, start_time: 176.4, end_time: 177.6
Word: bracia, start_time: 177.6, end_time: 178.1
Word: zechcieli, start_time: 178.1, end_time: 179.1
Word: cię, start_time: 179.1, end_time: 179.2
Word: mi, start_time: 179.2, end_time: 179.3
Word: wierzyć, start_time: 179.3, end_time: 179.9
Transcript: Życie jest piękne Życie ma swój wiek
Confidence: 0.8841638565063477
Word: Życie, start_time: 179.9, end_time: 180.9
Word: jest, start_time: 180.9, end_time: 181.4
Word: piękne, start_time: 181.4, end_time: 181.6
Word: Życie, start_time: 181.6, end_time: 183.1
Word: ma, start_time: 183.1, end_time: 183.8
Word: swój, start_time: 183.8, end_time: 184.3
Word: wiek, start_time: 184.3, end_time: 184.7
