Waiting for operation to complete...
Transcript: pożegnanie skąd to temat wziąć do nowej piosenki z kłopotami wzrok wodze tu i tam w tym zapakują mi brzuch rozbite bańki gdzieś z ogródka hen I już temat mam Niech dziś refren mój wiosna sama ludzi Niech rozproszy zbędnych Jesiennych lat niech młodości mi tętno mi przywróci niech mi od niej w krąg się rozstępy świat dość już piosence miałowych konceptów wspólnych naszych głupstw zbrzydło mi pusty gwar niech dziś nuta jej drży od cichych szeptów w rytmach jej niech gra pocałunków Żar cóż mi wreszcie są wasze wielkie sprawy od nie rozumi na szczyt własnych słówek z pedałem może wam parę chwil zabawy w nawzajem mnie
Confidence: 0.8204498291015625
Word: pożegnanie, start_time: 0.0, end_time: 1.3
Word: mi, start_time: 25.5, end_time: 25.9
Word: przywróci, start_time: 25.9, end_time: 26.5
Word: niech, start_time: 26.5, end_time: 27.2
Word: mi, start_time: 27.2, end_time: 27.4
Word: od, start_time: 27.4, end_time: 27.7
Word: niej, start_time: 27.7, end_time: 28.0
Word: w, start_time: 28.0, end_time: 28.1
Word: krąg, start_time: 28.1, end_time: 28.7
Word: się, start_time: 28.7, end_time: 28.9
Word: rozstępy, start_time: 28.9, end_time: 29.8
Word: świat, start_time: 29.8, end_time: 30.3
Word: dość, start_time: 30.3, end_time: 31.9
Word: już, start_time: 31.9, end_time: 32.2
Word: piosence, start_time: 32.2, end_time: 32.9
Word: miałowych, start_time: 32.9, end_time: 33.9
Word: konceptów, start_time: 33.9, end_time: 34.7
Word: wspólnych, start_time: 34.7, end_time: 35.9
Word: naszych, start_time: 35.9, end_time: 36.3
Word: głupstw, start_time: 36.3, end_time: 37.1
Word: zbrzydło, start_time: 37.1, end_time: 38.2
Word: mi, start_time: 38.2, end_time: 38.2
Word: pusty, start_time: 38.2, end_time: 38.9
Word: gwar, start_time: 38.9, end_time: 39.2
Word: niech, start_time: 39.2, end_time: 40.3
Word: dziś, start_time: 40.3, end_time: 40.6
Word: nuta, start_time: 40.6, end_time: 41.2
Word: jej, start_time: 41.2, end_time: 41.4
Word: drży, start_time: 41.4, end_time: 41.9
Word: od, start_time: 41.9, end_time: 42.4
Word: cichych, start_time: 42.4, end_time: 43.0
Word: szeptów, start_time: 43.0, end_time: 43.1
Word: w, start_time: 43.1, end_time: 43.7
Word: rytmach, start_time: 43.7, end_time: 44.6
Word: jej, start_time: 44.6, end_time: 45.0
Word: niech, start_time: 45.0, end_time: 45.5
Word: gra, start_time: 45.5, end_time: 45.9
Word: pocałunków, start_time: 45.9, end_time: 47.0
Word: Żar, start_time: 47.0, end_time: 47.3
Word: cóż, start_time: 47.3, end_time: 48.4
Word: mi, start_time: 48.4, end_time: 48.6
Word: wreszcie, start_time: 48.6, end_time: 48.8
Word: są, start_time: 48.8, end_time: 49.2
Word: wasze, start_time: 49.2, end_time: 49.7
Word: wielkie, start_time: 49.7, end_time: 50.4
Word: sprawy, start_time: 50.4, end_time: 50.6
Word: od, start_time: 50.6, end_time: 51.8
Word: nie, start_time: 51.8, end_time: 51.9
Word: rozumi, start_time: 51.9, end_time: 52.5
Word: na, start_time: 52.5, end_time: 52.7
Word: szczyt, start_time: 52.7, end_time: 53.2
Word: własnych, start_time: 53.2, end_time: 54.1
Word: słówek, start_time: 54.1, end_time: 54.6
Word: z, start_time: 54.6, end_time: 54.8
Word: pedałem, start_time: 54.8, end_time: 56.2
Word: może, start_time: 56.2, end_time: 56.6
Word: wam, start_time: 56.6, end_time: 56.8
Word: parę, start_time: 56.8, end_time: 57.1
Word: chwil, start_time: 57.1, end_time: 57.3
Word: zabawy, start_time: 57.3, end_time: 58.1
Word: w, start_time: 58.1, end_time: 58.2
Word: nawzajem, start_time: 58.2, end_time: 59.2
Word: mnie, start_time: 59.2, end_time: 59.7
Transcript: więc jesteśmy kwita tych niewiele dni które mi zostały zanim zacznie świat czcić mój siwy włos wolę sklecić już wdzięczne madrygały w służbie pięknych dam stroić lutni głos a gdy z czasem a zwykłą rzeczy kolej przyjdzie na mnie to co się musi stać choć z kretesem już będę Viera moli w nowej piosence tej mniej to będzie znać
Confidence: 0.9405654668807983
Word: więc, start_time: 59.9, end_time: 60.4
Word: jesteśmy, start_time: 60.4, end_time: 61.0
Word: kwita, start_time: 61.0, end_time: 61.4
Word: tych, start_time: 61.4, end_time: 62.2
Word: niewiele, start_time: 62.2, end_time: 62.6
Word: dni, start_time: 62.6, end_time: 62.8
Word: które, start_time: 62.8, end_time: 63.3
Word: mi, start_time: 63.3, end_time: 63.4
Word: zostały, start_time: 63.4, end_time: 63.5
Word: zanim, start_time: 63.5, end_time: 64.9
Word: zacznie, start_time: 64.9, end_time: 65.4
Word: świat, start_time: 65.4, end_time: 65.8
Word: czcić, start_time: 65.8, end_time: 66.3
Word: mój, start_time: 66.3, end_time: 66.6
Word: siwy, start_time: 66.6, end_time: 67.0
Word: włos, start_time: 67.0, end_time: 67.2
Word: wolę, start_time: 67.2, end_time: 68.3
Word: sklecić, start_time: 68.3, end_time: 68.6
Word: już, start_time: 68.6, end_time: 69.2
Word: wdzięczne, start_time: 69.2, end_time: 70.2
Word: madrygały, start_time: 70.2, end_time: 70.9
Word: w, start_time: 70.9, end_time: 71.0
Word: służbie, start_time: 71.0, end_time: 72.0
Word: pięknych, start_time: 72.0, end_time: 72.8
Word: dam, start_time: 72.8, end_time: 73.1
Word: stroić, start_time: 73.1, end_time: 73.8
Word: lutni, start_time: 73.8, end_time: 74.5
Word: głos, start_time: 74.5, end_time: 74.8
Word: a, start_time: 74.8, end_time: 75.2
Word: gdy, start_time: 75.2, end_time: 75.6
Word: z, start_time: 75.6, end_time: 75.7
Word: czasem, start_time: 75.7, end_time: 76.1
Word: a, start_time: 76.1, end_time: 76.4
Word: zwykłą, start_time: 76.4, end_time: 77.3
Word: rzeczy, start_time: 77.3, end_time: 77.6
Word: kolej, start_time: 77.6, end_time: 77.7
Word: przyjdzie, start_time: 77.7, end_time: 78.8
Word: na, start_time: 78.8, end_time: 79.0
Word: mnie, start_time: 79.0, end_time: 79.1
Word: to, start_time: 79.1, end_time: 79.4
Word: co, start_time: 79.4, end_time: 79.8
Word: się, start_time: 79.8, end_time: 79.9
Word: musi, start_time: 79.9, end_time: 80.2
Word: stać, start_time: 80.2, end_time: 80.6
Word: choć, start_time: 80.6, end_time: 82.0
Word: z, start_time: 82.0, end_time: 82.1
Word: kretesem, start_time: 82.1, end_time: 82.5
Word: już, start_time: 82.5, end_time: 82.9
Word: będę, start_time: 82.9, end_time: 83.4
Word: Viera, start_time: 83.4, end_time: 84.2
Word: moli, start_time: 84.2, end_time: 84.5
Word: w, start_time: 84.5, end_time: 84.7
Word: nowej, start_time: 84.7, end_time: 85.7
Word: piosence, start_time: 85.7, end_time: 86.5
Word: tej, start_time: 86.5, end_time: 86.9
Word: mniej, start_time: 86.9, end_time: 87.6
Word: to, start_time: 87.6, end_time: 87.8
Word: będzie, start_time: 87.8, end_time: 88.3
Word: znać, start_time: 88.3, end_time: 88.7
