Waiting for operation to complete...
Transcript: Franciszek Karpiński do Justyny drzewa liście małe były gdybyś rozkochał Justynie dzisiaj chce się rozkrzewia gałąź wasza chłodem słynie insem już owoc dały Co mnie w drobnym ziarnku sadził Na szczęście mojej zuchwałej drzewa jak ziemia się zdradził ona mnie dotąd nie kocha choć jej wzgardy znoszę skromnie trzyma mnie że nie jest płocha martwi że nie dba i o mnie Justyno moje Justyno Patrz jak mam Ustaw pieczone jak z oczu moich łzy płyną ach ty nie patrzysz w tę stronę przystąpieniu ku mnie bliżej bo wy czasem i leczyć da się choroba choć przeżyli zaraza jest
Confidence: 0.939647912979126
Word: Franciszek, start_time: 0.0, end_time: 0.9
Word: ziarnku, start_time: 18.8, end_time: 19.3
Word: sadził, start_time: 19.3, end_time: 19.9
Word: Na, start_time: 19.9, end_time: 20.4
Word: szczęście, start_time: 20.4, end_time: 20.9
Word: mojej, start_time: 20.9, end_time: 21.3
Word: zuchwałej, start_time: 21.3, end_time: 22.1
Word: drzewa, start_time: 22.1, end_time: 23.6
Word: jak, start_time: 23.6, end_time: 24.6
Word: ziemia, start_time: 24.6, end_time: 25.0
Word: się, start_time: 25.0, end_time: 25.1
Word: zdradził, start_time: 25.1, end_time: 26.1
Word: ona, start_time: 26.1, end_time: 27.6
Word: mnie, start_time: 27.6, end_time: 27.9
Word: dotąd, start_time: 27.9, end_time: 28.2
Word: nie, start_time: 28.2, end_time: 28.7
Word: kocha, start_time: 28.7, end_time: 29.2
Word: choć, start_time: 29.2, end_time: 29.9
Word: jej, start_time: 29.9, end_time: 30.2
Word: wzgardy, start_time: 30.2, end_time: 30.7
Word: znoszę, start_time: 30.7, end_time: 31.1
Word: skromnie, start_time: 31.1, end_time: 31.8
Word: trzyma, start_time: 31.8, end_time: 32.6
Word: mnie, start_time: 32.6, end_time: 32.8
Word: że, start_time: 32.8, end_time: 33.6
Word: nie, start_time: 33.6, end_time: 33.8
Word: jest, start_time: 33.8, end_time: 33.9
Word: płocha, start_time: 33.9, end_time: 34.6
Word: martwi, start_time: 34.6, end_time: 35.9
Word: że, start_time: 35.9, end_time: 36.1
Word: nie, start_time: 36.1, end_time: 36.8
Word: dba, start_time: 36.8, end_time: 37.3
Word: i, start_time: 37.3, end_time: 37.5
Word: o, start_time: 37.5, end_time: 37.8
Word: mnie, start_time: 37.8, end_time: 38.2
Word: Justyno, start_time: 38.2, end_time: 40.1
Word: moje, start_time: 40.1, end_time: 40.7
Word: Justyno, start_time: 40.7, end_time: 41.3
Word: Patrz, start_time: 41.3, end_time: 42.3
Word: jak, start_time: 42.3, end_time: 42.6
Word: mam, start_time: 42.6, end_time: 42.8
Word: Ustaw, start_time: 42.8, end_time: 43.3
Word: pieczone, start_time: 43.3, end_time: 44.0
Word: jak, start_time: 44.0, end_time: 44.9
Word: z, start_time: 44.9, end_time: 45.0
Word: oczu, start_time: 45.0, end_time: 45.4
Word: moich, start_time: 45.4, end_time: 45.7
Word: łzy, start_time: 45.7, end_time: 46.1
Word: płyną, start_time: 46.1, end_time: 46.7
Word: ach, start_time: 46.7, end_time: 47.5
Word: ty, start_time: 47.5, end_time: 48.3
Word: nie, start_time: 48.3, end_time: 48.4
Word: patrzysz, start_time: 48.4, end_time: 48.9
Word: w, start_time: 48.9, end_time: 49.1
Word: tę, start_time: 49.1, end_time: 49.2
Word: stronę, start_time: 49.2, end_time: 49.4
Word: przystąpieniu, start_time: 49.4, end_time: 51.8
Word: ku, start_time: 51.8, end_time: 52.0
Word: mnie, start_time: 52.0, end_time: 52.1
Word: bliżej, start_time: 52.1, end_time: 52.7
Word: bo, start_time: 52.7, end_time: 53.5
Word: wy, start_time: 53.5, end_time: 53.7
Word: czasem, start_time: 53.7, end_time: 54.2
Word: i, start_time: 54.2, end_time: 54.2
Word: leczyć, start_time: 54.2, end_time: 54.9
Word: da, start_time: 54.9, end_time: 55.9
Word: się, start_time: 55.9, end_time: 56.1
Word: choroba, start_time: 56.1, end_time: 56.6
Word: choć, start_time: 56.6, end_time: 56.9
Word: przeżyli, start_time: 56.9, end_time: 58.2
Word: zaraza, start_time: 58.2, end_time: 58.9
Word: jest, start_time: 58.9, end_time: 59.3
Transcript: życie nie wiesz co miłość kosztuje jak ogień wnętrzności trawi jak rdza żelazo z mocuje i raz głęboki zostawi skłonność twoja do litości głośno w okolicy całej samej nie znając miłości ranisz mnie chociaż zbolały kiedyś tak w utworze trwała podróż ja cię odstępuje a ty Łaskawie spojrzała Nie wierz mi ja to żartuję
Confidence: 0.9396176934242249
Word: życie, start_time: 59.9, end_time: 60.5
Word: nie, start_time: 60.5, end_time: 61.6
Word: wiesz, start_time: 61.6, end_time: 61.9
Word: co, start_time: 61.9, end_time: 62.2
Word: miłość, start_time: 62.2, end_time: 62.7
Word: kosztuje, start_time: 62.7, end_time: 63.0
Word: jak, start_time: 63.0, end_time: 64.3
Word: ogień, start_time: 64.3, end_time: 64.7
Word: wnętrzności, start_time: 64.7, end_time: 65.7
Word: trawi, start_time: 65.7, end_time: 66.2
Word: jak, start_time: 66.2, end_time: 67.0
Word: rdza, start_time: 67.0, end_time: 67.4
Word: żelazo, start_time: 67.4, end_time: 68.5
Word: z, start_time: 68.5, end_time: 68.6
Word: mocuje, start_time: 68.6, end_time: 69.2
Word: i, start_time: 69.2, end_time: 69.4
Word: raz, start_time: 69.4, end_time: 70.2
Word: głęboki, start_time: 70.2, end_time: 71.3
Word: zostawi, start_time: 71.3, end_time: 72.1
Word: skłonność, start_time: 72.1, end_time: 73.9
Word: twoja, start_time: 73.9, end_time: 74.4
Word: do, start_time: 74.4, end_time: 74.5
Word: litości, start_time: 74.5, end_time: 75.3
Word: głośno, start_time: 75.3, end_time: 76.2
Word: w, start_time: 76.2, end_time: 76.3
Word: okolicy, start_time: 76.3, end_time: 76.9
Word: całej, start_time: 76.9, end_time: 77.5
Word: samej, start_time: 77.5, end_time: 78.7
Word: nie, start_time: 78.7, end_time: 79.0
Word: znając, start_time: 79.0, end_time: 79.5
Word: miłości, start_time: 79.5, end_time: 80.4
Word: ranisz, start_time: 80.4, end_time: 81.2
Word: mnie, start_time: 81.2, end_time: 81.4
Word: chociaż, start_time: 81.4, end_time: 82.5
Word: zbolały, start_time: 82.5, end_time: 83.4
Word: kiedyś, start_time: 83.4, end_time: 84.9
Word: tak, start_time: 84.9, end_time: 85.1
Word: w, start_time: 85.1, end_time: 85.2
Word: utworze, start_time: 85.2, end_time: 85.8
Word: trwała, start_time: 85.8, end_time: 86.5
Word: podróż, start_time: 86.5, end_time: 87.4
Word: ja, start_time: 87.4, end_time: 87.7
Word: cię, start_time: 87.7, end_time: 88.0
Word: odstępuje, start_time: 88.0, end_time: 89.4
Word: a, start_time: 89.4, end_time: 89.6
Word: ty, start_time: 89.6, end_time: 91.7
Word: Łaskawie, start_time: 91.7, end_time: 92.2
Word: spojrzała, start_time: 92.2, end_time: 93.0
Word: Nie, start_time: 93.0, end_time: 94.7
Word: wierz, start_time: 94.7, end_time: 95.1
Word: mi, start_time: 95.1, end_time: 95.3
Word: ja, start_time: 95.3, end_time: 95.4
Word: to, start_time: 95.4, end_time: 96.6
Word: żartuję, start_time: 96.6, end_time: 97.6
