Waiting for operation to complete...
Transcript: Miłosz Biedrzycki
Confidence: 0.9785358309745789
Word: Miłosz, start_time: 0.0, end_time: 0.5
Word: 6:00, start_time: 49.1, end_time: 49.5
Word: na, start_time: 49.5, end_time: 49.7
Word: czarno, start_time: 49.7, end_time: 50.1
Word: na, start_time: 50.1, end_time: 50.2
Word: budowie, start_time: 50.2, end_time: 50.7
Transcript:  właściwie przestałem pisać czasami opowiadam klechdy o Polsce wzruszam publiczność biorę za to pieniądze właściwie przestałem pisać
Confidence: 0.9303300976753235
Word: właściwie, start_time: 52.2, end_time: 52.8
Word: przestałem, start_time: 52.8, end_time: 53.3
Word: pisać, start_time: 53.3, end_time: 53.5
Word: czasami, start_time: 53.5, end_time: 55.0
Word: opowiadam, start_time: 55.0, end_time: 55.6
Word: klechdy, start_time: 55.6, end_time: 56.0
Word: o, start_time: 56.0, end_time: 56.1
Word: Polsce, start_time: 56.1, end_time: 57.2
Word: wzruszam, start_time: 57.2, end_time: 58.3
Word: publiczność, start_time: 58.3, end_time: 58.9
Word: biorę, start_time: 58.9, end_time: 60.1
Word: za, start_time: 60.1, end_time: 60.2
Word: to, start_time: 60.2, end_time: 60.3
Word: pieniądze, start_time: 60.3, end_time: 60.6
Word: właściwie, start_time: 60.6, end_time: 62.0
Word: przestałem, start_time: 62.0, end_time: 62.4
Word: pisać, start_time: 62.4, end_time: 62.7
Transcript:  Coś wisi w powietrzu jakieś oczekiwanie kiedy przymknę powieki widzę przez drgające w upale powietrze czerwoną spękane skorupy ziemi pokryte kurzem woły ciągną wóz o wielkich drewnianych kołach
Confidence: 0.9355502724647522
Word: Coś, start_time: 63.9, end_time: 64.4
Word: wisi, start_time: 64.4, end_time: 64.6
Word: w, start_time: 64.6, end_time: 64.7
Word: powietrzu, start_time: 64.7, end_time: 64.9
Word: jakieś, start_time: 64.9, end_time: 66.0
Word: oczekiwanie, start_time: 66.0, end_time: 66.8
Word: kiedy, start_time: 66.8, end_time: 67.1
Word: przymknę, start_time: 67.1, end_time: 67.5
Word: powieki, start_time: 67.5, end_time: 68.0
Word: widzę, start_time: 68.0, end_time: 69.3
Word: przez, start_time: 69.3, end_time: 69.5
Word: drgające, start_time: 69.5, end_time: 70.2
Word: w, start_time: 70.2, end_time: 70.2
Word: upale, start_time: 70.2, end_time: 70.6
Word: powietrze, start_time: 70.6, end_time: 71.2
Word: czerwoną, start_time: 71.2, end_time: 71.9
Word: spękane, start_time: 71.9, end_time: 72.7
Word: skorupy, start_time: 72.7, end_time: 73.3
Word: ziemi, start_time: 73.3, end_time: 73.6
Word: pokryte, start_time: 73.6, end_time: 74.9
Word: kurzem, start_time: 74.9, end_time: 75.3
Word: woły, start_time: 75.3, end_time: 75.8
Word: ciągną, start_time: 75.8, end_time: 76.4
Word: wóz, start_time: 76.4, end_time: 76.7
Word: o, start_time: 76.7, end_time: 76.9
Word: wielkich, start_time: 76.9, end_time: 77.4
Word: drewnianych, start_time: 77.4, end_time: 77.8
Word: kołach, start_time: 77.8, end_time: 78.2
Transcript:  przebiega w chłodne z ciężkim analiza ładunkiem haszyszu na plecach Jeep przeciążony bronią z przemytu mozolnie wspinała się na porośnięte parującą dżunglą górę odprowadzany obojętnym spojrzeniem malgaszów tych czarnoskórych Chińczyków
Confidence: 0.9189231991767883
Word: przebiega, start_time: 79.5, end_time: 80.1
Word: w, start_time: 80.1, end_time: 80.2
Word: chłodne, start_time: 80.2, end_time: 80.5
Word: z, start_time: 80.5, end_time: 80.6
Word: ciężkim, start_time: 80.6, end_time: 81.1
Word: analiza, start_time: 81.1, end_time: 81.7
Word: ładunkiem, start_time: 81.7, end_time: 82.1
Word: haszyszu, start_time: 82.1, end_time: 82.6
Word: na, start_time: 82.6, end_time: 82.7
Word: plecach, start_time: 82.7, end_time: 83.1
Word: Jeep, start_time: 83.1, end_time: 84.5
Word: przeciążony, start_time: 84.5, end_time: 85.2
Word: bronią, start_time: 85.2, end_time: 85.6
Word: z, start_time: 85.6, end_time: 85.7
Word: przemytu, start_time: 85.7, end_time: 86.1
Word: mozolnie, start_time: 86.1, end_time: 86.6
Word: wspinała, start_time: 86.6, end_time: 86.7
Word: się, start_time: 86.7, end_time: 87.3
Word: na, start_time: 87.3, end_time: 87.4
Word: porośnięte, start_time: 87.4, end_time: 88.0
Word: parującą, start_time: 88.0, end_time: 88.7
Word: dżunglą, start_time: 88.7, end_time: 89.3
Word: górę, start_time: 89.3, end_time: 90.0
Word: odprowadzany, start_time: 90.0, end_time: 91.4
Word: obojętnym, start_time: 91.4, end_time: 92.0
Word: spojrzeniem, start_time: 92.0, end_time: 92.5
Word: malgaszów, start_time: 92.5, end_time: 93.1
Word: tych, start_time: 93.1, end_time: 94.0
Word: czarnoskórych, start_time: 94.0, end_time: 94.6
Word: Chińczyków, start_time: 94.6, end_time: 95.2
Transcript:  w nocy budzi mnie bicie bębnów jazgot tureckich piszczałek w ciszy wpatruje się w sufit jakbym miał dokądś jechać jakbym miał złapać chifa I umrzeć jak dawniej Latał cały
Confidence: 0.9051927328109741
Word: w, start_time: 97.0, end_time: 97.1
Word: nocy, start_time: 97.1, end_time: 97.8
Word: budzi, start_time: 97.8, end_time: 98.2
Word: mnie, start_time: 98.2, end_time: 98.3
Word: bicie, start_time: 98.3, end_time: 98.7
Word: bębnów, start_time: 98.7, end_time: 99.4
Word: jazgot, start_time: 99.4, end_time: 100.3
Word: tureckich, start_time: 100.3, end_time: 100.8
Word: piszczałek, start_time: 100.8, end_time: 101.2
Word: w, start_time: 101.2, end_time: 101.4
Word: ciszy, start_time: 101.4, end_time: 102.4
Word: wpatruje, start_time: 102.4, end_time: 102.7
Word: się, start_time: 102.7, end_time: 102.9
Word: w, start_time: 102.9, end_time: 102.9
Word: sufit, start_time: 102.9, end_time: 103.2
Word: jakbym, start_time: 103.2, end_time: 104.0
Word: miał, start_time: 104.0, end_time: 104.2
Word: dokądś, start_time: 104.2, end_time: 104.7
Word: jechać, start_time: 104.7, end_time: 104.8
Word: jakbym, start_time: 104.8, end_time: 106.4
Word: miał, start_time: 106.4, end_time: 106.6
Word: złapać, start_time: 106.6, end_time: 107.0
Word: chifa, start_time: 107.0, end_time: 107.4
Word: I, start_time: 107.4, end_time: 107.5
Word: umrzeć, start_time: 107.5, end_time: 108.0
Word: jak, start_time: 108.0, end_time: 109.0
Word: dawniej, start_time: 109.0, end_time: 109.7
Word: Latał, start_time: 109.7, end_time: 110.2
Word: cały, start_time: 110.2, end_time: 110.4
Transcript:  teraz tylko jak obsada
Confidence: 0.8692686557769775
Word: teraz, start_time: 112.1, end_time: 112.6
Word: tylko, start_time: 112.6, end_time: 112.8
Word: jak, start_time: 112.8, end_time: 113.1
Word: obsada, start_time: 113.1, end_time: 113.8
