Waiting for operation to complete...
Transcript: akt trzeci scena pierwsza Damis doryna dummies Niechaj piorun na miejscu przetnie moje losy niechaj mu głowę hańbą pokryją niebiosy Jeśli dzisiaj na żadne już nie bacząc względy mnie wezmę się na dobre do tego przybłędy przez litości nie chce się pan trochę uspokoi Także ojciec o chęci tylko mówił swojej do czynu stąd daleko i nie raz już prysły najgorętsze pragnienia ludzkich zamysły dummies nie Przysięgam nie cofnąć się dzisiaj przed niczym aby już raz gruntownie skończyć z tym pani czym do rana tylko nie ma zbytnio chcieli mi wierzyć proszę że lepiej pozostawić rzecz pani macosze ona ma wpływ na niego We wszystkim co powie jej stara się przemienić i myślę że kto wie czy coś więcej nie kryje to słodycz układ na Dałby Bóg by tak było żeby była
Confidence: 0.8566076755523682
Word: akt, start_time: 0.0, end_time: 1.3
Word: prysły, start_time: 29.4, end_time: 30.0
Word: najgorętsze, start_time: 30.0, end_time: 30.9
Word: pragnienia, start_time: 30.9, end_time: 31.5
Word: ludzkich, start_time: 31.5, end_time: 31.8
Word: zamysły, start_time: 31.8, end_time: 32.7
Word: dummies, start_time: 32.7, end_time: 33.4
Word: nie, start_time: 33.4, end_time: 34.1
Word: Przysięgam, start_time: 34.1, end_time: 34.9
Word: nie, start_time: 34.9, end_time: 35.0
Word: cofnąć, start_time: 35.0, end_time: 35.6
Word: się, start_time: 35.6, end_time: 35.7
Word: dzisiaj, start_time: 35.7, end_time: 36.1
Word: przed, start_time: 36.1, end_time: 36.4
Word: niczym, start_time: 36.4, end_time: 36.6
Word: aby, start_time: 36.6, end_time: 36.9
Word: już, start_time: 36.9, end_time: 37.6
Word: raz, start_time: 37.6, end_time: 38.2
Word: gruntownie, start_time: 38.2, end_time: 38.9
Word: skończyć, start_time: 38.9, end_time: 39.7
Word: z, start_time: 39.7, end_time: 39.8
Word: tym, start_time: 39.8, end_time: 40.0
Word: pani, start_time: 40.0, end_time: 40.2
Word: czym, start_time: 40.2, end_time: 40.5
Word: do, start_time: 40.5, end_time: 41.3
Word: rana, start_time: 41.3, end_time: 41.6
Word: tylko, start_time: 41.6, end_time: 42.4
Word: nie, start_time: 42.4, end_time: 42.8
Word: ma, start_time: 42.8, end_time: 42.9
Word: zbytnio, start_time: 42.9, end_time: 43.6
Word: chcieli, start_time: 43.6, end_time: 44.4
Word: mi, start_time: 44.4, end_time: 44.5
Word: wierzyć, start_time: 44.5, end_time: 44.9
Word: proszę, start_time: 44.9, end_time: 45.3
Word: że, start_time: 45.3, end_time: 45.7
Word: lepiej, start_time: 45.7, end_time: 45.9
Word: pozostawić, start_time: 45.9, end_time: 46.4
Word: rzecz, start_time: 46.4, end_time: 46.9
Word: pani, start_time: 46.9, end_time: 47.2
Word: macosze, start_time: 47.2, end_time: 47.7
Word: ona, start_time: 47.7, end_time: 48.3
Word: ma, start_time: 48.3, end_time: 48.5
Word: wpływ, start_time: 48.5, end_time: 48.8
Word: na, start_time: 48.8, end_time: 48.9
Word: niego, start_time: 48.9, end_time: 49.3
Word: We, start_time: 49.3, end_time: 49.4
Word: wszystkim, start_time: 49.4, end_time: 50.0
Word: co, start_time: 50.0, end_time: 50.1
Word: powie, start_time: 50.1, end_time: 50.5
Word: jej, start_time: 50.5, end_time: 51.2
Word: stara, start_time: 51.2, end_time: 51.5
Word: się, start_time: 51.5, end_time: 51.7
Word: przemienić, start_time: 51.7, end_time: 52.4
Word: i, start_time: 52.4, end_time: 52.5
Word: myślę, start_time: 52.5, end_time: 53.1
Word: że, start_time: 53.1, end_time: 53.2
Word: kto, start_time: 53.2, end_time: 53.5
Word: wie, start_time: 53.5, end_time: 53.8
Word: czy, start_time: 53.8, end_time: 54.4
Word: coś, start_time: 54.4, end_time: 54.5
Word: więcej, start_time: 54.5, end_time: 55.1
Word: nie, start_time: 55.1, end_time: 55.2
Word: kryje, start_time: 55.2, end_time: 55.6
Word: to, start_time: 55.6, end_time: 55.8
Word: słodycz, start_time: 55.8, end_time: 56.3
Word: układ, start_time: 56.3, end_time: 56.8
Word: na, start_time: 56.8, end_time: 56.9
Word: Dałby, start_time: 56.9, end_time: 57.9
Word: Bóg, start_time: 57.9, end_time: 58.0
Word: by, start_time: 58.0, end_time: 58.4
Word: tak, start_time: 58.4, end_time: 58.5
Word: było, start_time: 58.5, end_time: 58.7
Word: żeby, start_time: 58.7, end_time: 59.6
Word: była, start_time: 59.6, end_time: 59.8
Transcript: ładna słowem pani ma widzieć się z nim w sprawie twojej chcę zbadać czy cię słusznie wieść tanie pokoje przeniknąć jego chęci i dać do Poznania iż sam prosty rozsądek upierać się wzbrania przytulanie co z oporem spotka się gorącym on teraz przy pacierzu mówiłam służącym bo z nim samym nie mogłam leczy Rychu to stanie oddał się więc by ovo ułatwić spotkanie dummies wszak może się i przy mnie od być ta rozmowa Dolina nie muszą zostać Sammy Davis mieszek mini słowa dolina żartuję pan przed jednym zwykłym swym wybuchem gotów byś całą sprawę zepsuć Jestem zuchem Idź już do mnie nie ma zbyt blisko sprawa ta dotyka doryna Och jaki pan nieznośny idzie Niech pan zmyka dummies chowa się w przyległym gabinecie w głębi
Confidence: 0.830333411693573
Word: ładna, start_time: 59.9, end_time: 60.4
Word: słowem, start_time: 60.4, end_time: 61.2
Word: pani, start_time: 61.2, end_time: 61.7
Word: ma, start_time: 61.7, end_time: 61.9
Word: widzieć, start_time: 61.9, end_time: 62.3
Word: się, start_time: 62.3, end_time: 62.4
Word: z, start_time: 62.4, end_time: 62.6
Word: nim, start_time: 62.6, end_time: 62.8
Word: w, start_time: 62.8, end_time: 62.8
Word: sprawie, start_time: 62.8, end_time: 62.9
Word: twojej, start_time: 62.9, end_time: 63.8
Word: chcę, start_time: 63.8, end_time: 64.3
Word: zbadać, start_time: 64.3, end_time: 64.6
Word: czy, start_time: 64.6, end_time: 65.3
Word: cię, start_time: 65.3, end_time: 65.4
Word: słusznie, start_time: 65.4, end_time: 65.7
Word: wieść, start_time: 65.7, end_time: 66.3
Word: tanie, start_time: 66.3, end_time: 66.6
Word: pokoje, start_time: 66.6, end_time: 66.9
Word: przeniknąć, start_time: 66.9, end_time: 68.1
Word: jego, start_time: 68.1, end_time: 68.5
Word: chęci, start_time: 68.5, end_time: 68.9
Word: i, start_time: 68.9, end_time: 68.9
Word: dać, start_time: 68.9, end_time: 69.3
Word: do, start_time: 69.3, end_time: 69.5
Word: Poznania, start_time: 69.5, end_time: 70.0
Word: iż, start_time: 70.0, end_time: 70.5
Word: sam, start_time: 70.5, end_time: 70.8
Word: prosty, start_time: 70.8, end_time: 71.3
Word: rozsądek, start_time: 71.3, end_time: 71.8
Word: upierać, start_time: 71.8, end_time: 72.3
Word: się, start_time: 72.3, end_time: 72.4
Word: wzbrania, start_time: 72.4, end_time: 72.9
Word: przytulanie, start_time: 72.9, end_time: 73.9
Word: co, start_time: 73.9, end_time: 74.1
Word: z, start_time: 74.1, end_time: 74.2
Word: oporem, start_time: 74.2, end_time: 74.6
Word: spotka, start_time: 74.6, end_time: 75.1
Word: się, start_time: 75.1, end_time: 75.2
Word: gorącym, start_time: 75.2, end_time: 75.8
Word: on, start_time: 75.8, end_time: 76.3
Word: teraz, start_time: 76.3, end_time: 76.5
Word: przy, start_time: 76.5, end_time: 76.8
Word: pacierzu, start_time: 76.8, end_time: 77.2
Word: mówiłam, start_time: 77.2, end_time: 78.1
Word: służącym, start_time: 78.1, end_time: 78.9
Word: bo, start_time: 78.9, end_time: 79.2
Word: z, start_time: 79.2, end_time: 79.3
Word: nim, start_time: 79.3, end_time: 79.5
Word: samym, start_time: 79.5, end_time: 79.8
Word: nie, start_time: 79.8, end_time: 80.0
Word: mogłam, start_time: 80.0, end_time: 80.4
Word: leczy, start_time: 80.4, end_time: 80.6
Word: Rychu, start_time: 80.6, end_time: 80.9
Word: to, start_time: 80.9, end_time: 81.1
Word: stanie, start_time: 81.1, end_time: 81.5
Word: oddał, start_time: 81.5, end_time: 82.3
Word: się, start_time: 82.3, end_time: 82.5
Word: więc, start_time: 82.5, end_time: 82.8
Word: by, start_time: 82.8, end_time: 83.0
Word: ovo, start_time: 83.0, end_time: 83.3
Word: ułatwić, start_time: 83.3, end_time: 83.9
Word: spotkanie, start_time: 83.9, end_time: 84.5
Word: dummies, start_time: 84.5, end_time: 85.5
Word: wszak, start_time: 85.5, end_time: 86.5
Word: może, start_time: 86.5, end_time: 86.8
Word: się, start_time: 86.8, end_time: 87.0
Word: i, start_time: 87.0, end_time: 87.1
Word: przy, start_time: 87.1, end_time: 87.5
Word: mnie, start_time: 87.5, end_time: 87.8
Word: od, start_time: 87.8, end_time: 88.1
Word: być, start_time: 88.1, end_time: 88.4
Word: ta, start_time: 88.4, end_time: 88.6
Word: rozmowa, start_time: 88.6, end_time: 88.8
Word: Dolina, start_time: 88.8, end_time: 90.0
Word: nie, start_time: 90.0, end_time: 91.1
Word: muszą, start_time: 91.1, end_time: 91.7
Word: zostać, start_time: 91.7, end_time: 92.0
Word: Sammy, start_time: 92.0, end_time: 92.6
Word: Davis, start_time: 92.6, end_time: 93.3
Word: mieszek, start_time: 93.3, end_time: 94.2
Word: mini, start_time: 94.2, end_time: 94.5
Word: słowa, start_time: 94.5, end_time: 94.9
Word: dolina, start_time: 94.9, end_time: 95.5
Word: żartuję, start_time: 95.5, end_time: 97.0
Word: pan, start_time: 97.0, end_time: 97.2
Word: przed, start_time: 97.2, end_time: 97.8
Word: jednym, start_time: 97.8, end_time: 98.1
Word: zwykłym, start_time: 98.1, end_time: 98.5
Word: swym, start_time: 98.5, end_time: 98.9
Word: wybuchem, start_time: 98.9, end_time: 99.3
Word: gotów, start_time: 99.3, end_time: 99.8
Word: byś, start_time: 99.8, end_time: 100.0
Word: całą, start_time: 100.0, end_time: 100.4
Word: sprawę, start_time: 100.4, end_time: 100.8
Word: zepsuć, start_time: 100.8, end_time: 101.3
Word: Jestem, start_time: 101.3, end_time: 101.8
Word: zuchem, start_time: 101.8, end_time: 102.1
Word: Idź, start_time: 102.1, end_time: 102.8
Word: już, start_time: 102.8, end_time: 103.1
Word: do, start_time: 103.1, end_time: 104.1
Word: mnie, start_time: 104.1, end_time: 104.3
Word: nie, start_time: 104.3, end_time: 104.9
Word: ma, start_time: 104.9, end_time: 105.5
Word: zbyt, start_time: 105.5, end_time: 105.8
Word: blisko, start_time: 105.8, end_time: 106.2
Word: sprawa, start_time: 106.2, end_time: 106.7
Word: ta, start_time: 106.7, end_time: 106.8
Word: dotyka, start_time: 106.8, end_time: 107.3
Word: doryna, start_time: 107.3, end_time: 108.3
Word: Och, start_time: 108.3, end_time: 109.1
Word: jaki, start_time: 109.1, end_time: 109.4
Word: pan, start_time: 109.4, end_time: 109.5
Word: nieznośny, start_time: 109.5, end_time: 110.3
Word: idzie, start_time: 110.3, end_time: 111.2
Word: Niech, start_time: 111.2, end_time: 111.8
Word: pan, start_time: 111.8, end_time: 112.0
Word: zmyka, start_time: 112.0, end_time: 112.4
Word: dummies, start_time: 112.4, end_time: 113.7
Word: chowa, start_time: 113.7, end_time: 114.0
Word: się, start_time: 114.0, end_time: 114.2
Word: w, start_time: 114.2, end_time: 114.2
Word: przyległym, start_time: 114.2, end_time: 114.7
Word: gabinecie, start_time: 114.7, end_time: 115.3
Word: w, start_time: 115.3, end_time: 115.4
Word: głębi, start_time: 115.4, end_time: 115.9
