Waiting for operation to complete...
Transcript: piosenka wzruszająca od twojej młodości jasny Płomień Iskra mi bucha oszołomieni o piękna ma nie kusi mnie twych wdzięków wiosna kiedy Promienna i radosna w życiu drga spoglądam z dala obojętny jak wrzący szczęścia zbyt namiętnej zatracasz gust i patrzę z leniwym uśmiechem jak boisz się wciąż nowym grzechem wciąż z innych ust lecz Kiedy ujrzę w twojej twarzy cierpienie co się w oczach posępną z Chrome gdy w smutku widzę cię żałobie ach wówczas muszę być przy tobie czuć rękę swą ty mnie nie kochasz a ja ciebie a jednak Tulę cię do siebie nie mówiąc nic i piję smutek twój dziewczyną i piję twoje łzy co płyną z pobladły flic czy to jest
Confidence: 0.8595290184020996
Word: piosenka, start_time: 0.0, end_time: 1.4
Word: jak, start_time: 25.2, end_time: 25.8
Word: boisz, start_time: 25.8, end_time: 26.3
Word: się, start_time: 26.3, end_time: 26.5
Word: wciąż, start_time: 26.5, end_time: 27.1
Word: nowym, start_time: 27.1, end_time: 27.6
Word: grzechem, start_time: 27.6, end_time: 28.2
Word: wciąż, start_time: 28.2, end_time: 29.2
Word: z, start_time: 29.2, end_time: 29.5
Word: innych, start_time: 29.5, end_time: 30.2
Word: ust, start_time: 30.2, end_time: 30.8
Word: lecz, start_time: 30.8, end_time: 31.4
Word: Kiedy, start_time: 31.4, end_time: 31.5
Word: ujrzę, start_time: 31.5, end_time: 32.1
Word: w, start_time: 32.1, end_time: 32.3
Word: twojej, start_time: 32.3, end_time: 32.7
Word: twarzy, start_time: 32.7, end_time: 32.8
Word: cierpienie, start_time: 32.8, end_time: 34.4
Word: co, start_time: 34.4, end_time: 34.6
Word: się, start_time: 34.6, end_time: 34.8
Word: w, start_time: 34.8, end_time: 34.9
Word: oczach, start_time: 34.9, end_time: 35.3
Word: posępną, start_time: 35.3, end_time: 37.0
Word: z, start_time: 37.0, end_time: 37.1
Word: Chrome, start_time: 37.1, end_time: 37.5
Word: gdy, start_time: 37.5, end_time: 38.2
Word: w, start_time: 38.2, end_time: 38.3
Word: smutku, start_time: 38.3, end_time: 38.6
Word: widzę, start_time: 38.6, end_time: 39.1
Word: cię, start_time: 39.1, end_time: 39.2
Word: żałobie, start_time: 39.2, end_time: 39.8
Word: ach, start_time: 39.8, end_time: 40.4
Word: wówczas, start_time: 40.4, end_time: 40.9
Word: muszę, start_time: 40.9, end_time: 41.6
Word: być, start_time: 41.6, end_time: 41.8
Word: przy, start_time: 41.8, end_time: 42.2
Word: tobie, start_time: 42.2, end_time: 42.4
Word: czuć, start_time: 42.4, end_time: 43.4
Word: rękę, start_time: 43.4, end_time: 43.9
Word: swą, start_time: 43.9, end_time: 44.5
Word: ty, start_time: 44.5, end_time: 45.8
Word: mnie, start_time: 45.8, end_time: 46.1
Word: nie, start_time: 46.1, end_time: 46.3
Word: kochasz, start_time: 46.3, end_time: 46.3
Word: a, start_time: 46.3, end_time: 47.0
Word: ja, start_time: 47.0, end_time: 47.5
Word: ciebie, start_time: 47.5, end_time: 47.6
Word: a, start_time: 47.6, end_time: 48.1
Word: jednak, start_time: 48.1, end_time: 49.3
Word: Tulę, start_time: 49.3, end_time: 49.8
Word: cię, start_time: 49.8, end_time: 50.1
Word: do, start_time: 50.1, end_time: 50.2
Word: siebie, start_time: 50.2, end_time: 50.6
Word: nie, start_time: 50.6, end_time: 51.3
Word: mówiąc, start_time: 51.3, end_time: 51.7
Word: nic, start_time: 51.7, end_time: 52.0
Word: i, start_time: 52.0, end_time: 52.3
Word: piję, start_time: 52.3, end_time: 53.3
Word: smutek, start_time: 53.3, end_time: 53.9
Word: twój, start_time: 53.9, end_time: 54.2
Word: dziewczyną, start_time: 54.2, end_time: 54.7
Word: i, start_time: 54.7, end_time: 54.9
Word: piję, start_time: 54.9, end_time: 55.7
Word: twoje, start_time: 55.7, end_time: 55.8
Word: łzy, start_time: 55.8, end_time: 56.3
Word: co, start_time: 56.3, end_time: 56.7
Word: płyną, start_time: 56.7, end_time: 57.2
Word: z, start_time: 57.2, end_time: 57.5
Word: pobladły, start_time: 57.5, end_time: 58.4
Word: flic, start_time: 58.4, end_time: 58.8
Word: czy, start_time: 58.8, end_time: 59.6
Word: to, start_time: 59.6, end_time: 59.7
Word: jest, start_time: 59.7, end_time: 59.8
Transcript: przyjaźń idealna czy też perwersja seksualna obłędne sny Ach nie wiem co się ze mną stało lecz Chciałbym pić przez wieczność całą twe drogie łzy twe drogie łzy
Confidence: 0.9352507591247559
Word: przyjaźń, start_time: 59.9, end_time: 60.4
Word: idealna, start_time: 60.4, end_time: 61.2
Word: czy, start_time: 61.2, end_time: 61.7
Word: też, start_time: 61.7, end_time: 61.9
Word: perwersja, start_time: 61.9, end_time: 62.8
Word: seksualna, start_time: 62.8, end_time: 62.9
Word: obłędne, start_time: 62.9, end_time: 64.7
Word: sny, start_time: 64.7, end_time: 65.0
Word: Ach, start_time: 65.0, end_time: 66.1
Word: nie, start_time: 66.1, end_time: 66.6
Word: wiem, start_time: 66.6, end_time: 67.0
Word: co, start_time: 67.0, end_time: 67.2
Word: się, start_time: 67.2, end_time: 67.3
Word: ze, start_time: 67.3, end_time: 67.5
Word: mną, start_time: 67.5, end_time: 67.5
Word: stało, start_time: 67.5, end_time: 67.8
Word: lecz, start_time: 67.8, end_time: 68.8
Word: Chciałbym, start_time: 68.8, end_time: 69.3
Word: pić, start_time: 69.3, end_time: 69.6
Word: przez, start_time: 69.6, end_time: 70.3
Word: wieczność, start_time: 70.3, end_time: 70.6
Word: całą, start_time: 70.6, end_time: 71.5
Word: twe, start_time: 71.5, end_time: 72.4
Word: drogie, start_time: 72.4, end_time: 72.9
Word: łzy, start_time: 72.9, end_time: 73.0
Word: twe, start_time: 73.0, end_time: 74.2
Word: drogie, start_time: 74.2, end_time: 74.7
Word: łzy, start_time: 74.7, end_time: 75.2
