Waiting for operation to complete...
Transcript: Honore Balzac małe niedole pożycia małżeńskiego tłumaczenie Tadeusz boy-żeleński od tłumacza książeczka nosząca tytuł mały niedole pożycia małżeńskiego okazało się w roku 1845 zatem w 15 lat przeszło Po napisaniu głośnej fizjologii małżeństwa oba dzieła zestawieniu z sobą stanowią bardzo ciekawe zjawisko literackie w jaki sposób jeden i ten sam temat zarysowuje się w wyobraźni pisarza w innym oświetleniu i w innej epoce jego twórczej ewolucji książka zatytułowana na wpół żartobliwie przez autora fizjologię jest w istocie prawdziwą filozofią wewnętrznych dziejów małżeństwa jest bystrą i śmiało analizą o wielkiej linii Po jakiej przebiega życie uczuciowe dwojga istot wskutek ze sobą nierozerwalnym węzłem w mózgu
Confidence: 0.9539939165115356
Word: Honore, start_time: 0.0, end_time: 0.7000000000000001
Word: zupełnie, start_time: 95.6, end_time: 96.2
Word: na, start_time: 96.2, end_time: 96.5
Word: boku, start_time: 96.5, end_time: 96.9
Word: wielki, start_time: 96.9, end_time: 97.5
Word: zasadniczy, start_time: 97.5, end_time: 98.6
Word: problem, start_time: 98.6, end_time: 98.7
Word: małżeństwa, start_time: 98.7, end_time: 99.8
Word: owo, start_time: 99.8, end_time: 100.6
Word: Być, start_time: 100.6, end_time: 100.9
Word: albo, start_time: 100.9, end_time: 101.6
Word: nie, start_time: 101.6, end_time: 101.7
Word: być, start_time: 101.7, end_time: 101.9
Word: które, start_time: 101.9, end_time: 102.9
Word: wygrało, start_time: 102.9, end_time: 103.5
Word: ku, start_time: 103.5, end_time: 103.7
Word: nam, start_time: 103.7, end_time: 104.0
Word: z, start_time: 104.0, end_time: 104.0
Word: każdej, start_time: 104.0, end_time: 104.5
Word: strony, start_time: 104.5, end_time: 104.7
Word: fizjologii, start_time: 104.7, end_time: 105.8
Word: tutaj, start_time: 105.8, end_time: 106.6
Word: wchodzimy, start_time: 106.6, end_time: 107.0
Word: wraz, start_time: 107.0, end_time: 107.4
Word: z, start_time: 107.4, end_time: 107.4
Word: nim, start_time: 107.4, end_time: 107.8
Word: poprzednie, start_time: 107.8, end_time: 108.8
Word: życie, start_time: 108.8, end_time: 108.9
Word: dwojga, start_time: 108.9, end_time: 109.7
Word: małżonków, start_time: 109.7, end_time: 110.3
Word: patrzymy, start_time: 110.3, end_time: 111.3
Word: na, start_time: 111.3, end_time: 111.6
Word: owo, start_time: 111.6, end_time: 111.9
Word: codzienne, start_time: 111.9, end_time: 112.6
Word: tarcie, start_time: 112.6, end_time: 113.1
Word: i, start_time: 113.1, end_time: 113.3
Word: potrącanie, start_time: 113.3, end_time: 114.3
Word: się, start_time: 114.3, end_time: 114.5
Word: dwojga, start_time: 114.5, end_time: 114.9
Word: jednostek, start_time: 114.9, end_time: 115.4
Word: i, start_time: 115.4, end_time: 115.7
Word: dwóch, start_time: 115.7, end_time: 116.1
Word: charakterów, start_time: 116.1, end_time: 116.9
Word: mniej, start_time: 116.9, end_time: 117.7
Word: lub, start_time: 117.7, end_time: 118.2
Word: więcej, start_time: 118.2, end_time: 118.2
Word: nie, start_time: 118.2, end_time: 119.0
Word: dobranych, start_time: 119.0, end_time: 119.6
Transcript: aż wreszcie w diabelsko optymistycznym komentarzu widzimy jak wszystko na świecie się w końcu układa w taki lub inny sposób ogólnej pomyślności para małżonków Adolf i Karolina stanowią niejako syntetyczne typy męża i żony przybierające kolejno stosownie do zapotrzebowania autora rozmaite odcienie indywidualne podobnież i inne postacie przewijające się kolejno w tej prawdziwej komedia dla małżeństwa układ i stylu dzieła noszą Również cechy innej nie tak bujnej może lecz na wskroś dojrzałej epoki twórczości autora żadnych analiz żadnych filozoficznych dygresji w które jak przepyszne obfitowała fizjologia małżeństwa to mamy szereg małych scenek określonych jakby wprost z natury ręką wytrawnego mistrza
Confidence: 0.9511775374412537
Word: aż, start_time: 119.9, end_time: 120.2
Word: wreszcie, start_time: 120.2, end_time: 120.4
Word: w, start_time: 120.4, end_time: 120.8
Word: diabelsko, start_time: 120.8, end_time: 121.9
Word: optymistycznym, start_time: 121.9, end_time: 123.1
Word: komentarzu, start_time: 123.1, end_time: 123.8
Word: widzimy, start_time: 123.8, end_time: 124.9
Word: jak, start_time: 124.9, end_time: 125.6
Word: wszystko, start_time: 125.6, end_time: 126.0
Word: na, start_time: 126.0, end_time: 126.1
Word: świecie, start_time: 126.1, end_time: 126.5
Word: się, start_time: 126.5, end_time: 126.7
Word: w, start_time: 126.7, end_time: 126.8
Word: końcu, start_time: 126.8, end_time: 127.1
Word: układa, start_time: 127.1, end_time: 127.9
Word: w, start_time: 127.9, end_time: 128.1
Word: taki, start_time: 128.1, end_time: 128.7
Word: lub, start_time: 128.7, end_time: 128.9
Word: inny, start_time: 128.9, end_time: 129.4
Word: sposób, start_time: 129.4, end_time: 129.8
Word: ogólnej, start_time: 129.8, end_time: 131.3
Word: pomyślności, start_time: 131.3, end_time: 132.3
Word: para, start_time: 132.3, end_time: 132.9
Word: małżonków, start_time: 132.9, end_time: 133.6
Word: Adolf, start_time: 133.6, end_time: 134.4
Word: i, start_time: 134.4, end_time: 134.6
Word: Karolina, start_time: 134.6, end_time: 135.3
Word: stanowią, start_time: 135.3, end_time: 136.2
Word: niejako, start_time: 136.2, end_time: 136.7
Word: syntetyczne, start_time: 136.7, end_time: 137.6
Word: typy, start_time: 137.6, end_time: 138.0
Word: męża, start_time: 138.0, end_time: 138.6
Word: i, start_time: 138.6, end_time: 138.7
Word: żony, start_time: 138.7, end_time: 139.2
Word: przybierające, start_time: 139.2, end_time: 140.4
Word: kolejno, start_time: 140.4, end_time: 140.9
Word: stosownie, start_time: 140.9, end_time: 141.7
Word: do, start_time: 141.7, end_time: 141.9
Word: zapotrzebowania, start_time: 141.9, end_time: 142.3
Word: autora, start_time: 142.3, end_time: 143.3
Word: rozmaite, start_time: 143.3, end_time: 144.4
Word: odcienie, start_time: 144.4, end_time: 145.1
Word: indywidualne, start_time: 145.1, end_time: 146.4
Word: podobnież, start_time: 146.4, end_time: 147.6
Word: i, start_time: 147.6, end_time: 147.7
Word: inne, start_time: 147.7, end_time: 148.3
Word: postacie, start_time: 148.3, end_time: 148.8
Word: przewijające, start_time: 148.8, end_time: 149.9
Word: się, start_time: 149.9, end_time: 150.0
Word: kolejno, start_time: 150.0, end_time: 150.6
Word: w, start_time: 150.6, end_time: 150.7
Word: tej, start_time: 150.7, end_time: 151.0
Word: prawdziwej, start_time: 151.0, end_time: 151.5
Word: komedia, start_time: 151.5, end_time: 152.6
Word: dla, start_time: 152.6, end_time: 152.8
Word: małżeństwa, start_time: 152.8, end_time: 154.1
Word: układ, start_time: 154.1, end_time: 154.9
Word: i, start_time: 154.9, end_time: 155.0
Word: stylu, start_time: 155.0, end_time: 155.6
Word: dzieła, start_time: 155.6, end_time: 155.9
Word: noszą, start_time: 155.9, end_time: 156.6
Word: Również, start_time: 156.6, end_time: 156.8
Word: cechy, start_time: 156.8, end_time: 157.4
Word: innej, start_time: 157.4, end_time: 158.0
Word: nie, start_time: 158.0, end_time: 158.4
Word: tak, start_time: 158.4, end_time: 158.6
Word: bujnej, start_time: 158.6, end_time: 159.2
Word: może, start_time: 159.2, end_time: 159.5
Word: lecz, start_time: 159.5, end_time: 160.1
Word: na, start_time: 160.1, end_time: 160.3
Word: wskroś, start_time: 160.3, end_time: 160.7
Word: dojrzałej, start_time: 160.7, end_time: 161.7
Word: epoki, start_time: 161.7, end_time: 162.3
Word: twórczości, start_time: 162.3, end_time: 163.0
Word: autora, start_time: 163.0, end_time: 163.3
Word: żadnych, start_time: 163.3, end_time: 164.5
Word: analiz, start_time: 164.5, end_time: 165.1
Word: żadnych, start_time: 165.1, end_time: 165.9
Word: filozoficznych, start_time: 165.9, end_time: 167.2
Word: dygresji, start_time: 167.2, end_time: 167.9
Word: w, start_time: 167.9, end_time: 168.0
Word: które, start_time: 168.0, end_time: 168.6
Word: jak, start_time: 168.6, end_time: 169.4
Word: przepyszne, start_time: 169.4, end_time: 170.2
Word: obfitowała, start_time: 170.2, end_time: 171.2
Word: fizjologia, start_time: 171.2, end_time: 171.8
Word: małżeństwa, start_time: 171.8, end_time: 171.9
Word: to, start_time: 171.9, end_time: 173.1
Word: mamy, start_time: 173.1, end_time: 173.5
Word: szereg, start_time: 173.5, end_time: 173.8
Word: małych, start_time: 173.8, end_time: 174.3
Word: scenek, start_time: 174.3, end_time: 174.8
Word: określonych, start_time: 174.8, end_time: 175.7
Word: jakby, start_time: 175.7, end_time: 176.0
Word: wprost, start_time: 176.0, end_time: 176.5
Word: z, start_time: 176.5, end_time: 176.6
Word: natury, start_time: 176.6, end_time: 177.1
Word: ręką, start_time: 177.1, end_time: 177.6
Word: wytrawnego, start_time: 177.6, end_time: 178.4
Word: mistrza, start_time: 178.4, end_time: 179.1
Transcript: słowianom precyzję i okrucieństwem dziwnym zbiegiem okoliczności dwie książki zawierające najwięcej sarkazmu lecz i najwięcej głębokich myśli na temat małżeństwa zawdzięcza literatura pisarzowi któremu samemu zaledwie na schyłku jego lat męskich na kilka miesięcy przed śmiercią dane było zawrzeć dozgonne związki z od dawna upragnioną istotą
Confidence: 0.9505707025527954
Word: słowianom, start_time: 179.9, end_time: 180.4
Word: precyzję, start_time: 180.4, end_time: 181.1
Word: i, start_time: 181.1, end_time: 181.2
Word: okrucieństwem, start_time: 181.2, end_time: 182.5
Word: dziwnym, start_time: 182.5, end_time: 183.5
Word: zbiegiem, start_time: 183.5, end_time: 183.6
Word: okoliczności, start_time: 183.6, end_time: 184.0
Word: dwie, start_time: 184.0, end_time: 185.4
Word: książki, start_time: 185.4, end_time: 185.8
Word: zawierające, start_time: 185.8, end_time: 186.7
Word: najwięcej, start_time: 186.7, end_time: 187.1
Word: sarkazmu, start_time: 187.1, end_time: 188.1
Word: lecz, start_time: 188.1, end_time: 188.8
Word: i, start_time: 188.8, end_time: 189.0
Word: najwięcej, start_time: 189.0, end_time: 189.6
Word: głębokich, start_time: 189.6, end_time: 190.3
Word: myśli, start_time: 190.3, end_time: 190.9
Word: na, start_time: 190.9, end_time: 191.0
Word: temat, start_time: 191.0, end_time: 191.2
Word: małżeństwa, start_time: 191.2, end_time: 191.7
Word: zawdzięcza, start_time: 191.7, end_time: 193.2
Word: literatura, start_time: 193.2, end_time: 193.8
Word: pisarzowi, start_time: 193.8, end_time: 194.6
Word: któremu, start_time: 194.6, end_time: 195.5
Word: samemu, start_time: 195.5, end_time: 196.1
Word: zaledwie, start_time: 196.1, end_time: 196.9
Word: na, start_time: 196.9, end_time: 197.1
Word: schyłku, start_time: 197.1, end_time: 197.8
Word: jego, start_time: 197.8, end_time: 198.1
Word: lat, start_time: 198.1, end_time: 198.3
Word: męskich, start_time: 198.3, end_time: 199.0
Word: na, start_time: 199.0, end_time: 199.7
Word: kilka, start_time: 199.7, end_time: 200.1
Word: miesięcy, start_time: 200.1, end_time: 200.2
Word: przed, start_time: 200.2, end_time: 200.8
Word: śmiercią, start_time: 200.8, end_time: 201.3
Word: dane, start_time: 201.3, end_time: 202.2
Word: było, start_time: 202.2, end_time: 202.4
Word: zawrzeć, start_time: 202.4, end_time: 202.9
Word: dozgonne, start_time: 202.9, end_time: 203.9
Word: związki, start_time: 203.9, end_time: 204.6
Word: z, start_time: 204.6, end_time: 205.2
Word: od, start_time: 205.2, end_time: 205.4
Word: dawna, start_time: 205.4, end_time: 205.9
Word: upragnioną, start_time: 205.9, end_time: 206.8
Word: istotą, start_time: 206.8, end_time: 207.5
