Waiting for operation to complete...
Transcript: kilka słów w obronie świętości małżeństwa Dziwny jakiś w pojęciach szerzy się zamęt Czy małżeństwo to kpiny czy też sakrament jakaś zaraza padła na wszystkie nasze stadła zamiast siedzieć spokojnie wszystko dziś w wojnie dawniej Kto się raz złączył w Bożym przybytku Wiedział że ma do śmierci trwać w swym korytku rozumiał że ten związek to twardy obowiązek dwie duszę w jednym ciele flaki w niedzielę Co Bóg przeznaczył bramą w pokorze nikt nie robił grymasów że tak nie może cel przyświecał im wzniosły dziadki ku górze rosły No i tak się tam żyło jakoś to było jakieś dziś społeczeństwa Przyszłość ma szansę skoro ludzie z małżeństwa czynią romanse dziś czy prosty czy krzywy Każdy chce być
Confidence: 0.9138017296791077
Word: kilka, start_time: 0.0, end_time: 0.6000000000000001
Word: narzekań, start_time: 64.6, end_time: 65.2
Word: widać, start_time: 65.2, end_time: 65.5
Word: tendencje, start_time: 65.5, end_time: 66.3
Word: wszędzie, start_time: 66.3, end_time: 66.9
Word: skargi, start_time: 66.9, end_time: 67.4
Word: na, start_time: 67.4, end_time: 67.5
Word: mężów, start_time: 67.5, end_time: 68.0
Word: impertynencje, start_time: 68.0, end_time: 70.9
Word: trudno, start_time: 70.9, end_time: 72.0
Word: mój, start_time: 72.0, end_time: 72.3
Word: miły, start_time: 72.3, end_time: 72.6
Word: bo, start_time: 72.6, end_time: 72.7
Word: że, start_time: 72.7, end_time: 73.0
Word: każdy, start_time: 73.0, end_time: 73.8
Word: robi, start_time: 73.8, end_time: 74.3
Word: co, start_time: 74.3, end_time: 74.5
Word: może, start_time: 74.5, end_time: 74.6
Word: przegrzanie, start_time: 74.6, end_time: 75.9
Word: jest, start_time: 75.9, end_time: 76.2
Word: nikt, start_time: 76.2, end_time: 76.6
Word: z, start_time: 76.6, end_time: 76.7
Word: panów, start_time: 76.7, end_time: 77.2
Word: Pułk, start_time: 77.2, end_time: 77.6
Word: Ułanów, start_time: 77.6, end_time: 78.4
Word: ówdzie, start_time: 78.4, end_time: 79.4
Word: znów, start_time: 79.4, end_time: 80.0
Word: mąż, start_time: 80.0, end_time: 80.4
Word: stroskane, start_time: 80.4, end_time: 81.0
Word: krzyczy, start_time: 81.0, end_time: 81.6
Word: o, start_time: 81.6, end_time: 81.8
Word: rety, start_time: 81.8, end_time: 82.6
Word: Jak, start_time: 82.6, end_time: 83.3
Word: to, start_time: 83.3, end_time: 83.5
Word: ja, start_time: 83.5, end_time: 84.0
Word: mam, start_time: 84.0, end_time: 84.1
Word: żyć, start_time: 84.1, end_time: 84.4
Word: z, start_time: 84.4, end_time: 84.6
Word: gęsią, start_time: 84.6, end_time: 85.2
Word: zamiast, start_time: 85.2, end_time: 85.8
Word: kobiety, start_time: 85.8, end_time: 86.3
Word: są, start_time: 86.3, end_time: 87.3
Word: i, start_time: 87.3, end_time: 87.5
Word: takie, start_time: 87.5, end_time: 88.0
Word: wypadki, start_time: 88.0, end_time: 88.4
Word: fakt, start_time: 88.4, end_time: 89.4
Word: znów, start_time: 89.4, end_time: 89.9
Word: nie, start_time: 89.9, end_time: 90.2
Word: jest, start_time: 90.2, end_time: 90.5
Word: tak, start_time: 90.5, end_time: 90.7
Word: rzadki, start_time: 90.7, end_time: 91.2
Word: spojrzy, start_time: 91.2, end_time: 92.1
Word: pan, start_time: 92.1, end_time: 92.3
Word: po, start_time: 92.3, end_time: 92.4
Word: tej, start_time: 92.4, end_time: 92.6
Word: rzeczy, start_time: 92.6, end_time: 93.0
Word: to, start_time: 93.0, end_time: 93.5
Word: cię, start_time: 93.5, end_time: 93.7
Word: pocieszy, start_time: 93.7, end_time: 94.0
Word: tam, start_time: 94.0, end_time: 95.4
Word: znów, start_time: 95.4, end_time: 95.6
Word: młode, start_time: 95.6, end_time: 96.2
Word: dziewcząt, start_time: 96.2, end_time: 96.7
Word: ko, start_time: 96.7, end_time: 96.8
Word: wprost, start_time: 96.8, end_time: 97.6
Word: od, start_time: 97.6, end_time: 97.9
Word: ołtarzy, start_time: 97.9, end_time: 98.6
Word: staje, start_time: 98.6, end_time: 99.4
Word: w, start_time: 99.4, end_time: 99.5
Word: progu, start_time: 99.5, end_time: 99.8
Word: sypialni, start_time: 99.8, end_time: 100.5
Word: z, start_time: 100.5, end_time: 100.6
Word: powagą, start_time: 100.6, end_time: 101.2
Word: na, start_time: 101.2, end_time: 101.4
Word: twarzy, start_time: 101.4, end_time: 101.9
Word: zapowiada, start_time: 101.9, end_time: 102.8
Word: ci, start_time: 102.8, end_time: 102.8
Word: ostro, start_time: 102.8, end_time: 103.3
Word: że, start_time: 103.3, end_time: 104.1
Word: chcę, start_time: 104.1, end_time: 104.4
Word: być, start_time: 104.4, end_time: 104.5
Word: tylko, start_time: 104.5, end_time: 104.7
Word: siostrą, start_time: 104.7, end_time: 105.5
Word: moja, start_time: 105.5, end_time: 106.4
Word: miła, start_time: 106.4, end_time: 106.7
Word: pieszczotka, start_time: 106.7, end_time: 107.4
Word: Bądź, start_time: 107.4, end_time: 108.3
Word: że, start_time: 108.3, end_time: 108.6
Word: choć, start_time: 108.6, end_time: 108.8
Word: ciotką, start_time: 108.8, end_time: 109.3
Word: wszystko, start_time: 109.3, end_time: 110.8
Word: dziś, start_time: 110.8, end_time: 111.1
Word: rozwodami, start_time: 111.1, end_time: 112.1
Word: sobie, start_time: 112.1, end_time: 112.5
Word: urąga, start_time: 112.5, end_time: 113.0
Word: separację, start_time: 113.0, end_time: 114.1
Word: od, start_time: 114.1, end_time: 114.4
Word: stołu, start_time: 114.4, end_time: 114.9
Word: No, start_time: 114.9, end_time: 115.4
Word: i, start_time: 115.4, end_time: 115.5
Word: szezlonga, start_time: 115.5, end_time: 116.4
Word: łączy, start_time: 116.4, end_time: 117.5
Word: się, start_time: 117.5, end_time: 117.7
Word: parki, start_time: 117.7, end_time: 118.3
Word: lub, start_time: 118.3, end_time: 118.5
Word: sobą, start_time: 118.5, end_time: 119.5
Word: nie, start_time: 119.5, end_time: 119.8
Transcript: na próbę nim nie znajdzie się czegoś przyzwoitego gdy więc takie dziś macie kapryśne gusty nie mieszajcie z kościoła do tej rozpusty kto ma interes pilnych bierze ślub cywilny skojarzy młodą parę prezydent Sary pisane w roku 1909
Confidence: 0.9149620532989502
Word: na, start_time: 119.9, end_time: 120.1
Word: próbę, start_time: 120.1, end_time: 120.5
Word: nim, start_time: 120.5, end_time: 121.4
Word: nie, start_time: 121.4, end_time: 121.6
Word: znajdzie, start_time: 121.6, end_time: 122.0
Word: się, start_time: 122.0, end_time: 122.1
Word: czegoś, start_time: 122.1, end_time: 122.5
Word: przyzwoitego, start_time: 122.5, end_time: 123.9
Word: gdy, start_time: 123.9, end_time: 124.7
Word: więc, start_time: 124.7, end_time: 125.0
Word: takie, start_time: 125.0, end_time: 125.3
Word: dziś, start_time: 125.3, end_time: 125.6
Word: macie, start_time: 125.6, end_time: 125.9
Word: kapryśne, start_time: 125.9, end_time: 126.8
Word: gusty, start_time: 126.8, end_time: 127.1
Word: nie, start_time: 127.1, end_time: 127.7
Word: mieszajcie, start_time: 127.7, end_time: 128.2
Word: z, start_time: 128.2, end_time: 128.5
Word: kościoła, start_time: 128.5, end_time: 129.2
Word: do, start_time: 129.2, end_time: 129.4
Word: tej, start_time: 129.4, end_time: 129.6
Word: rozpusty, start_time: 129.6, end_time: 130.4
Word: kto, start_time: 130.4, end_time: 130.7
Word: ma, start_time: 130.7, end_time: 130.8
Word: interes, start_time: 130.8, end_time: 131.3
Word: pilnych, start_time: 131.3, end_time: 132.3
Word: bierze, start_time: 132.3, end_time: 132.7
Word: ślub, start_time: 132.7, end_time: 133.1
Word: cywilny, start_time: 133.1, end_time: 133.4
Word: skojarzy, start_time: 133.4, end_time: 134.7
Word: młodą, start_time: 134.7, end_time: 135.2
Word: parę, start_time: 135.2, end_time: 135.6
Word: prezydent, start_time: 135.6, end_time: 136.9
Word: Sary, start_time: 136.9, end_time: 137.6
Word: pisane, start_time: 137.6, end_time: 138.8
Word: w, start_time: 138.8, end_time: 138.9
Word: roku, start_time: 138.9, end_time: 139.2
Word: 1909, start_time: 139.2, end_time: 140.8
