Waiting for operation to complete...
Transcript: mistrzowice autorowi projektu napełnienia Krakowskiego rondla swoją Panorama Luta Siedziała na lipie zobaczył pan styka jak raz mały kundel podniósł żadną łapkę is paskudzi rondel oj dana i przyszła mistrzowie do głowy myśl słodka a gdyby to samo zrobić o d środka oj dana że ludzie ofiarnik są w tych czasach rzadcy więc mu deputacja ślą dziękczynną radcy oj dana jeśli zatem Fama publicznie nie kłamię będziemy mieli W rondlu Grunwald w Panoramie oj dana tak to z małych przyczyny skutki są ogromne w niepozornej psiny dzieło wiekopomne oj dana lecz w czym niezbadane losów tajemnice nie wie Nikt o piesku A każdy wstyd
Confidence: 0.8194246292114258
Word: mistrzowice, start_time: 0.0, end_time: 1.3
Word: dzieło, start_time: 48.9, end_time: 49.7
Word: wiekopomne, start_time: 49.7, end_time: 50.9
Word: oj, start_time: 50.9, end_time: 51.5
Word: dana, start_time: 51.5, end_time: 52.0
Word: lecz, start_time: 52.0, end_time: 53.1
Word: w, start_time: 53.1, end_time: 53.2
Word: czym, start_time: 53.2, end_time: 53.6
Word: niezbadane, start_time: 53.6, end_time: 54.4
Word: losów, start_time: 54.4, end_time: 55.1
Word: tajemnice, start_time: 55.1, end_time: 55.8
Word: nie, start_time: 55.8, end_time: 56.4
Word: wie, start_time: 56.4, end_time: 56.6
Word: Nikt, start_time: 56.6, end_time: 56.9
Word: o, start_time: 56.9, end_time: 57.1
Word: piesku, start_time: 57.1, end_time: 57.8
Word: A, start_time: 57.8, end_time: 57.9
Word: każdy, start_time: 57.9, end_time: 58.9
Word: wstyd, start_time: 58.9, end_time: 59.8
Transcript: oj dana pisane w roku 1909
Confidence: 0.8771817684173584
Word: oj, start_time: 59.9, end_time: 60.8
Word: dana, start_time: 60.8, end_time: 61.2
Word: pisane, start_time: 61.2, end_time: 62.6
Word: w, start_time: 62.6, end_time: 62.6
Word: roku, start_time: 62.6, end_time: 62.9
Word: 1909, start_time: 62.9, end_time: 64.4
