Waiting for operation to complete...
Transcript: 3M ci Blank and Rin najnowszy był wśród pogan męstwem swym dzielny rycerz rozumem dobre ręce swego pana rzeczy królowi nie przerażaj się królu prześlij Karolowi dumne mu hardem władcy słowa powolnej służby i wielkiej przyjaźni dasz mu niedźwiedzie i lwy i psy i 700 wielbłądów i 1000 Wybierz onych Sokołów 400 mułów ładowanych złotem i srebrem i 50 wozów z których on złoży Tabor i daj mu szczerego złota tyle abym mógł Chojnie opłacić swoich najemników Przekaż mu że dość długo wojował już w tej ziemi że powinien by wracać do Francji do akwizgranu że pośpieszyć tam zanim na święty Michał że przyjmiesz
Confidence: 0.9399643540382385
Word: 3M, start_time: 0.0, end_time: 1.5
Word: i, start_time: 28.6, end_time: 29.4
Word: 1000, start_time: 29.4, end_time: 30.3
Word: Wybierz, start_time: 30.3, end_time: 31.0
Word: onych, start_time: 31.0, end_time: 31.2
Word: Sokołów, start_time: 31.2, end_time: 31.9
Word: 400, start_time: 31.9, end_time: 33.3
Word: mułów, start_time: 33.3, end_time: 33.9
Word: ładowanych, start_time: 33.9, end_time: 34.6
Word: złotem, start_time: 34.6, end_time: 35.1
Word: i, start_time: 35.1, end_time: 35.2
Word: srebrem, start_time: 35.2, end_time: 35.3
Word: i, start_time: 35.3, end_time: 35.9
Word: 50, start_time: 35.9, end_time: 36.9
Word: wozów, start_time: 36.9, end_time: 37.3
Word: z, start_time: 37.3, end_time: 37.7
Word: których, start_time: 37.7, end_time: 38.4
Word: on, start_time: 38.4, end_time: 38.7
Word: złoży, start_time: 38.7, end_time: 39.2
Word: Tabor, start_time: 39.2, end_time: 39.8
Word: i, start_time: 39.8, end_time: 39.9
Word: daj, start_time: 39.9, end_time: 40.8
Word: mu, start_time: 40.8, end_time: 40.9
Word: szczerego, start_time: 40.9, end_time: 41.4
Word: złota, start_time: 41.4, end_time: 41.6
Word: tyle, start_time: 41.6, end_time: 42.3
Word: abym, start_time: 42.3, end_time: 43.0
Word: mógł, start_time: 43.0, end_time: 43.2
Word: Chojnie, start_time: 43.2, end_time: 43.9
Word: opłacić, start_time: 43.9, end_time: 44.7
Word: swoich, start_time: 44.7, end_time: 45.1
Word: najemników, start_time: 45.1, end_time: 45.9
Word: Przekaż, start_time: 45.9, end_time: 47.2
Word: mu, start_time: 47.2, end_time: 47.5
Word: że, start_time: 47.5, end_time: 47.7
Word: dość, start_time: 47.7, end_time: 48.5
Word: długo, start_time: 48.5, end_time: 49.1
Word: wojował, start_time: 49.1, end_time: 49.7
Word: już, start_time: 49.7, end_time: 50.0
Word: w, start_time: 50.0, end_time: 50.1
Word: tej, start_time: 50.1, end_time: 50.2
Word: ziemi, start_time: 50.2, end_time: 50.4
Word: że, start_time: 50.4, end_time: 51.3
Word: powinien, start_time: 51.3, end_time: 51.8
Word: by, start_time: 51.8, end_time: 51.9
Word: wracać, start_time: 51.9, end_time: 52.3
Word: do, start_time: 52.3, end_time: 52.5
Word: Francji, start_time: 52.5, end_time: 53.1
Word: do, start_time: 53.1, end_time: 53.8
Word: akwizgranu, start_time: 53.8, end_time: 54.4
Word: że, start_time: 54.4, end_time: 55.6
Word: pośpieszyć, start_time: 55.6, end_time: 56.3
Word: tam, start_time: 56.3, end_time: 56.6
Word: zanim, start_time: 56.6, end_time: 57.1
Word: na, start_time: 57.1, end_time: 57.6
Word: święty, start_time: 57.6, end_time: 58.1
Word: Michał, start_time: 58.1, end_time: 58.5
Word: że, start_time: 58.5, end_time: 59.1
Word: przyjmiesz, start_time: 59.1, end_time: 59.8
Transcript: mam prawo chrześcijan i zostaniesz jego wiernym lennikiem adept Zakładników to poślij mi ich 10 albo 20 aby go natchnąć ufnością poślij my mu synów naszych że ja poślij mego Choćbym miał i zginąć lepiej by tam potracili swoje głowy a my żebyśmy nie stracili naszej swobody i państwa i nie przyszli do torby żeby raczej
Confidence: 0.9185680150985718
Word: mam, start_time: 59.9, end_time: 60.1
Word: prawo, start_time: 60.1, end_time: 60.5
Word: chrześcijan, start_time: 60.5, end_time: 61.2
Word: i, start_time: 61.2, end_time: 61.4
Word: zostaniesz, start_time: 61.4, end_time: 62.3
Word: jego, start_time: 62.3, end_time: 62.6
Word: wiernym, start_time: 62.6, end_time: 62.9
Word: lennikiem, start_time: 62.9, end_time: 63.7
Word: adept, start_time: 63.7, end_time: 65.0
Word: Zakładników, start_time: 65.0, end_time: 65.7
Word: to, start_time: 65.7, end_time: 66.5
Word: poślij, start_time: 66.5, end_time: 67.0
Word: mi, start_time: 67.0, end_time: 67.2
Word: ich, start_time: 67.2, end_time: 67.5
Word: 10, start_time: 67.5, end_time: 68.7
Word: albo, start_time: 68.7, end_time: 69.3
Word: 20, start_time: 69.3, end_time: 70.0
Word: aby, start_time: 70.0, end_time: 70.7
Word: go, start_time: 70.7, end_time: 70.8
Word: natchnąć, start_time: 70.8, end_time: 71.3
Word: ufnością, start_time: 71.3, end_time: 72.3
Word: poślij, start_time: 72.3, end_time: 73.6
Word: my, start_time: 73.6, end_time: 73.9
Word: mu, start_time: 73.9, end_time: 74.0
Word: synów, start_time: 74.0, end_time: 74.6
Word: naszych, start_time: 74.6, end_time: 75.0
Word: że, start_time: 75.0, end_time: 75.2
Word: ja, start_time: 75.2, end_time: 75.9
Word: poślij, start_time: 75.9, end_time: 76.4
Word: mego, start_time: 76.4, end_time: 76.8
Word: Choćbym, start_time: 76.8, end_time: 77.7
Word: miał, start_time: 77.7, end_time: 77.9
Word: i, start_time: 77.9, end_time: 78.0
Word: zginąć, start_time: 78.0, end_time: 78.5
Word: lepiej, start_time: 78.5, end_time: 80.0
Word: by, start_time: 80.0, end_time: 80.2
Word: tam, start_time: 80.2, end_time: 80.6
Word: potracili, start_time: 80.6, end_time: 81.2
Word: swoje, start_time: 81.2, end_time: 81.6
Word: głowy, start_time: 81.6, end_time: 82.0
Word: a, start_time: 82.0, end_time: 82.2
Word: my, start_time: 82.2, end_time: 82.7
Word: żebyśmy, start_time: 82.7, end_time: 83.1
Word: nie, start_time: 83.1, end_time: 83.5
Word: stracili, start_time: 83.5, end_time: 84.2
Word: naszej, start_time: 84.2, end_time: 84.5
Word: swobody, start_time: 84.5, end_time: 85.1
Word: i, start_time: 85.1, end_time: 85.1
Word: państwa, start_time: 85.1, end_time: 86.0
Word: i, start_time: 86.0, end_time: 86.1
Word: nie, start_time: 86.1, end_time: 86.7
Word: przyszli, start_time: 86.7, end_time: 87.3
Word: do, start_time: 87.3, end_time: 87.4
Word: torby, start_time: 87.4, end_time: 88.1
Word: żeby, start_time: 88.1, end_time: 88.3
Word: raczej, start_time: 88.3, end_time: 88.6
