Waiting for operation to complete...
Transcript: 77n przybiega margaris z Sewilli ten dzierży ziemię aż do kas maryniu damy radę go widzą dla jego piękności nie masz takiej która by na jego widok nie rozjaśniła się i nie Śmiała się do niego nie masz w śród pogan lepszego rycerza wpada w tłum i ponad innych krzyczy do króla nic się nie bój pojadę do Rewal zabić Rolanda i Oliwier tożsamo nie ocali głowy a 12 par poniesie męczeństwo Widzisz mój miecz rękojeści ze złota to Emir prymuski mi go przysłał w czerwonej krwi Przysięgam królów Kąpię się ten miecz Francuzi zginą Francja okryje się hańbą Karol stary o rozłożystej brodzie przez wszystkie dni swego życia będzie
Confidence: 0.9381046891212463
Word: 77n, start_time: 0.0, end_time: 3.1
Word: masz, start_time: 20.1, end_time: 21.2
Word: w, start_time: 21.2, end_time: 21.3
Word: śród, start_time: 21.3, end_time: 21.6
Word: pogan, start_time: 21.6, end_time: 21.9
Word: lepszego, start_time: 21.9, end_time: 22.6
Word: rycerza, start_time: 22.6, end_time: 23.1
Word: wpada, start_time: 23.1, end_time: 24.2
Word: w, start_time: 24.2, end_time: 24.2
Word: tłum, start_time: 24.2, end_time: 24.7
Word: i, start_time: 24.7, end_time: 24.8
Word: ponad, start_time: 24.8, end_time: 25.5
Word: innych, start_time: 25.5, end_time: 26.1
Word: krzyczy, start_time: 26.1, end_time: 26.6
Word: do, start_time: 26.6, end_time: 26.7
Word: króla, start_time: 26.7, end_time: 27.1
Word: nic, start_time: 27.1, end_time: 28.3
Word: się, start_time: 28.3, end_time: 28.5
Word: nie, start_time: 28.5, end_time: 28.6
Word: bój, start_time: 28.6, end_time: 28.8
Word: pojadę, start_time: 28.8, end_time: 30.0
Word: do, start_time: 30.0, end_time: 30.1
Word: Rewal, start_time: 30.1, end_time: 30.8
Word: zabić, start_time: 30.8, end_time: 31.7
Word: Rolanda, start_time: 31.7, end_time: 32.4
Word: i, start_time: 32.4, end_time: 32.6
Word: Oliwier, start_time: 32.6, end_time: 33.6
Word: tożsamo, start_time: 33.6, end_time: 34.8
Word: nie, start_time: 34.8, end_time: 35.0
Word: ocali, start_time: 35.0, end_time: 35.5
Word: głowy, start_time: 35.5, end_time: 36.0
Word: a, start_time: 36.0, end_time: 36.2
Word: 12, start_time: 36.2, end_time: 37.2
Word: par, start_time: 37.2, end_time: 37.5
Word: poniesie, start_time: 37.5, end_time: 38.5
Word: męczeństwo, start_time: 38.5, end_time: 39.3
Word: Widzisz, start_time: 39.3, end_time: 40.6
Word: mój, start_time: 40.6, end_time: 40.9
Word: miecz, start_time: 40.9, end_time: 41.1
Word: rękojeści, start_time: 41.1, end_time: 42.1
Word: ze, start_time: 42.1, end_time: 42.2
Word: złota, start_time: 42.2, end_time: 42.7
Word: to, start_time: 42.7, end_time: 43.3
Word: Emir, start_time: 43.3, end_time: 43.8
Word: prymuski, start_time: 43.8, end_time: 44.5
Word: mi, start_time: 44.5, end_time: 44.6
Word: go, start_time: 44.6, end_time: 44.8
Word: przysłał, start_time: 44.8, end_time: 45.4
Word: w, start_time: 45.4, end_time: 45.5
Word: czerwonej, start_time: 45.5, end_time: 46.5
Word: krwi, start_time: 46.5, end_time: 46.8
Word: Przysięgam, start_time: 46.8, end_time: 47.7
Word: królów, start_time: 47.7, end_time: 48.2
Word: Kąpię, start_time: 48.2, end_time: 48.9
Word: się, start_time: 48.9, end_time: 49.1
Word: ten, start_time: 49.1, end_time: 49.3
Word: miecz, start_time: 49.3, end_time: 49.5
Word: Francuzi, start_time: 49.5, end_time: 50.8
Word: zginą, start_time: 50.8, end_time: 51.2
Word: Francja, start_time: 51.2, end_time: 52.3
Word: okryje, start_time: 52.3, end_time: 52.9
Word: się, start_time: 52.9, end_time: 53.0
Word: hańbą, start_time: 53.0, end_time: 53.4
Word: Karol, start_time: 53.4, end_time: 54.8
Word: stary, start_time: 54.8, end_time: 55.3
Word: o, start_time: 55.3, end_time: 55.5
Word: rozłożystej, start_time: 55.5, end_time: 56.5
Word: brodzie, start_time: 56.5, end_time: 57.0
Word: przez, start_time: 57.0, end_time: 57.4
Word: wszystkie, start_time: 57.4, end_time: 58.0
Word: dni, start_time: 58.0, end_time: 58.1
Word: swego, start_time: 58.1, end_time: 58.7
Word: życia, start_time: 58.7, end_time: 58.9
Word: będzie, start_time: 58.9, end_time: 59.9
Transcript: miał stąd gniew i żałobę nie mrok upłynie weźmiemy Francję łupem przenocuje my w ogrodzie Świętego Denisa pogański król skłonił się przed nim głęboko
Confidence: 0.8800287842750549
Word: miał, start_time: 59.9, end_time: 60.2
Word: stąd, start_time: 60.2, end_time: 60.6
Word: gniew, start_time: 60.6, end_time: 61.0
Word: i, start_time: 61.0, end_time: 61.1
Word: żałobę, start_time: 61.1, end_time: 61.8
Word: nie, start_time: 61.8, end_time: 62.8
Word: mrok, start_time: 62.8, end_time: 63.1
Word: upłynie, start_time: 63.1, end_time: 63.7
Word: weźmiemy, start_time: 63.7, end_time: 64.5
Word: Francję, start_time: 64.5, end_time: 65.1
Word: łupem, start_time: 65.1, end_time: 65.6
Word: przenocuje, start_time: 65.6, end_time: 66.7
Word: my, start_time: 66.7, end_time: 66.9
Word: w, start_time: 66.9, end_time: 66.9
Word: ogrodzie, start_time: 66.9, end_time: 67.5
Word: Świętego, start_time: 67.5, end_time: 68.2
Word: Denisa, start_time: 68.2, end_time: 68.8
Word: pogański, start_time: 68.8, end_time: 69.9
Word: król, start_time: 69.9, end_time: 70.3
Word: skłonił, start_time: 70.3, end_time: 71.4
Word: się, start_time: 71.4, end_time: 71.5
Word: przed, start_time: 71.5, end_time: 72.0
Word: nim, start_time: 72.0, end_time: 72.2
Word: głęboko, start_time: 72.2, end_time: 72.9
