Waiting for operation to complete...
Transcript: nowa pieśń O rydzu czyli jak Jan Michalik został mecenasem sztuki czyli niezbadane są drogi opatrzności nuta zdarzyło się raz Jadwidze poszła do lasu na rydze miał se Michalik cukiernie Kupczyk w niej trzeźwo i wiernie kawusia ciastka i pączki zapłata z rączki do rączki kredytu śmiertelny był on wróg To też mu za to poszczęściło że serce dla golców miał składu nie zrobił Bang eui razu Każdy stan swoje smutki to też w czas niezmiernie krótki WF lokal znany z trzeźwości dziwnych sprowadził chart gości w pobliżu świątynia stała sztuk stamtąd się zakradł najpierwszy wróg malarze lokal o psie i żeby w nim pili i jedli dziwi się wszystko w tej budzie cóż to się schodzą
Confidence: 0.867598831653595
Word: nowa, start_time: 0.0, end_time: 0.6000000000000001
Word: z, start_time: 41.1, end_time: 41.2
Word: trzeźwości, start_time: 41.2, end_time: 41.6
Word: dziwnych, start_time: 41.6, end_time: 43.0
Word: sprowadził, start_time: 43.0, end_time: 43.7
Word: chart, start_time: 43.7, end_time: 44.1
Word: gości, start_time: 44.1, end_time: 44.8
Word: w, start_time: 44.8, end_time: 44.9
Word: pobliżu, start_time: 44.9, end_time: 46.0
Word: świątynia, start_time: 46.0, end_time: 46.8
Word: stała, start_time: 46.8, end_time: 47.0
Word: sztuk, start_time: 47.0, end_time: 47.6
Word: stamtąd, start_time: 47.6, end_time: 48.7
Word: się, start_time: 48.7, end_time: 49.0
Word: zakradł, start_time: 49.0, end_time: 49.6
Word: najpierwszy, start_time: 49.6, end_time: 50.5
Word: wróg, start_time: 50.5, end_time: 50.8
Word: malarze, start_time: 50.8, end_time: 52.2
Word: lokal, start_time: 52.2, end_time: 52.9
Word: o, start_time: 52.9, end_time: 52.9
Word: psie, start_time: 52.9, end_time: 53.3
Word: i, start_time: 53.3, end_time: 53.4
Word: żeby, start_time: 53.4, end_time: 54.4
Word: w, start_time: 54.4, end_time: 54.5
Word: nim, start_time: 54.5, end_time: 54.8
Word: pili, start_time: 54.8, end_time: 55.4
Word: i, start_time: 55.4, end_time: 55.6
Word: jedli, start_time: 55.6, end_time: 56.4
Word: dziwi, start_time: 56.4, end_time: 57.3
Word: się, start_time: 57.3, end_time: 57.4
Word: wszystko, start_time: 57.4, end_time: 57.8
Word: w, start_time: 57.8, end_time: 57.9
Word: tej, start_time: 57.9, end_time: 58.1
Word: budzie, start_time: 58.1, end_time: 58.3
Word: cóż, start_time: 58.3, end_time: 59.2
Word: to, start_time: 59.2, end_time: 59.4
Word: się, start_time: 59.4, end_time: 59.5
Word: schodzą, start_time: 59.5, end_time: 59.9
Transcript: za ludzie chłopak chłopak dziki kosmaty a portki na nim na raty a chłopak wiśniówki dawać w cwał wygonił 12 tak jak stał i mówi ciasteczka i trunek wpiszesz panna mój rachunek przez dwa tygodnie już co dzień jadł i pił obcy przychodzień wreszcie Michalik nieśmiało należność podaje całą 46 Koron to nic Dodaj tamte 4 masz to szkic przylecisz go pan do ściany będziesz miał lokalu brak już było począć z tym grabem więc powstaniu dość słabe zrozumiał biedny gospodarz Co to jest popyt i podaż i od tej chwili codziennie już lała się woda z ogromnych Krusz Michalik patrzy i patrzy Amour ma coraz pstrąg A3 co potem jeszcze się działo gadać być
Confidence: 0.788948118686676
Word: za, start_time: 59.9, end_time: 60.2
Word: ludzie, start_time: 60.2, end_time: 60.5
Word: chłopak, start_time: 60.5, end_time: 61.2
Word: chłopak, start_time: 61.2, end_time: 61.9
Word: dziki, start_time: 61.9, end_time: 62.7
Word: kosmaty, start_time: 62.7, end_time: 63.5
Word: a, start_time: 63.5, end_time: 63.7
Word: portki, start_time: 63.7, end_time: 64.6
Word: na, start_time: 64.6, end_time: 64.8
Word: nim, start_time: 64.8, end_time: 65.1
Word: na, start_time: 65.1, end_time: 65.4
Word: raty, start_time: 65.4, end_time: 65.8
Word: a, start_time: 65.8, end_time: 65.9
Word: chłopak, start_time: 65.9, end_time: 67.2
Word: wiśniówki, start_time: 67.2, end_time: 68.2
Word: dawać, start_time: 68.2, end_time: 68.5
Word: w, start_time: 68.5, end_time: 68.6
Word: cwał, start_time: 68.6, end_time: 69.0
Word: wygonił, start_time: 69.0, end_time: 70.2
Word: 12, start_time: 70.2, end_time: 71.0
Word: tak, start_time: 71.0, end_time: 71.3
Word: jak, start_time: 71.3, end_time: 71.5
Word: stał, start_time: 71.5, end_time: 71.8
Word: i, start_time: 71.8, end_time: 71.9
Word: mówi, start_time: 71.9, end_time: 72.5
Word: ciasteczka, start_time: 72.5, end_time: 73.4
Word: i, start_time: 73.4, end_time: 73.5
Word: trunek, start_time: 73.5, end_time: 73.9
Word: wpiszesz, start_time: 73.9, end_time: 74.8
Word: panna, start_time: 74.8, end_time: 75.2
Word: mój, start_time: 75.2, end_time: 75.4
Word: rachunek, start_time: 75.4, end_time: 75.6
Word: przez, start_time: 75.6, end_time: 76.7
Word: dwa, start_time: 76.7, end_time: 76.9
Word: tygodnie, start_time: 76.9, end_time: 77.0
Word: już, start_time: 77.0, end_time: 77.6
Word: co, start_time: 77.6, end_time: 77.9
Word: dzień, start_time: 77.9, end_time: 78.0
Word: jadł, start_time: 78.0, end_time: 78.9
Word: i, start_time: 78.9, end_time: 79.1
Word: pił, start_time: 79.1, end_time: 79.2
Word: obcy, start_time: 79.2, end_time: 80.1
Word: przychodzień, start_time: 80.1, end_time: 80.8
Word: wreszcie, start_time: 80.8, end_time: 81.9
Word: Michalik, start_time: 81.9, end_time: 82.4
Word: nieśmiało, start_time: 82.4, end_time: 83.1
Word: należność, start_time: 83.1, end_time: 84.3
Word: podaje, start_time: 84.3, end_time: 84.9
Word: całą, start_time: 84.9, end_time: 85.4
Word: 46, start_time: 85.4, end_time: 87.3
Word: Koron, start_time: 87.3, end_time: 87.8
Word: to, start_time: 87.8, end_time: 88.9
Word: nic, start_time: 88.9, end_time: 89.3
Word: Dodaj, start_time: 89.3, end_time: 90.2
Word: tamte, start_time: 90.2, end_time: 90.5
Word: 4, start_time: 90.5, end_time: 91.0
Word: masz, start_time: 91.0, end_time: 91.4
Word: to, start_time: 91.4, end_time: 91.6
Word: szkic, start_time: 91.6, end_time: 92.0
Word: przylecisz, start_time: 92.0, end_time: 93.3
Word: go, start_time: 93.3, end_time: 93.4
Word: pan, start_time: 93.4, end_time: 93.6
Word: do, start_time: 93.6, end_time: 93.7
Word: ściany, start_time: 93.7, end_time: 94.1
Word: będziesz, start_time: 94.1, end_time: 95.0
Word: miał, start_time: 95.0, end_time: 95.3
Word: lokalu, start_time: 95.3, end_time: 95.7
Word: brak, start_time: 95.7, end_time: 96.1
Word: już, start_time: 96.1, end_time: 97.1
Word: było, start_time: 97.1, end_time: 97.3
Word: począć, start_time: 97.3, end_time: 97.9
Word: z, start_time: 97.9, end_time: 98.0
Word: tym, start_time: 98.0, end_time: 98.2
Word: grabem, start_time: 98.2, end_time: 98.5
Word: więc, start_time: 98.5, end_time: 99.5
Word: powstaniu, start_time: 99.5, end_time: 100.7
Word: dość, start_time: 100.7, end_time: 101.0
Word: słabe, start_time: 101.0, end_time: 101.5
Word: zrozumiał, start_time: 101.5, end_time: 102.7
Word: biedny, start_time: 102.7, end_time: 103.1
Word: gospodarz, start_time: 103.1, end_time: 103.7
Word: Co, start_time: 103.7, end_time: 104.3
Word: to, start_time: 104.3, end_time: 104.5
Word: jest, start_time: 104.5, end_time: 104.8
Word: popyt, start_time: 104.8, end_time: 105.2
Word: i, start_time: 105.2, end_time: 105.5
Word: podaż, start_time: 105.5, end_time: 106.3
Word: i, start_time: 106.3, end_time: 106.6
Word: od, start_time: 106.6, end_time: 107.4
Word: tej, start_time: 107.4, end_time: 107.6
Word: chwili, start_time: 107.6, end_time: 107.7
Word: codziennie, start_time: 107.7, end_time: 108.6
Word: już, start_time: 108.6, end_time: 108.8
Word: lała, start_time: 108.8, end_time: 109.7
Word: się, start_time: 109.7, end_time: 109.8
Word: woda, start_time: 109.8, end_time: 110.2
Word: z, start_time: 110.2, end_time: 110.3
Word: ogromnych, start_time: 110.3, end_time: 111.2
Word: Krusz, start_time: 111.2, end_time: 111.6
Word: Michalik, start_time: 111.6, end_time: 112.5
Word: patrzy, start_time: 112.5, end_time: 113.1
Word: i, start_time: 113.1, end_time: 113.2
Word: patrzy, start_time: 113.2, end_time: 114.0
Word: Amour, start_time: 114.0, end_time: 114.9
Word: ma, start_time: 114.9, end_time: 115.1
Word: coraz, start_time: 115.1, end_time: 115.6
Word: pstrąg, start_time: 115.6, end_time: 116.2
Word: A3, start_time: 116.2, end_time: 116.7
Word: co, start_time: 116.7, end_time: 117.4
Word: potem, start_time: 117.4, end_time: 117.8
Word: jeszcze, start_time: 117.8, end_time: 117.9
Word: się, start_time: 117.9, end_time: 118.2
Word: działo, start_time: 118.2, end_time: 118.6
Word: gadać, start_time: 118.6, end_time: 119.4
Word: być, start_time: 119.4, end_time: 119.7
Transcript: Panie mało dość że ta buda od dawna już w całej Polsce jest sławna wszystko oglądać ją będzie w SKOK do Michalika na Five o clock Kołtun z prowincji czy z miasta z otwartą gębą że ciasta spróbuj zaglądnąć w zapusty do Michalika o szóstej komuś tam nie ma sam powiedz nawet Rachela z bronowic lipa oj panie Michalik A gdzież też to jest jaki katolik karmić jest mi dobrze go proszę by się nie skurczył po trosze w końcu Michalik na serio zaczął brać swoją galerią uderzyło mu do głowy że taki sklep mamo Rowy Hej panie Mączyński panie Frycz bierzcie co chcecie Niech szczęście nic ująć cię pięknie mi wcale Niech się przed światem pochwalę chwycili pędzle ołówki poszli po rozum do główki i mówią czy
Confidence: 0.8430442214012146
Word: Panie, start_time: 119.9, end_time: 120.2
Word: mało, start_time: 120.2, end_time: 120.6
Word: dość, start_time: 120.6, end_time: 121.5
Word: że, start_time: 121.5, end_time: 121.9
Word: ta, start_time: 121.9, end_time: 122.0
Word: buda, start_time: 122.0, end_time: 122.3
Word: od, start_time: 122.3, end_time: 122.6
Word: dawna, start_time: 122.6, end_time: 123.2
Word: już, start_time: 123.2, end_time: 123.7
Word: w, start_time: 123.7, end_time: 123.8
Word: całej, start_time: 123.8, end_time: 124.3
Word: Polsce, start_time: 124.3, end_time: 124.8
Word: jest, start_time: 124.8, end_time: 125.1
Word: sławna, start_time: 125.1, end_time: 125.8
Word: wszystko, start_time: 125.8, end_time: 126.8
Word: oglądać, start_time: 126.8, end_time: 127.5
Word: ją, start_time: 127.5, end_time: 127.8
Word: będzie, start_time: 127.8, end_time: 128.2
Word: w, start_time: 128.2, end_time: 128.3
Word: SKOK, start_time: 128.3, end_time: 128.6
Word: do, start_time: 128.6, end_time: 129.3
Word: Michalika, start_time: 129.3, end_time: 129.9
Word: na, start_time: 129.9, end_time: 130.4
Word: Five, start_time: 130.4, end_time: 130.8
Word: o, start_time: 130.8, end_time: 130.8
Word: clock, start_time: 130.8, end_time: 131.0
Word: Kołtun, start_time: 131.0, end_time: 132.3
Word: z, start_time: 132.3, end_time: 132.4
Word: prowincji, start_time: 132.4, end_time: 133.1
Word: czy, start_time: 133.1, end_time: 133.3
Word: z, start_time: 133.3, end_time: 133.4
Word: miasta, start_time: 133.4, end_time: 133.8
Word: z, start_time: 133.8, end_time: 133.9
Word: otwartą, start_time: 133.9, end_time: 134.9
Word: gębą, start_time: 134.9, end_time: 135.1
Word: że, start_time: 135.1, end_time: 135.7
Word: ciasta, start_time: 135.7, end_time: 136.4
Word: spróbuj, start_time: 136.4, end_time: 137.7
Word: zaglądnąć, start_time: 137.7, end_time: 138.2
Word: w, start_time: 138.2, end_time: 138.4
Word: zapusty, start_time: 138.4, end_time: 139.0
Word: do, start_time: 139.0, end_time: 139.4
Word: Michalika, start_time: 139.4, end_time: 139.9
Word: o, start_time: 139.9, end_time: 140.0
Word: szóstej, start_time: 140.0, end_time: 140.7
Word: komuś, start_time: 140.7, end_time: 141.6
Word: tam, start_time: 141.6, end_time: 141.9
Word: nie, start_time: 141.9, end_time: 142.0
Word: ma, start_time: 142.0, end_time: 142.2
Word: sam, start_time: 142.2, end_time: 142.9
Word: powiedz, start_time: 142.9, end_time: 143.4
Word: nawet, start_time: 143.4, end_time: 144.2
Word: Rachela, start_time: 144.2, end_time: 145.1
Word: z, start_time: 145.1, end_time: 145.2
Word: bronowic, start_time: 145.2, end_time: 145.8
Word: lipa, start_time: 145.8, end_time: 146.8
Word: oj, start_time: 146.8, end_time: 147.5
Word: panie, start_time: 147.5, end_time: 148.1
Word: Michalik, start_time: 148.1, end_time: 148.8
Word: A, start_time: 148.8, end_time: 148.9
Word: gdzież, start_time: 148.9, end_time: 149.6
Word: też, start_time: 149.6, end_time: 149.9
Word: to, start_time: 149.9, end_time: 150.1
Word: jest, start_time: 150.1, end_time: 150.5
Word: jaki, start_time: 150.5, end_time: 150.8
Word: katolik, start_time: 150.8, end_time: 151.5
Word: karmić, start_time: 151.5, end_time: 152.4
Word: jest, start_time: 152.4, end_time: 152.5
Word: mi, start_time: 152.5, end_time: 152.7
Word: dobrze, start_time: 152.7, end_time: 153.0
Word: go, start_time: 153.0, end_time: 153.3
Word: proszę, start_time: 153.3, end_time: 153.7
Word: by, start_time: 153.7, end_time: 154.3
Word: się, start_time: 154.3, end_time: 154.5
Word: nie, start_time: 154.5, end_time: 154.7
Word: skurczył, start_time: 154.7, end_time: 155.0
Word: po, start_time: 155.0, end_time: 155.3
Word: trosze, start_time: 155.3, end_time: 155.9
Word: w, start_time: 155.9, end_time: 156.1
Word: końcu, start_time: 156.1, end_time: 156.8
Word: Michalik, start_time: 156.8, end_time: 157.3
Word: na, start_time: 157.3, end_time: 157.4
Word: serio, start_time: 157.4, end_time: 157.9
Word: zaczął, start_time: 157.9, end_time: 158.5
Word: brać, start_time: 158.5, end_time: 158.7
Word: swoją, start_time: 158.7, end_time: 159.2
Word: galerią, start_time: 159.2, end_time: 159.8
Word: uderzyło, start_time: 159.8, end_time: 160.8
Word: mu, start_time: 160.8, end_time: 160.9
Word: do, start_time: 160.9, end_time: 161.1
Word: głowy, start_time: 161.1, end_time: 161.2
Word: że, start_time: 161.2, end_time: 161.9
Word: taki, start_time: 161.9, end_time: 162.3
Word: sklep, start_time: 162.3, end_time: 162.7
Word: mamo, start_time: 162.7, end_time: 163.1
Word: Rowy, start_time: 163.1, end_time: 163.6
Word: Hej, start_time: 163.6, end_time: 164.4
Word: panie, start_time: 164.4, end_time: 164.7
Word: Mączyński, start_time: 164.7, end_time: 165.5
Word: panie, start_time: 165.5, end_time: 165.8
Word: Frycz, start_time: 165.8, end_time: 166.1
Word: bierzcie, start_time: 166.1, end_time: 166.9
Word: co, start_time: 166.9, end_time: 167.1
Word: chcecie, start_time: 167.1, end_time: 167.5
Word: Niech, start_time: 167.5, end_time: 168.1
Word: szczęście, start_time: 168.1, end_time: 168.7
Word: nic, start_time: 168.7, end_time: 169.0
Word: ująć, start_time: 169.0, end_time: 170.2
Word: cię, start_time: 170.2, end_time: 170.4
Word: pięknie, start_time: 170.4, end_time: 171.1
Word: mi, start_time: 171.1, end_time: 171.2
Word: wcale, start_time: 171.2, end_time: 171.3
Word: Niech, start_time: 171.3, end_time: 172.1
Word: się, start_time: 172.1, end_time: 172.3
Word: przed, start_time: 172.3, end_time: 172.6
Word: światem, start_time: 172.6, end_time: 172.9
Word: pochwalę, start_time: 172.9, end_time: 173.7
Word: chwycili, start_time: 173.7, end_time: 175.1
Word: pędzle, start_time: 175.1, end_time: 175.7
Word: ołówki, start_time: 175.7, end_time: 176.5
Word: poszli, start_time: 176.5, end_time: 177.2
Word: po, start_time: 177.2, end_time: 177.4
Word: rozum, start_time: 177.4, end_time: 177.5
Word: do, start_time: 177.5, end_time: 177.9
Word: główki, start_time: 177.9, end_time: 178.4
Word: i, start_time: 178.4, end_time: 178.6
Word: mówią, start_time: 178.6, end_time: 179.3
Word: czy, start_time: 179.3, end_time: 179.8
Transcript: tysiączki bulić to z rączki do rączki Gimme Gimme Gimme Halik powiedz mi chłopie Czyś ty się wyścig strasznie zmieniły się czasy płać złotem zatecky klasy nie mamy w Polsce monarchy same w niej Golce lub parchy Michalik Został nam Jeden by sztuki stworzyć w niej Eden oj oj oj oj rycerzu nasz Sztandarów świętych ty trzymaj straż będziemy cię doić jak brata byleś nam długie żył lata
Confidence: 0.9282628893852234
Word: tysiączki, start_time: 179.9, end_time: 180.6
Word: bulić, start_time: 180.6, end_time: 181.3
Word: to, start_time: 181.3, end_time: 181.5
Word: z, start_time: 181.5, end_time: 181.7
Word: rączki, start_time: 181.7, end_time: 182.2
Word: do, start_time: 182.2, end_time: 182.3
Word: rączki, start_time: 182.3, end_time: 182.4
Word: Gimme, start_time: 182.4, end_time: 183.8
Word: Gimme, start_time: 183.8, end_time: 184.7
Word: Gimme, start_time: 184.7, end_time: 185.4
Word: Halik, start_time: 185.4, end_time: 186.1
Word: powiedz, start_time: 186.1, end_time: 186.9
Word: mi, start_time: 186.9, end_time: 187.1
Word: chłopie, start_time: 187.1, end_time: 187.5
Word: Czyś, start_time: 187.5, end_time: 188.1
Word: ty, start_time: 188.1, end_time: 188.1
Word: się, start_time: 188.1, end_time: 188.3
Word: wyścig, start_time: 188.3, end_time: 188.8
Word: strasznie, start_time: 188.8, end_time: 189.8
Word: zmieniły, start_time: 189.8, end_time: 190.3
Word: się, start_time: 190.3, end_time: 190.5
Word: czasy, start_time: 190.5, end_time: 190.9
Word: płać, start_time: 190.9, end_time: 191.6
Word: złotem, start_time: 191.6, end_time: 192.2
Word: zatecky, start_time: 192.2, end_time: 192.6
Word: klasy, start_time: 192.6, end_time: 193.0
Word: nie, start_time: 193.0, end_time: 193.7
Word: mamy, start_time: 193.7, end_time: 193.9
Word: w, start_time: 193.9, end_time: 193.9
Word: Polsce, start_time: 193.9, end_time: 194.2
Word: monarchy, start_time: 194.2, end_time: 194.9
Word: same, start_time: 194.9, end_time: 195.6
Word: w, start_time: 195.6, end_time: 195.7
Word: niej, start_time: 195.7, end_time: 195.9
Word: Golce, start_time: 195.9, end_time: 196.4
Word: lub, start_time: 196.4, end_time: 196.8
Word: parchy, start_time: 196.8, end_time: 197.4
Word: Michalik, start_time: 197.4, end_time: 198.5
Word: Został, start_time: 198.5, end_time: 199.1
Word: nam, start_time: 199.1, end_time: 199.3
Word: Jeden, start_time: 199.3, end_time: 199.7
Word: by, start_time: 199.7, end_time: 200.2
Word: sztuki, start_time: 200.2, end_time: 200.7
Word: stworzyć, start_time: 200.7, end_time: 201.2
Word: w, start_time: 201.2, end_time: 201.3
Word: niej, start_time: 201.3, end_time: 201.6
Word: Eden, start_time: 201.6, end_time: 202.1
Word: oj, start_time: 202.1, end_time: 202.8
Word: oj, start_time: 202.8, end_time: 203.1
Word: oj, start_time: 203.1, end_time: 203.7
Word: oj, start_time: 203.7, end_time: 204.6
Word: rycerzu, start_time: 204.6, end_time: 205.5
Word: nasz, start_time: 205.5, end_time: 205.7
Word: Sztandarów, start_time: 205.7, end_time: 206.9
Word: świętych, start_time: 206.9, end_time: 207.5
Word: ty, start_time: 207.5, end_time: 207.7
Word: trzymaj, start_time: 207.7, end_time: 208.2
Word: straż, start_time: 208.2, end_time: 208.6
Word: będziemy, start_time: 208.6, end_time: 209.8
Word: cię, start_time: 209.8, end_time: 210.0
Word: doić, start_time: 210.0, end_time: 210.6
Word: jak, start_time: 210.6, end_time: 210.7
Word: brata, start_time: 210.7, end_time: 211.3
Word: byleś, start_time: 211.3, end_time: 212.1
Word: nam, start_time: 212.1, end_time: 212.4
Word: długie, start_time: 212.4, end_time: 213.1
Word: żył, start_time: 213.1, end_time: 213.4
Word: lata, start_time: 213.4, end_time: 213.8
