Waiting for operation to complete...
Transcript: Tadeusz Boy żeleński słówka zbiór słówka gdy coś mnie nadto wzruszy lub sercem i podrażnień Chowam się aż po uszy do swojej wyobraźni tam Pokaż dzióbki boże schronienie mam zaciszne gdzie myśl wyprawiać może przeróżne rzeczy śmieszne miast czerpać próżno uchwałę w tym że jak z książki gada w głupiutkie słówka małe autka się rozpada ze słówkami uciechy sprawiają nieraz mnóstwo lubię ich w puste śmiechy i ducha ich ubóstwo jak w łazienkowe mali słówko się ze słówkiem cacka to jęzor mu wywali to Szczytnie je znienacka 1/2 hasa wydając kwit wesoły niby dzieciaków masa gdy wyrwie się ze szkoły jednemu w tej Pogoni wąsem na biegną Lis gdy żywszy
Confidence: 0.8244917392730713
Word: Tadeusz, start_time: 0.0, end_time: 0.9
Word: się, start_time: 29.5, end_time: 29.7
Word: rozpada, start_time: 29.7, end_time: 30.3
Word: ze, start_time: 30.3, end_time: 30.8
Word: słówkami, start_time: 30.8, end_time: 31.4
Word: uciechy, start_time: 31.4, end_time: 32.3
Word: sprawiają, start_time: 32.3, end_time: 33.0
Word: nieraz, start_time: 33.0, end_time: 33.4
Word: mnóstwo, start_time: 33.4, end_time: 34.0
Word: lubię, start_time: 34.0, end_time: 34.7
Word: ich, start_time: 34.7, end_time: 35.0
Word: w, start_time: 35.0, end_time: 35.1
Word: puste, start_time: 35.1, end_time: 35.5
Word: śmiechy, start_time: 35.5, end_time: 36.1
Word: i, start_time: 36.1, end_time: 36.3
Word: ducha, start_time: 36.3, end_time: 37.0
Word: ich, start_time: 37.0, end_time: 37.3
Word: ubóstwo, start_time: 37.3, end_time: 38.4
Word: jak, start_time: 38.4, end_time: 39.0
Word: w, start_time: 39.0, end_time: 39.0
Word: łazienkowe, start_time: 39.0, end_time: 39.7
Word: mali, start_time: 39.7, end_time: 40.1
Word: słówko, start_time: 40.1, end_time: 41.1
Word: się, start_time: 41.1, end_time: 41.3
Word: ze, start_time: 41.3, end_time: 41.6
Word: słówkiem, start_time: 41.6, end_time: 42.2
Word: cacka, start_time: 42.2, end_time: 42.8
Word: to, start_time: 42.8, end_time: 43.4
Word: jęzor, start_time: 43.4, end_time: 44.0
Word: mu, start_time: 44.0, end_time: 44.0
Word: wywali, start_time: 44.0, end_time: 44.6
Word: to, start_time: 44.6, end_time: 45.1
Word: Szczytnie, start_time: 45.1, end_time: 45.8
Word: je, start_time: 45.8, end_time: 45.9
Word: znienacka, start_time: 45.9, end_time: 46.9
Word: 1/2, start_time: 46.9, end_time: 48.4
Word: hasa, start_time: 48.4, end_time: 49.1
Word: wydając, start_time: 49.1, end_time: 50.0
Word: kwit, start_time: 50.0, end_time: 50.4
Word: wesoły, start_time: 50.4, end_time: 51.0
Word: niby, start_time: 51.0, end_time: 51.5
Word: dzieciaków, start_time: 51.5, end_time: 52.2
Word: masa, start_time: 52.2, end_time: 52.6
Word: gdy, start_time: 52.6, end_time: 53.2
Word: wyrwie, start_time: 53.2, end_time: 53.7
Word: się, start_time: 53.7, end_time: 53.7
Word: ze, start_time: 53.7, end_time: 54.0
Word: szkoły, start_time: 54.0, end_time: 54.4
Word: jednemu, start_time: 54.4, end_time: 55.1
Word: w, start_time: 55.1, end_time: 55.2
Word: tej, start_time: 55.2, end_time: 55.4
Word: Pogoni, start_time: 55.4, end_time: 55.9
Word: wąsem, start_time: 55.9, end_time: 56.9
Word: na, start_time: 56.9, end_time: 57.1
Word: biegną, start_time: 57.1, end_time: 57.6
Word: Lis, start_time: 57.6, end_time: 57.9
Word: gdy, start_time: 57.9, end_time: 58.8
Word: żywszy, start_time: 58.8, end_time: 59.5
Transcript: odsłonić młodziutkich płci różnice inne troszeczkę z boku przy stanie gdzieś nieśmiałe i stoi z mgiełką w oku jak zadumany ciele d2w postacie nowej objęły się przyjemnie i Summer Dream gotowy splatają się beze mnie Ja patrzę na niewinne figielki miłych dziadek i wolę niźli inne ten mały własny światek
Confidence: 0.9275809526443481
Word: odsłonić, start_time: 59.9, end_time: 60.8
Word: młodziutkich, start_time: 60.8, end_time: 62.0
Word: płci, start_time: 62.0, end_time: 62.6
Word: różnice, start_time: 62.6, end_time: 63.4
Word: inne, start_time: 63.4, end_time: 64.2
Word: troszeczkę, start_time: 64.2, end_time: 64.8
Word: z, start_time: 64.8, end_time: 64.8
Word: boku, start_time: 64.8, end_time: 65.3
Word: przy, start_time: 65.3, end_time: 65.8
Word: stanie, start_time: 65.8, end_time: 66.2
Word: gdzieś, start_time: 66.2, end_time: 66.5
Word: nieśmiałe, start_time: 66.5, end_time: 67.2
Word: i, start_time: 67.2, end_time: 67.4
Word: stoi, start_time: 67.4, end_time: 68.2
Word: z, start_time: 68.2, end_time: 68.3
Word: mgiełką, start_time: 68.3, end_time: 69.1
Word: w, start_time: 69.1, end_time: 69.3
Word: oku, start_time: 69.3, end_time: 69.8
Word: jak, start_time: 69.8, end_time: 69.9
Word: zadumany, start_time: 69.9, end_time: 71.3
Word: ciele, start_time: 71.3, end_time: 71.8
Word: d2w, start_time: 71.8, end_time: 73.0
Word: postacie, start_time: 73.0, end_time: 73.6
Word: nowej, start_time: 73.6, end_time: 74.0
Word: objęły, start_time: 74.0, end_time: 75.0
Word: się, start_time: 75.0, end_time: 75.2
Word: przyjemnie, start_time: 75.2, end_time: 75.8
Word: i, start_time: 75.8, end_time: 76.0
Word: Summer, start_time: 76.0, end_time: 76.9
Word: Dream, start_time: 76.9, end_time: 77.3
Word: gotowy, start_time: 77.3, end_time: 78.0
Word: splatają, start_time: 78.0, end_time: 79.1
Word: się, start_time: 79.1, end_time: 79.2
Word: beze, start_time: 79.2, end_time: 80.1
Word: mnie, start_time: 80.1, end_time: 80.2
Word: Ja, start_time: 80.2, end_time: 81.3
Word: patrzę, start_time: 81.3, end_time: 81.8
Word: na, start_time: 81.8, end_time: 82.1
Word: niewinne, start_time: 82.1, end_time: 82.8
Word: figielki, start_time: 82.8, end_time: 83.6
Word: miłych, start_time: 83.6, end_time: 84.1
Word: dziadek, start_time: 84.1, end_time: 84.6
Word: i, start_time: 84.6, end_time: 84.7
Word: wolę, start_time: 84.7, end_time: 85.5
Word: niźli, start_time: 85.5, end_time: 86.0
Word: inne, start_time: 86.0, end_time: 86.5
Word: ten, start_time: 86.5, end_time: 87.0
Word: mały, start_time: 87.0, end_time: 87.6
Word: własny, start_time: 87.6, end_time: 88.4
Word: światek, start_time: 88.4, end_time: 89.3
