Waiting for operation to complete...
Transcript: opowieść dziadkowa o cudach Jasnogórskich niech z o.o. syćkie pierony zatrzasną wybrał się dziadek masz pod górę jasną myślał że Grosik uzbiera tymczasem wrócił ciupasem tego widoku dożył dziadek stary w całym klasztorze nic jeno żandary wszystkie osoby duchowne a święte pod klucz zamknięte dziwne to że trzeba ją sobie ludy że się tam działy straszne jakieś cudy niby że ojcem problemy świństwa gwoli Męczeństwa żył jeden z drugim piknie bez turba ci Świątek czy piątek przygodny kolacji bluźnij imieniu tego co go stworzył i cudzołożyć 1 na gorszy Patrzcie Wymyśl Nika chował pod sobą w sofie nieboszczyka że jak bez tego na tej sofie grzeszy
Confidence: 0.8629559874534607
Word: opowieść, start_time: 0.0, end_time: 0.6000000000000001
Word: księdzu, start_time: 85.7, end_time: 86.3
Word: dla, start_time: 86.3, end_time: 86.6
Word: dobra, start_time: 86.6, end_time: 87.1
Word: klasztoru, start_time: 87.1, end_time: 87.8
Word: zaprosić, start_time: 87.8, end_time: 89.1
Word: kogo, start_time: 89.1, end_time: 89.4
Word: to, start_time: 89.4, end_time: 89.9
Word: mu, start_time: 89.9, end_time: 90.0
Word: bez, start_time: 90.0, end_time: 90.4
Word: Janku, start_time: 90.4, end_time: 90.9
Word: bukkita, start_time: 90.9, end_time: 92.4
Word: zipie, start_time: 92.4, end_time: 92.9
Word: własną, start_time: 92.9, end_time: 93.7
Word: dłonią, start_time: 93.7, end_time: 94.2
Word: oleje, start_time: 94.2, end_time: 94.7
Word: święte, start_time: 94.7, end_time: 95.3
Word: codziennie, start_time: 95.3, end_time: 97.3
Word: rano, start_time: 97.3, end_time: 97.7
Word: na, start_time: 97.7, end_time: 98.2
Word: bocznym, start_time: 98.2, end_time: 98.6
Word: zwyczajem, start_time: 98.6, end_time: 99.2
Word: spowiadałem, start_time: 99.2, end_time: 100.2
Word: się, start_time: 100.2, end_time: 100.2
Word: ojca, start_time: 100.2, end_time: 101.0
Word: i, start_time: 101.0, end_time: 101.3
Word: nawzajem, start_time: 101.3, end_time: 101.6
Word: który, start_time: 101.6, end_time: 103.0
Word: trafił, start_time: 103.0, end_time: 103.6
Word: jak, start_time: 103.6, end_time: 104.1
Word: przyjdzie, start_time: 104.1, end_time: 104.7
Word: potrzeba, start_time: 104.7, end_time: 104.9
Word: prosto, start_time: 104.9, end_time: 106.1
Word: do, start_time: 106.1, end_time: 106.2
Word: nieba, start_time: 106.2, end_time: 106.4
Word: różnie, start_time: 106.4, end_time: 107.5
Word: dopuszcza, start_time: 107.5, end_time: 108.2
Word: Bóg, start_time: 108.2, end_time: 108.6
Word: w, start_time: 108.6, end_time: 108.7
Word: mądrości, start_time: 108.7, end_time: 109.3
Word: swojej, start_time: 109.3, end_time: 110.0
Word: ale, start_time: 110.0, end_time: 110.9
Word: to, start_time: 110.9, end_time: 111.0
Word: jakoś, start_time: 111.0, end_time: 111.3
Word: bardzo, start_time: 111.3, end_time: 111.8
Word: nie, start_time: 111.8, end_time: 112.1
Word: przystoi, start_time: 112.1, end_time: 112.7
Word: iżby, start_time: 112.7, end_time: 113.6
Word: siedziały, start_time: 113.6, end_time: 114.1
Word: ptakiem, start_time: 114.1, end_time: 114.7
Word: świętem, start_time: 114.7, end_time: 115.6
Word: gronie, start_time: 115.6, end_time: 116.1
Word: same, start_time: 116.1, end_time: 116.9
Word: pohronie, start_time: 116.9, end_time: 117.8
Word: mnie, start_time: 117.8, end_time: 118.6
Word: złościsz, start_time: 118.6, end_time: 119.3
Word: bierze, start_time: 119.3, end_time: 119.7
Transcript: kociak dziadek świecki cóż Ta dopiero w grobie ksiądz Kordecki musi go skręca od strasznej tortury zadkiem do góry kogo Bóg kocha tego i doświadcza więc choć zgrzeszyła ręka świętokradcza Módlmy się brać aby nasz zakon miły znów porósł siły już by zapomniał Bóg osły boleści smsów zakupić dziennie choć z 40 niech więc na tackę kota który może żółci w klasztorze
Confidence: 0.9472965002059937
Word: kociak, start_time: 119.9, end_time: 120.4
Word: dziadek, start_time: 120.4, end_time: 121.0
Word: świecki, start_time: 121.0, end_time: 121.6
Word: cóż, start_time: 121.6, end_time: 122.5
Word: Ta, start_time: 122.5, end_time: 122.8
Word: dopiero, start_time: 122.8, end_time: 123.2
Word: w, start_time: 123.2, end_time: 123.5
Word: grobie, start_time: 123.5, end_time: 123.8
Word: ksiądz, start_time: 123.8, end_time: 124.6
Word: Kordecki, start_time: 124.6, end_time: 125.0
Word: musi, start_time: 125.0, end_time: 126.2
Word: go, start_time: 126.2, end_time: 126.3
Word: skręca, start_time: 126.3, end_time: 127.1
Word: od, start_time: 127.1, end_time: 127.3
Word: strasznej, start_time: 127.3, end_time: 128.2
Word: tortury, start_time: 128.2, end_time: 128.9
Word: zadkiem, start_time: 128.9, end_time: 130.1
Word: do, start_time: 130.1, end_time: 130.2
Word: góry, start_time: 130.2, end_time: 130.6
Word: kogo, start_time: 130.6, end_time: 131.3
Word: Bóg, start_time: 131.3, end_time: 131.6
Word: kocha, start_time: 131.6, end_time: 132.2
Word: tego, start_time: 132.2, end_time: 132.8
Word: i, start_time: 132.8, end_time: 133.0
Word: doświadcza, start_time: 133.0, end_time: 133.9
Word: więc, start_time: 133.9, end_time: 134.7
Word: choć, start_time: 134.7, end_time: 135.0
Word: zgrzeszyła, start_time: 135.0, end_time: 136.1
Word: ręka, start_time: 136.1, end_time: 136.5
Word: świętokradcza, start_time: 136.5, end_time: 137.5
Word: Módlmy, start_time: 137.5, end_time: 138.6
Word: się, start_time: 138.6, end_time: 138.7
Word: brać, start_time: 138.7, end_time: 139.1
Word: aby, start_time: 139.1, end_time: 139.4
Word: nasz, start_time: 139.4, end_time: 139.7
Word: zakon, start_time: 139.7, end_time: 140.4
Word: miły, start_time: 140.4, end_time: 140.7
Word: znów, start_time: 140.7, end_time: 141.5
Word: porósł, start_time: 141.5, end_time: 142.3
Word: siły, start_time: 142.3, end_time: 143.0
Word: już, start_time: 143.0, end_time: 143.9
Word: by, start_time: 143.9, end_time: 144.0
Word: zapomniał, start_time: 144.0, end_time: 144.7
Word: Bóg, start_time: 144.7, end_time: 145.1
Word: osły, start_time: 145.1, end_time: 145.7
Word: boleści, start_time: 145.7, end_time: 146.3
Word: smsów, start_time: 146.3, end_time: 147.5
Word: zakupić, start_time: 147.5, end_time: 148.1
Word: dziennie, start_time: 148.1, end_time: 148.8
Word: choć, start_time: 148.8, end_time: 149.3
Word: z, start_time: 149.3, end_time: 149.5
Word: 40, start_time: 149.5, end_time: 150.5
Word: niech, start_time: 150.5, end_time: 151.2
Word: więc, start_time: 151.2, end_time: 151.5
Word: na, start_time: 151.5, end_time: 151.7
Word: tackę, start_time: 151.7, end_time: 152.3
Word: kota, start_time: 152.3, end_time: 152.8
Word: który, start_time: 152.8, end_time: 153.4
Word: może, start_time: 153.4, end_time: 153.8
Word: żółci, start_time: 153.8, end_time: 155.0
Word: w, start_time: 155.0, end_time: 155.1
Word: klasztorze, start_time: 155.1, end_time: 155.9
