Waiting for operation to complete...
Transcript: opowieść dziadkowa o cudach rapperswilskie napisał Boy e-traper Posłuchajcie ludkowie co Wam dziadek opowie niech odpocznie sobie chwila wędruje jaspers Villa straszne cuda tam widział siedzi tam moiściewy Jerzy dziaduś poczciwy na ślub serce się rozumie różne pasy kleić oni zrobili go Kopera jeżdżą ludzie z bliska dolnego zamczyska samego DNA cudzoziemce Young League i córki i Niemce tyczko gęby otwiera jest tam kijek Kościuszki króla Piasta garnuszki i fajeczka Kopernika w której se pan kustosz pyka jak jest w dobrym humorze Szuwarowa nahajka i Kolumba 2 jajka kierezyja Venezia
Confidence: 0.972016453742981
Word: opowieść, start_time: 0.0, end_time: 0.8
Transcript: Gdańska i Dziewica Orleańska syćko wisi zespołem jest też landschaft galanty ty cyjany Rembrandt szampan kustosz ja malował fatygi se nie żałował przedszkola tej ojczyzny zazdrościł 1 drugiej takiej wielkiej zasługi zrobiły się strasznie chryję dawajcie sztuk Conversy je niech jak było u świadczy więc Zamczysko obronne jadą głowy koronne Lament robią żałośni wy że w tej Polsce nieszczęśliwej ja je menthe od kury co to długo pyskować starszych trzeba szanować więc orzekł many sensie że jak było tak i będzie na dobrego przykładu
Confidence: 0.8075749278068542
Word: Gdańska, start_time: 59.9, end_time: 60.4
Word: i, start_time: 60.4, end_time: 60.5
Word: Dziewica, start_time: 60.5, end_time: 61.8
Word: Orleańska, start_time: 61.8, end_time: 62.4
Word: syćko, start_time: 62.4, end_time: 64.1
Word: wisi, start_time: 64.1, end_time: 64.7
Word: zespołem, start_time: 64.7, end_time: 65.5
Word: jest, start_time: 65.5, end_time: 66.5
Word: też, start_time: 66.5, end_time: 66.8
Word: landschaft, start_time: 66.8, end_time: 68.0
Word: galanty, start_time: 68.0, end_time: 68.6
Word: ty, start_time: 68.6, end_time: 69.5
Word: cyjany, start_time: 69.5, end_time: 70.1
Word: Rembrandt, start_time: 70.1, end_time: 71.3
Word: szampan, start_time: 71.3, end_time: 72.5
Word: kustosz, start_time: 72.5, end_time: 73.0
Word: ja, start_time: 73.0, end_time: 73.2
Word: malował, start_time: 73.2, end_time: 73.7
Word: fatygi, start_time: 73.7, end_time: 74.7
Word: se, start_time: 74.7, end_time: 74.9
Word: nie, start_time: 74.9, end_time: 75.2
Word: żałował, start_time: 75.2, end_time: 75.8
Word: przedszkola, start_time: 75.8, end_time: 77.1
Word: tej, start_time: 77.1, end_time: 77.4
Word: ojczyzny, start_time: 77.4, end_time: 77.8
Word: zazdrościł, start_time: 77.8, end_time: 79.8
Word: 1, start_time: 79.8, end_time: 80.1
Word: drugiej, start_time: 80.1, end_time: 80.6
Word: takiej, start_time: 80.6, end_time: 81.2
Word: wielkiej, start_time: 81.2, end_time: 81.8
Word: zasługi, start_time: 81.8, end_time: 82.6
Word: zrobiły, start_time: 82.6, end_time: 83.7
Word: się, start_time: 83.7, end_time: 83.9
Word: strasznie, start_time: 83.9, end_time: 84.7
Word: chryję, start_time: 84.7, end_time: 85.3
Word: dawajcie, start_time: 85.3, end_time: 86.3
Word: sztuk, start_time: 86.3, end_time: 86.9
Word: Conversy, start_time: 86.9, end_time: 87.4
Word: je, start_time: 87.4, end_time: 87.7
Word: niech, start_time: 87.7, end_time: 88.6
Word: jak, start_time: 88.6, end_time: 89.1
Word: było, start_time: 89.1, end_time: 89.5
Word: u, start_time: 89.5, end_time: 89.6
Word: świadczy, start_time: 89.6, end_time: 90.4
Word: więc, start_time: 90.4, end_time: 91.4
Word: Zamczysko, start_time: 91.4, end_time: 92.4
Word: obronne, start_time: 92.4, end_time: 92.9
Word: jadą, start_time: 92.9, end_time: 93.7
Word: głowy, start_time: 93.7, end_time: 94.7
Word: koronne, start_time: 94.7, end_time: 95.4
Word: Lament, start_time: 95.4, end_time: 96.5
Word: robią, start_time: 96.5, end_time: 97.0
Word: żałośni, start_time: 97.0, end_time: 97.6
Word: wy, start_time: 97.6, end_time: 97.8
Word: że, start_time: 97.8, end_time: 98.4
Word: w, start_time: 98.4, end_time: 98.5
Word: tej, start_time: 98.5, end_time: 98.7
Word: Polsce, start_time: 98.7, end_time: 98.9
Word: nieszczęśliwej, start_time: 98.9, end_time: 100.4
Word: ja, start_time: 100.4, end_time: 101.1
Word: je, start_time: 101.1, end_time: 101.3
Word: menthe, start_time: 101.3, end_time: 102.2
Word: od, start_time: 102.2, end_time: 102.5
Word: kury, start_time: 102.5, end_time: 102.9
Word: co, start_time: 102.9, end_time: 103.4
Word: to, start_time: 103.4, end_time: 103.5
Word: długo, start_time: 103.5, end_time: 103.9
Word: pyskować, start_time: 103.9, end_time: 104.5
Word: starszych, start_time: 104.5, end_time: 105.6
Word: trzeba, start_time: 105.6, end_time: 106.0
Word: szanować, start_time: 106.0, end_time: 106.5
Word: więc, start_time: 106.5, end_time: 107.4
Word: orzekł, start_time: 107.4, end_time: 108.1
Word: many, start_time: 108.1, end_time: 108.6
Word: sensie, start_time: 108.6, end_time: 109.0
Word: że, start_time: 109.0, end_time: 109.7
Word: jak, start_time: 109.7, end_time: 110.1
Word: było, start_time: 110.1, end_time: 110.6
Word: tak, start_time: 110.6, end_time: 111.1
Word: i, start_time: 111.1, end_time: 111.3
Word: będzie, start_time: 111.3, end_time: 111.9
Word: na, start_time: 111.9, end_time: 112.7
Word: dobrego, start_time: 112.7, end_time: 113.5
Word: przykładu, start_time: 113.5, end_time: 113.9
