Waiting for operation to complete...
Transcript: ernestyn k powieść obyczajowa skaje tutaj że pensjonarki druga znów była dziewczynka nazywała się ernestynka 1 miała smutek wielki bo ojciec robił serdelki a przeciwnie za to ona była bardzo wykształcona wciąż czytała co się zmieści śliczne francuskie powieści mówili o niej Bóg widzę że jest tylko pół dziewicą nie każda jest taka święta żeby zaraz mieć bliźnięta raz ją ojciec przez to złapał bo Jej narzeczony chrapał straszny krzyk się zrobił w domu że tak czynią po kryjomu każdy wrzeszczał o czym innym jak zwykle w domu rodzinnym ojciec najgorsze wyrazy powtarzał po kilka razy ona płakała cichutko boją przy tym kopnął Wódko a potem jeszcze jej ostro zakazał bawić się z siostrą
Confidence: 0.8972553014755249
Word: ernestyn, start_time: 0.0, end_time: 0.9
Word: Jej, start_time: 35.5, end_time: 35.7
Word: narzeczony, start_time: 35.7, end_time: 36.5
Word: chrapał, start_time: 36.5, end_time: 37.1
Word: straszny, start_time: 37.1, end_time: 38.2
Word: krzyk, start_time: 38.2, end_time: 38.3
Word: się, start_time: 38.3, end_time: 38.7
Word: zrobił, start_time: 38.7, end_time: 39.1
Word: w, start_time: 39.1, end_time: 39.2
Word: domu, start_time: 39.2, end_time: 39.5
Word: że, start_time: 39.5, end_time: 39.9
Word: tak, start_time: 39.9, end_time: 40.1
Word: czynią, start_time: 40.1, end_time: 40.5
Word: po, start_time: 40.5, end_time: 40.8
Word: kryjomu, start_time: 40.8, end_time: 41.1
Word: każdy, start_time: 41.1, end_time: 42.3
Word: wrzeszczał, start_time: 42.3, end_time: 42.9
Word: o, start_time: 42.9, end_time: 43.0
Word: czym, start_time: 43.0, end_time: 43.2
Word: innym, start_time: 43.2, end_time: 43.6
Word: jak, start_time: 43.6, end_time: 44.3
Word: zwykle, start_time: 44.3, end_time: 44.9
Word: w, start_time: 44.9, end_time: 44.9
Word: domu, start_time: 44.9, end_time: 45.2
Word: rodzinnym, start_time: 45.2, end_time: 45.5
Word: ojciec, start_time: 45.5, end_time: 46.5
Word: najgorsze, start_time: 46.5, end_time: 47.4
Word: wyrazy, start_time: 47.4, end_time: 47.9
Word: powtarzał, start_time: 47.9, end_time: 48.8
Word: po, start_time: 48.8, end_time: 48.9
Word: kilka, start_time: 48.9, end_time: 49.5
Word: razy, start_time: 49.5, end_time: 49.6
Word: ona, start_time: 49.6, end_time: 50.8
Word: płakała, start_time: 50.8, end_time: 51.4
Word: cichutko, start_time: 51.4, end_time: 52.3
Word: boją, start_time: 52.3, end_time: 53.0
Word: przy, start_time: 53.0, end_time: 53.3
Word: tym, start_time: 53.3, end_time: 53.6
Word: kopnął, start_time: 53.6, end_time: 54.2
Word: Wódko, start_time: 54.2, end_time: 54.8
Word: a, start_time: 54.8, end_time: 54.9
Word: potem, start_time: 54.9, end_time: 55.9
Word: jeszcze, start_time: 55.9, end_time: 56.3
Word: jej, start_time: 56.3, end_time: 56.7
Word: ostro, start_time: 56.7, end_time: 57.2
Word: zakazał, start_time: 57.2, end_time: 58.2
Word: bawić, start_time: 58.2, end_time: 58.7
Word: się, start_time: 58.7, end_time: 58.8
Word: z, start_time: 58.8, end_time: 58.9
Word: siostrą, start_time: 58.9, end_time: 59.1
Transcript: że się taka sama świnka zrobi jak ta ernestynka z książkami też była heca wszystkie po wrzucał do pieca choć sam nie wiedział dlaczego co ma jedno do drugiego w końcu ustały krzyki poszedł rano do fabryki na co człowiek się Naraża kiedy ojca ma masaże
Confidence: 0.9374353885650635
Word: że, start_time: 59.9, end_time: 60.1
Word: się, start_time: 60.1, end_time: 60.2
Word: taka, start_time: 60.2, end_time: 60.5
Word: sama, start_time: 60.5, end_time: 60.8
Word: świnka, start_time: 60.8, end_time: 61.3
Word: zrobi, start_time: 61.3, end_time: 61.8
Word: jak, start_time: 61.8, end_time: 62.3
Word: ta, start_time: 62.3, end_time: 62.5
Word: ernestynka, start_time: 62.5, end_time: 63.3
Word: z, start_time: 63.3, end_time: 63.5
Word: książkami, start_time: 63.5, end_time: 64.4
Word: też, start_time: 64.4, end_time: 64.7
Word: była, start_time: 64.7, end_time: 65.2
Word: heca, start_time: 65.2, end_time: 65.6
Word: wszystkie, start_time: 65.6, end_time: 66.5
Word: po, start_time: 66.5, end_time: 66.8
Word: wrzucał, start_time: 66.8, end_time: 67.3
Word: do, start_time: 67.3, end_time: 67.4
Word: pieca, start_time: 67.4, end_time: 67.9
Word: choć, start_time: 67.9, end_time: 68.5
Word: sam, start_time: 68.5, end_time: 68.8
Word: nie, start_time: 68.8, end_time: 69.0
Word: wiedział, start_time: 69.0, end_time: 69.3
Word: dlaczego, start_time: 69.3, end_time: 69.5
Word: co, start_time: 69.5, end_time: 70.5
Word: ma, start_time: 70.5, end_time: 70.6
Word: jedno, start_time: 70.6, end_time: 70.8
Word: do, start_time: 70.8, end_time: 71.0
Word: drugiego, start_time: 71.0, end_time: 71.1
Word: w, start_time: 71.1, end_time: 71.6
Word: końcu, start_time: 71.6, end_time: 72.5
Word: ustały, start_time: 72.5, end_time: 73.4
Word: krzyki, start_time: 73.4, end_time: 74.0
Word: poszedł, start_time: 74.0, end_time: 74.9
Word: rano, start_time: 74.9, end_time: 75.3
Word: do, start_time: 75.3, end_time: 75.6
Word: fabryki, start_time: 75.6, end_time: 76.2
Word: na, start_time: 76.2, end_time: 77.1
Word: co, start_time: 77.1, end_time: 77.3
Word: człowiek, start_time: 77.3, end_time: 77.9
Word: się, start_time: 77.9, end_time: 78.1
Word: Naraża, start_time: 78.1, end_time: 78.5
Word: kiedy, start_time: 78.5, end_time: 79.3
Word: ojca, start_time: 79.3, end_time: 79.9
Word: ma, start_time: 79.9, end_time: 80.1
Word: masaże, start_time: 80.1, end_time: 81.2
