Waiting for operation to complete...
Transcript: surfing best friend and daggers pieśni poświęcona krajowemu towarzystwo turystyczne mu pewien gość przejezdny tęskniąc za niewiastą wyszedł szukać przygód w Krakowie na miasto gościu gościu miły gościu gościu nasz Zdaje mi się że ty coś źle w głowie masz nakładać cylinder i cudne lakierki z grubym polarem szeleszczą im papierki stanął Przed zwierciadłem by poprawić strój drżyjcie krakowianki wychodzi nabój elastycznym krokiem obchodzi plantację patrzy komu by to postawić kolację wyszło w prawdzie z krzaków panienek z 100 lecz zdawały mu się nie dość Komfort nieco już nerwowy przebiega ulicę coś gdzieś kiedyś słyszał o Cygan fabryce zatem w tamtą stronę szybko zwraca
Confidence: 0.8585358262062073
Word: surfing, start_time: 0.0, end_time: 1.5
Word: tknąć, start_time: 117.7, end_time: 118.5
Word: się, start_time: 118.5, end_time: 118.7
Word: ani, start_time: 118.7, end_time: 119.3
Word: wasz, start_time: 119.3, end_time: 119.5
Transcript: dobry smoothie sobie diabli wzięli randkę Widzisz ja o tej porze znajdę protestantka lecz Umykać trzeba to niezbity fakt pójdę do teatru ostatni akt gość nasz które zwiedzał cudzoziemskie kraje widywał w teatrach lekkie obyczaje zatem zakupy cukrów cały stos śmiało za kulisy idzie wściubiać nos rozpoczyna z lekka wstępną galanterią dana robi na to minę bardzo serio Płomień oburzenia bije jej dolic u nas proszę pana małżeństwo lub nic wypadł gość z teatru trzęsąc się jak w febrze chęci do hotelu o rachunek żebrze aż do oderberg złamała go złość tak z Krakowa zniknął 1 dobry gość wpisane w roku 1907
Confidence: 0.8470089435577393
Word: dobry, start_time: 119.9, end_time: 121.1
Word: smoothie, start_time: 121.1, end_time: 121.5
Word: sobie, start_time: 121.5, end_time: 121.9
Word: diabli, start_time: 121.9, end_time: 122.9
Word: wzięli, start_time: 122.9, end_time: 123.1
Word: randkę, start_time: 123.1, end_time: 123.8
Word: Widzisz, start_time: 123.8, end_time: 124.6
Word: ja, start_time: 124.6, end_time: 124.8
Word: o, start_time: 124.8, end_time: 124.9
Word: tej, start_time: 124.9, end_time: 125.2
Word: porze, start_time: 125.2, end_time: 125.6
Word: znajdę, start_time: 125.6, end_time: 126.2
Word: protestantka, start_time: 126.2, end_time: 127.1
Word: lecz, start_time: 127.1, end_time: 127.9
Word: Umykać, start_time: 127.9, end_time: 128.6
Word: trzeba, start_time: 128.6, end_time: 129.1
Word: to, start_time: 129.1, end_time: 129.5
Word: niezbity, start_time: 129.5, end_time: 129.9
Word: fakt, start_time: 129.9, end_time: 130.2
Word: pójdę, start_time: 130.2, end_time: 131.2
Word: do, start_time: 131.2, end_time: 131.3
Word: teatru, start_time: 131.3, end_time: 131.9
Word: ostatni, start_time: 131.9, end_time: 133.0
Word: akt, start_time: 133.0, end_time: 133.4
Word: gość, start_time: 133.4, end_time: 134.3
Word: nasz, start_time: 134.3, end_time: 134.6
Word: które, start_time: 134.6, end_time: 134.9
Word: zwiedzał, start_time: 134.9, end_time: 135.4
Word: cudzoziemskie, start_time: 135.4, end_time: 136.3
Word: kraje, start_time: 136.3, end_time: 136.7
Word: widywał, start_time: 136.7, end_time: 137.6
Word: w, start_time: 137.6, end_time: 137.7
Word: teatrach, start_time: 137.7, end_time: 138.3
Word: lekkie, start_time: 138.3, end_time: 139.1
Word: obyczaje, start_time: 139.1, end_time: 139.3
Word: zatem, start_time: 139.3, end_time: 140.6
Word: zakupy, start_time: 140.6, end_time: 141.1
Word: cukrów, start_time: 141.1, end_time: 142.1
Word: cały, start_time: 142.1, end_time: 142.5
Word: stos, start_time: 142.5, end_time: 142.8
Word: śmiało, start_time: 142.8, end_time: 143.8
Word: za, start_time: 143.8, end_time: 144.0
Word: kulisy, start_time: 144.0, end_time: 144.5
Word: idzie, start_time: 144.5, end_time: 145.0
Word: wściubiać, start_time: 145.0, end_time: 145.7
Word: nos, start_time: 145.7, end_time: 146.0
Word: rozpoczyna, start_time: 146.0, end_time: 147.5
Word: z, start_time: 147.5, end_time: 147.6
Word: lekka, start_time: 147.6, end_time: 148.1
Word: wstępną, start_time: 148.1, end_time: 148.7
Word: galanterią, start_time: 148.7, end_time: 149.6
Word: dana, start_time: 149.6, end_time: 150.5
Word: robi, start_time: 150.5, end_time: 150.9
Word: na, start_time: 150.9, end_time: 151.1
Word: to, start_time: 151.1, end_time: 151.3
Word: minę, start_time: 151.3, end_time: 151.7
Word: bardzo, start_time: 151.7, end_time: 152.3
Word: serio, start_time: 152.3, end_time: 152.6
Word: Płomień, start_time: 152.6, end_time: 153.7
Word: oburzenia, start_time: 153.7, end_time: 154.4
Word: bije, start_time: 154.4, end_time: 154.9
Word: jej, start_time: 154.9, end_time: 155.2
Word: dolic, start_time: 155.2, end_time: 155.7
Word: u, start_time: 155.7, end_time: 155.9
Word: nas, start_time: 155.9, end_time: 156.8
Word: proszę, start_time: 156.8, end_time: 157.1
Word: pana, start_time: 157.1, end_time: 157.5
Word: małżeństwo, start_time: 157.5, end_time: 158.5
Word: lub, start_time: 158.5, end_time: 159.1
Word: nic, start_time: 159.1, end_time: 159.3
Word: wypadł, start_time: 159.3, end_time: 160.4
Word: gość, start_time: 160.4, end_time: 160.8
Word: z, start_time: 160.8, end_time: 160.9
Word: teatru, start_time: 160.9, end_time: 161.4
Word: trzęsąc, start_time: 161.4, end_time: 162.5
Word: się, start_time: 162.5, end_time: 162.6
Word: jak, start_time: 162.6, end_time: 163.0
Word: w, start_time: 163.0, end_time: 163.0
Word: febrze, start_time: 163.0, end_time: 163.4
Word: chęci, start_time: 163.4, end_time: 164.5
Word: do, start_time: 164.5, end_time: 164.6
Word: hotelu, start_time: 164.6, end_time: 165.1
Word: o, start_time: 165.1, end_time: 165.2
Word: rachunek, start_time: 165.2, end_time: 166.2
Word: żebrze, start_time: 166.2, end_time: 166.8
Word: aż, start_time: 166.8, end_time: 167.4
Word: do, start_time: 167.4, end_time: 167.6
Word: oderberg, start_time: 167.6, end_time: 168.4
Word: złamała, start_time: 168.4, end_time: 169.0
Word: go, start_time: 169.0, end_time: 169.2
Word: złość, start_time: 169.2, end_time: 169.7
Word: tak, start_time: 169.7, end_time: 170.4
Word: z, start_time: 170.4, end_time: 170.5
Word: Krakowa, start_time: 170.5, end_time: 171.1
Word: zniknął, start_time: 171.1, end_time: 171.7
Word: 1, start_time: 171.7, end_time: 172.7
Word: dobry, start_time: 172.7, end_time: 173.3
Word: gość, start_time: 173.3, end_time: 173.8
Word: wpisane, start_time: 173.8, end_time: 175.1
Word: w, start_time: 175.1, end_time: 175.2
Word: roku, start_time: 175.2, end_time: 175.5
Word: 1907, start_time: 175.5, end_time: 176.8
