Waiting for operation to complete...
Transcript: wiersz inauguracyjny na otwarcie Piątego sezonu zielonego balonika już się piąta zima znaczy jak w tych starych murów cieniu walczymy z odwagą rozpaczy przeciw mózgów rozmiękczenie walczymy mężnie lecz bez wiary przeciw tej Krakowskiej hydrze patrząc rychło ofiary i z naszego grona wydrze przeżyliśmy to w tej sali 5 lat naszych młodych rojem tutaj życie się czerpali z tak zwanej czary upojeni weszliśmy w te ciche bramy w naszych lat młodzieńczych wiośnie niewinni jak dzieci mamy gdy piersi etui radośnie weszliśmy w sercu naszych bieli do tej komnaty zdradzieckiej czyści niby po kąpieli Szambelan dr Lubecki weszliśmy pełni zapału że zmienimy świata kolei że stworzymy Chodź pomału
Confidence: 0.8800098299980164
Word: wiersz, start_time: 0.0, end_time: 0.6000000000000001
Word: rozmiękczenie, start_time: 14.5, end_time: 15.3
Word: walczymy, start_time: 15.3, end_time: 16.6
Word: mężnie, start_time: 16.6, end_time: 17.2
Word: lecz, start_time: 17.2, end_time: 17.7
Word: bez, start_time: 17.7, end_time: 17.9
Word: wiary, start_time: 17.9, end_time: 18.2
Word: przeciw, start_time: 18.2, end_time: 19.1
Word: tej, start_time: 19.1, end_time: 19.2
Word: Krakowskiej, start_time: 19.2, end_time: 19.5
Word: hydrze, start_time: 19.5, end_time: 20.3
Word: patrząc, start_time: 20.3, end_time: 21.5
Word: rychło, start_time: 21.5, end_time: 22.4
Word: ofiary, start_time: 22.4, end_time: 23.2
Word: i, start_time: 23.2, end_time: 23.3
Word: z, start_time: 23.3, end_time: 23.8
Word: naszego, start_time: 23.8, end_time: 24.2
Word: grona, start_time: 24.2, end_time: 24.5
Word: wydrze, start_time: 24.5, end_time: 25.1
Word: przeżyliśmy, start_time: 25.1, end_time: 26.5
Word: to, start_time: 26.5, end_time: 26.8
Word: w, start_time: 26.8, end_time: 26.9
Word: tej, start_time: 26.9, end_time: 27.1
Word: sali, start_time: 27.1, end_time: 27.5
Word: 5, start_time: 27.5, end_time: 28.2
Word: lat, start_time: 28.2, end_time: 28.6
Word: naszych, start_time: 28.6, end_time: 29.0
Word: młodych, start_time: 29.0, end_time: 29.5
Word: rojem, start_time: 29.5, end_time: 30.0
Word: tutaj, start_time: 30.0, end_time: 30.8
Word: życie, start_time: 30.8, end_time: 31.4
Word: się, start_time: 31.4, end_time: 31.6
Word: czerpali, start_time: 31.6, end_time: 32.3
Word: z, start_time: 32.3, end_time: 32.5
Word: tak, start_time: 32.5, end_time: 33.1
Word: zwanej, start_time: 33.1, end_time: 33.6
Word: czary, start_time: 33.6, end_time: 34.1
Word: upojeni, start_time: 34.1, end_time: 35.0
Word: weszliśmy, start_time: 35.0, end_time: 36.0
Word: w, start_time: 36.0, end_time: 36.1
Word: te, start_time: 36.1, end_time: 36.3
Word: ciche, start_time: 36.3, end_time: 36.6
Word: bramy, start_time: 36.6, end_time: 36.9
Word: w, start_time: 36.9, end_time: 37.1
Word: naszych, start_time: 37.1, end_time: 37.7
Word: lat, start_time: 37.7, end_time: 38.0
Word: młodzieńczych, start_time: 38.0, end_time: 38.8
Word: wiośnie, start_time: 38.8, end_time: 39.3
Word: niewinni, start_time: 39.3, end_time: 40.4
Word: jak, start_time: 40.4, end_time: 40.8
Word: dzieci, start_time: 40.8, end_time: 41.3
Word: mamy, start_time: 41.3, end_time: 41.7
Word: gdy, start_time: 41.7, end_time: 42.3
Word: piersi, start_time: 42.3, end_time: 43.0
Word: etui, start_time: 43.0, end_time: 43.5
Word: radośnie, start_time: 43.5, end_time: 44.2
Word: weszliśmy, start_time: 44.2, end_time: 45.4
Word: w, start_time: 45.4, end_time: 45.5
Word: sercu, start_time: 45.5, end_time: 46.0
Word: naszych, start_time: 46.0, end_time: 46.3
Word: bieli, start_time: 46.3, end_time: 46.7
Word: do, start_time: 46.7, end_time: 47.3
Word: tej, start_time: 47.3, end_time: 47.4
Word: komnaty, start_time: 47.4, end_time: 48.0
Word: zdradzieckiej, start_time: 48.0, end_time: 48.8
Word: czyści, start_time: 48.8, end_time: 49.6
Word: niby, start_time: 49.6, end_time: 50.1
Word: po, start_time: 50.1, end_time: 50.2
Word: kąpieli, start_time: 50.2, end_time: 50.8
Word: Szambelan, start_time: 50.8, end_time: 51.8
Word: dr, start_time: 51.8, end_time: 52.5
Word: Lubecki, start_time: 52.5, end_time: 52.8
Word: weszliśmy, start_time: 52.8, end_time: 54.3
Word: pełni, start_time: 54.3, end_time: 54.8
Word: zapału, start_time: 54.8, end_time: 55.0
Word: że, start_time: 55.0, end_time: 55.9
Word: zmienimy, start_time: 55.9, end_time: 56.4
Word: świata, start_time: 56.4, end_time: 56.9
Word: kolei, start_time: 56.9, end_time: 57.3
Word: że, start_time: 57.3, end_time: 57.8
Word: stworzymy, start_time: 57.8, end_time: 58.3
Word: Chodź, start_time: 58.3, end_time: 58.6
Word: pomału, start_time: 58.6, end_time: 59.1
Transcript: co ma we łbie olej nie broniąc się przed męczeństwie nie szliśmy siły najlepsze W pogoni za człowieczeństwem bywa liśmy jako wieprze by zdobyć pogląd Niezłomny na cnotę in a występek w grzechu w kałuży ogromnej Musieliśmy się po pępek dzisiaj gdy pierwsza siwizna bieli naszą skroni z żoną patrzymy sali ojczyzna przyjęła ofiarę ono czy któryś z nas choć w Mogile łezka tej pociechy kiedy zazna by naród wspomniał mile niby król swojego błazna lecz dalej co bądź nas spotka co bądź przypadnie nam w zysku Czy trudów nagroda słodka czy tylko sińce na pysku czyli pierzchną Mroków cienie czy się los zawistny up by Następne pokolenie było w Polsce jeszcze głupsze czyli czeka nas podzięka czy też
Confidence: 0.8402562737464905
Word: co, start_time: 59.9, end_time: 60.7
Word: ma, start_time: 60.7, end_time: 60.9
Word: we, start_time: 60.9, end_time: 61.2
Word: łbie, start_time: 61.2, end_time: 61.5
Word: olej, start_time: 61.5, end_time: 62.0
Word: nie, start_time: 62.0, end_time: 62.8
Word: broniąc, start_time: 62.8, end_time: 63.3
Word: się, start_time: 63.3, end_time: 63.4
Word: przed, start_time: 63.4, end_time: 63.6
Word: męczeństwie, start_time: 63.6, end_time: 64.4
Word: nie, start_time: 64.4, end_time: 65.0
Word: szliśmy, start_time: 65.0, end_time: 65.4
Word: siły, start_time: 65.4, end_time: 65.9
Word: najlepsze, start_time: 65.9, end_time: 66.5
Word: W, start_time: 66.5, end_time: 66.6
Word: pogoni, start_time: 66.6, end_time: 67.5
Word: za, start_time: 67.5, end_time: 67.5
Word: człowieczeństwem, start_time: 67.5, end_time: 68.5
Word: bywa, start_time: 68.5, end_time: 69.3
Word: liśmy, start_time: 69.3, end_time: 69.6
Word: jako, start_time: 69.6, end_time: 70.3
Word: wieprze, start_time: 70.3, end_time: 70.7
Word: by, start_time: 70.7, end_time: 71.3
Word: zdobyć, start_time: 71.3, end_time: 71.7
Word: pogląd, start_time: 71.7, end_time: 72.3
Word: Niezłomny, start_time: 72.3, end_time: 72.9
Word: na, start_time: 72.9, end_time: 73.4
Word: cnotę, start_time: 73.4, end_time: 73.6
Word: in, start_time: 73.6, end_time: 74.2
Word: a, start_time: 74.2, end_time: 74.3
Word: występek, start_time: 74.3, end_time: 74.8
Word: w, start_time: 74.8, end_time: 75.0
Word: grzechu, start_time: 75.0, end_time: 75.9
Word: w, start_time: 75.9, end_time: 76.0
Word: kałuży, start_time: 76.0, end_time: 76.5
Word: ogromnej, start_time: 76.5, end_time: 77.2
Word: Musieliśmy, start_time: 77.2, end_time: 78.1
Word: się, start_time: 78.1, end_time: 78.2
Word: po, start_time: 78.2, end_time: 78.6
Word: pępek, start_time: 78.6, end_time: 79.2
Word: dzisiaj, start_time: 79.2, end_time: 80.3
Word: gdy, start_time: 80.3, end_time: 80.6
Word: pierwsza, start_time: 80.6, end_time: 81.0
Word: siwizna, start_time: 81.0, end_time: 81.6
Word: bieli, start_time: 81.6, end_time: 82.3
Word: naszą, start_time: 82.3, end_time: 82.7
Word: skroni, start_time: 82.7, end_time: 83.2
Word: z, start_time: 83.2, end_time: 83.3
Word: żoną, start_time: 83.3, end_time: 83.7
Word: patrzymy, start_time: 83.7, end_time: 84.7
Word: sali, start_time: 84.7, end_time: 85.3
Word: ojczyzna, start_time: 85.3, end_time: 86.1
Word: przyjęła, start_time: 86.1, end_time: 87.1
Word: ofiarę, start_time: 87.1, end_time: 87.8
Word: ono, start_time: 87.8, end_time: 88.1
Word: czy, start_time: 88.1, end_time: 89.3
Word: któryś, start_time: 89.3, end_time: 89.8
Word: z, start_time: 89.8, end_time: 89.8
Word: nas, start_time: 89.8, end_time: 90.1
Word: choć, start_time: 90.1, end_time: 90.6
Word: w, start_time: 90.6, end_time: 90.7
Word: Mogile, start_time: 90.7, end_time: 91.2
Word: łezka, start_time: 91.2, end_time: 92.1
Word: tej, start_time: 92.1, end_time: 93.1
Word: pociechy, start_time: 93.1, end_time: 93.3
Word: kiedy, start_time: 93.3, end_time: 93.9
Word: zazna, start_time: 93.9, end_time: 94.4
Word: by, start_time: 94.4, end_time: 94.9
Word: naród, start_time: 94.9, end_time: 95.5
Word: wspomniał, start_time: 95.5, end_time: 96.5
Word: mile, start_time: 96.5, end_time: 96.9
Word: niby, start_time: 96.9, end_time: 97.6
Word: król, start_time: 97.6, end_time: 98.0
Word: swojego, start_time: 98.0, end_time: 98.6
Word: błazna, start_time: 98.6, end_time: 99.1
Word: lecz, start_time: 99.1, end_time: 100.1
Word: dalej, start_time: 100.1, end_time: 100.5
Word: co, start_time: 100.5, end_time: 101.1
Word: bądź, start_time: 101.1, end_time: 101.4
Word: nas, start_time: 101.4, end_time: 101.6
Word: spotka, start_time: 101.6, end_time: 102.1
Word: co, start_time: 102.1, end_time: 102.7
Word: bądź, start_time: 102.7, end_time: 102.9
Word: przypadnie, start_time: 102.9, end_time: 103.6
Word: nam, start_time: 103.6, end_time: 103.9
Word: w, start_time: 103.9, end_time: 103.9
Word: zysku, start_time: 103.9, end_time: 104.4
Word: Czy, start_time: 104.4, end_time: 104.5
Word: trudów, start_time: 104.5, end_time: 105.6
Word: nagroda, start_time: 105.6, end_time: 106.1
Word: słodka, start_time: 106.1, end_time: 106.6
Word: czy, start_time: 106.6, end_time: 107.0
Word: tylko, start_time: 107.0, end_time: 107.3
Word: sińce, start_time: 107.3, end_time: 107.9
Word: na, start_time: 107.9, end_time: 108.0
Word: pysku, start_time: 108.0, end_time: 108.4
Word: czyli, start_time: 108.4, end_time: 109.1
Word: pierzchną, start_time: 109.1, end_time: 109.6
Word: Mroków, start_time: 109.6, end_time: 110.2
Word: cienie, start_time: 110.2, end_time: 110.6
Word: czy, start_time: 110.6, end_time: 111.2
Word: się, start_time: 111.2, end_time: 111.3
Word: los, start_time: 111.3, end_time: 111.6
Word: zawistny, start_time: 111.6, end_time: 112.5
Word: up, start_time: 112.5, end_time: 112.8
Word: by, start_time: 112.8, end_time: 113.4
Word: Następne, start_time: 113.4, end_time: 114.0
Word: pokolenie, start_time: 114.0, end_time: 114.7
Word: było, start_time: 114.7, end_time: 115.2
Word: w, start_time: 115.2, end_time: 115.3
Word: Polsce, start_time: 115.3, end_time: 115.6
Word: jeszcze, start_time: 115.6, end_time: 116.2
Word: głupsze, start_time: 116.2, end_time: 116.9
Word: czyli, start_time: 116.9, end_time: 117.6
Word: czeka, start_time: 117.6, end_time: 118.0
Word: nas, start_time: 118.0, end_time: 118.1
Word: podzięka, start_time: 118.1, end_time: 118.7
Word: czy, start_time: 118.7, end_time: 119.2
Word: też, start_time: 119.2, end_time: 119.4
Transcript: u nas błotem niech płynie nowa piosenka Niech się pluska wywiniesz złotem niech i śwista niechaj warczy niby bąk podcięty batem zanim przyjdzie uwiąd starczy jeszcze się pobawimy światem a kiedyś przyszłość odpowiedź Gdy nowych dni wejdą wrzaski kto lepiej służył krajowi luto czy też sierosławski wpisane w roku 1909
Confidence: 0.9688654541969299
Word: u, start_time: 119.9, end_time: 119.9
Word: nas, start_time: 119.9, end_time: 120.3
Word: błotem, start_time: 120.3, end_time: 120.8
Word: niech, start_time: 120.8, end_time: 121.6
Word: płynie, start_time: 121.6, end_time: 122.1
Word: nowa, start_time: 122.1, end_time: 122.6
Word: piosenka, start_time: 122.6, end_time: 123.3
Word: Niech, start_time: 123.3, end_time: 123.9
Word: się, start_time: 123.9, end_time: 124.1
Word: pluska, start_time: 124.1, end_time: 124.8
Word: wywiniesz, start_time: 124.8, end_time: 125.4
Word: złotem, start_time: 125.4, end_time: 125.9
Word: niech, start_time: 125.9, end_time: 126.0
Word: i, start_time: 126.0, end_time: 126.6
Word: śwista, start_time: 126.6, end_time: 127.2
Word: niechaj, start_time: 127.2, end_time: 127.8
Word: warczy, start_time: 127.8, end_time: 128.4
Word: niby, start_time: 128.4, end_time: 128.9
Word: bąk, start_time: 128.9, end_time: 129.4
Word: podcięty, start_time: 129.4, end_time: 130.1
Word: batem, start_time: 130.1, end_time: 130.5
Word: zanim, start_time: 130.5, end_time: 131.3
Word: przyjdzie, start_time: 131.3, end_time: 131.7
Word: uwiąd, start_time: 131.7, end_time: 132.2
Word: starczy, start_time: 132.2, end_time: 132.3
Word: jeszcze, start_time: 132.3, end_time: 133.6
Word: się, start_time: 133.6, end_time: 133.8
Word: pobawimy, start_time: 133.8, end_time: 134.1
Word: światem, start_time: 134.1, end_time: 135.1
Word: a, start_time: 135.1, end_time: 135.3
Word: kiedyś, start_time: 135.3, end_time: 136.0
Word: przyszłość, start_time: 136.0, end_time: 136.9
Word: odpowiedź, start_time: 136.9, end_time: 137.6
Word: Gdy, start_time: 137.6, end_time: 138.2
Word: nowych, start_time: 138.2, end_time: 138.6
Word: dni, start_time: 138.6, end_time: 138.8
Word: wejdą, start_time: 138.8, end_time: 139.4
Word: wrzaski, start_time: 139.4, end_time: 140.0
Word: kto, start_time: 140.0, end_time: 140.6
Word: lepiej, start_time: 140.6, end_time: 140.9
Word: służył, start_time: 140.9, end_time: 141.5
Word: krajowi, start_time: 141.5, end_time: 142.1
Word: luto, start_time: 142.1, end_time: 142.9
Word: czy, start_time: 142.9, end_time: 143.5
Word: też, start_time: 143.5, end_time: 143.7
Word: sierosławski, start_time: 143.7, end_time: 145.1
Word: wpisane, start_time: 145.1, end_time: 146.0
Word: w, start_time: 146.0, end_time: 146.1
Word: roku, start_time: 146.1, end_time: 146.4
Word: 1909, start_time: 146.4, end_time: 147.8
