Waiting for operation to complete...
Transcript: replika kobiety polskiej autorki listu otwartego na odpowiedź młodzieńca polskiego nie tobie mój sowizdrzał złotowłosy piękny paziu nie tobie mój słodki Asiu taka przestała odpowiedź na tęsknoty żale na mojego serca spowiedź ty niewdzięczny to niepomny ty pieszczony jak członek Mentor panieneczki skromnej pół dziewicy pół kochanek ty bawidełko mężatek steblik matek w dół w Gagatek spowiednik arystokratek ty co kupiłeś do przesytu zmysłów najskrytsze dreszcze coś dziś cały ciepły jeszcze od puchu mojej pościeli ty mi mówisz o kądzieli więc ty mimo twego sprytu nie poznałeś mnie na tyle że dla ciebie dokumentem są Marynie i Marylę że dla ciebie pismem Świętym są Aniele i Anielki i tęsknimy produkt wszelki
Confidence: 0.8552223443984985
Word: replika, start_time: 0.0, end_time: 0.8
Word: spowiednik, start_time: 32.2, end_time: 33.3
Word: arystokratek, start_time: 33.3, end_time: 34.2
Word: ty, start_time: 34.2, end_time: 34.9
Word: co, start_time: 34.9, end_time: 35.2
Word: kupiłeś, start_time: 35.2, end_time: 35.6
Word: do, start_time: 35.6, end_time: 35.8
Word: przesytu, start_time: 35.8, end_time: 36.3
Word: zmysłów, start_time: 36.3, end_time: 37.3
Word: najskrytsze, start_time: 37.3, end_time: 38.4
Word: dreszcze, start_time: 38.4, end_time: 38.9
Word: coś, start_time: 38.9, end_time: 39.7
Word: dziś, start_time: 39.7, end_time: 40.1
Word: cały, start_time: 40.1, end_time: 40.6
Word: ciepły, start_time: 40.6, end_time: 41.1
Word: jeszcze, start_time: 41.1, end_time: 41.6
Word: od, start_time: 41.6, end_time: 42.0
Word: puchu, start_time: 42.0, end_time: 42.5
Word: mojej, start_time: 42.5, end_time: 42.8
Word: pościeli, start_time: 42.8, end_time: 43.5
Word: ty, start_time: 43.5, end_time: 44.0
Word: mi, start_time: 44.0, end_time: 44.3
Word: mówisz, start_time: 44.3, end_time: 44.9
Word: o, start_time: 44.9, end_time: 45.1
Word: kądzieli, start_time: 45.1, end_time: 45.8
Word: więc, start_time: 45.8, end_time: 46.6
Word: ty, start_time: 46.6, end_time: 46.8
Word: mimo, start_time: 46.8, end_time: 47.3
Word: twego, start_time: 47.3, end_time: 47.6
Word: sprytu, start_time: 47.6, end_time: 48.2
Word: nie, start_time: 48.2, end_time: 48.7
Word: poznałeś, start_time: 48.7, end_time: 49.1
Word: mnie, start_time: 49.1, end_time: 49.3
Word: na, start_time: 49.3, end_time: 49.5
Word: tyle, start_time: 49.5, end_time: 49.7
Word: że, start_time: 49.7, end_time: 49.9
Word: dla, start_time: 49.9, end_time: 50.6
Word: ciebie, start_time: 50.6, end_time: 50.7
Word: dokumentem, start_time: 50.7, end_time: 51.6
Word: są, start_time: 51.6, end_time: 52.0
Word: Marynie, start_time: 52.0, end_time: 52.7
Word: i, start_time: 52.7, end_time: 52.8
Word: Marylę, start_time: 52.8, end_time: 53.3
Word: że, start_time: 53.3, end_time: 54.0
Word: dla, start_time: 54.0, end_time: 54.2
Word: ciebie, start_time: 54.2, end_time: 54.2
Word: pismem, start_time: 54.2, end_time: 54.9
Word: Świętym, start_time: 54.9, end_time: 55.2
Word: są, start_time: 55.2, end_time: 56.0
Word: Aniele, start_time: 56.0, end_time: 56.7
Word: i, start_time: 56.7, end_time: 56.8
Word: Anielki, start_time: 56.8, end_time: 57.5
Word: i, start_time: 57.5, end_time: 57.7
Word: tęsknimy, start_time: 57.7, end_time: 58.6
Word: produkt, start_time: 58.6, end_time: 59.3
Word: wszelki, start_time: 59.3, end_time: 59.8
Transcript: waszej wytrzebiony jaźni waszej smutnej wyobraźni więc te cuda polskich dziewic swojskiej cnotki miły zapach te gosposie it Zosię które sobie przy bigosie fantazjować Pan Mickiewicz aby znaleźć w nich pociechę po swoich miłosnych klapach czyjejś są tęsknoty FM żyjesz ideały godne A te czułem atramencie urodzony nimfy wodne pana Słowackiego Jula o którego mankamenty wie Dzisiaj każda smarkula i który mu wypomina nawet Świderska Alina a ten trzeci wasz poeta No ten hrabia z dużym nosem któremu każda kobieta co ją ujrzał bez bielizny była symbolem ojczyzny a łóżko ofiarnym stosem tak w Męczeństwa aureoli z każdą po pływał w gondoli potem ona poszła z dzieckiem a on rozmawiał z Czarnieckim Powiedz proszę z jakiej racji Ja mam Abra
Confidence: 0.86423659324646
Word: waszej, start_time: 59.9, end_time: 60.7
Word: wytrzebiony, start_time: 60.7, end_time: 61.5
Word: jaźni, start_time: 61.5, end_time: 62.1
Word: waszej, start_time: 62.1, end_time: 63.0
Word: smutnej, start_time: 63.0, end_time: 63.8
Word: wyobraźni, start_time: 63.8, end_time: 64.5
Word: więc, start_time: 64.5, end_time: 65.2
Word: te, start_time: 65.2, end_time: 65.4
Word: cuda, start_time: 65.4, end_time: 65.7
Word: polskich, start_time: 65.7, end_time: 66.1
Word: dziewic, start_time: 66.1, end_time: 66.6
Word: swojskiej, start_time: 66.6, end_time: 67.7
Word: cnotki, start_time: 67.7, end_time: 68.4
Word: miły, start_time: 68.4, end_time: 68.7
Word: zapach, start_time: 68.7, end_time: 69.0
Word: te, start_time: 69.0, end_time: 69.7
Word: gosposie, start_time: 69.7, end_time: 70.3
Word: it, start_time: 70.3, end_time: 70.8
Word: Zosię, start_time: 70.8, end_time: 71.3
Word: które, start_time: 71.3, end_time: 71.7
Word: sobie, start_time: 71.7, end_time: 71.9
Word: przy, start_time: 71.9, end_time: 72.2
Word: bigosie, start_time: 72.2, end_time: 72.6
Word: fantazjować, start_time: 72.6, end_time: 73.6
Word: Pan, start_time: 73.6, end_time: 73.8
Word: Mickiewicz, start_time: 73.8, end_time: 74.0
Word: aby, start_time: 74.0, end_time: 74.9
Word: znaleźć, start_time: 74.9, end_time: 75.3
Word: w, start_time: 75.3, end_time: 75.5
Word: nich, start_time: 75.5, end_time: 75.7
Word: pociechę, start_time: 75.7, end_time: 76.2
Word: po, start_time: 76.2, end_time: 76.8
Word: swoich, start_time: 76.8, end_time: 77.2
Word: miłosnych, start_time: 77.2, end_time: 77.7
Word: klapach, start_time: 77.7, end_time: 78.3
Word: czyjejś, start_time: 78.3, end_time: 79.4
Word: są, start_time: 79.4, end_time: 79.6
Word: tęsknoty, start_time: 79.6, end_time: 80.3
Word: FM, start_time: 80.3, end_time: 80.7
Word: żyjesz, start_time: 80.7, end_time: 81.7
Word: ideały, start_time: 81.7, end_time: 82.4
Word: godne, start_time: 82.4, end_time: 82.9
Word: A, start_time: 82.9, end_time: 83.0
Word: te, start_time: 83.0, end_time: 84.1
Word: czułem, start_time: 84.1, end_time: 84.9
Word: atramencie, start_time: 84.9, end_time: 85.8
Word: urodzony, start_time: 85.8, end_time: 86.7
Word: nimfy, start_time: 86.7, end_time: 87.2
Word: wodne, start_time: 87.2, end_time: 87.3
Word: pana, start_time: 87.3, end_time: 88.2
Word: Słowackiego, start_time: 88.2, end_time: 89.0
Word: Jula, start_time: 89.0, end_time: 89.3
Word: o, start_time: 89.3, end_time: 89.4
Word: którego, start_time: 89.4, end_time: 90.0
Word: mankamenty, start_time: 90.0, end_time: 91.1
Word: wie, start_time: 91.1, end_time: 91.7
Word: Dzisiaj, start_time: 91.7, end_time: 91.9
Word: każda, start_time: 91.9, end_time: 92.5
Word: smarkula, start_time: 92.5, end_time: 93.0
Word: i, start_time: 93.0, end_time: 93.1
Word: który, start_time: 93.1, end_time: 93.8
Word: mu, start_time: 93.8, end_time: 94.0
Word: wypomina, start_time: 94.0, end_time: 94.6
Word: nawet, start_time: 94.6, end_time: 95.0
Word: Świderska, start_time: 95.0, end_time: 96.1
Word: Alina, start_time: 96.1, end_time: 96.6
Word: a, start_time: 96.6, end_time: 96.8
Word: ten, start_time: 96.8, end_time: 97.3
Word: trzeci, start_time: 97.3, end_time: 97.8
Word: wasz, start_time: 97.8, end_time: 98.1
Word: poeta, start_time: 98.1, end_time: 98.6
Word: No, start_time: 98.6, end_time: 98.9
Word: ten, start_time: 98.9, end_time: 99.1
Word: hrabia, start_time: 99.1, end_time: 100.0
Word: z, start_time: 100.0, end_time: 100.1
Word: dużym, start_time: 100.1, end_time: 100.4
Word: nosem, start_time: 100.4, end_time: 100.6
Word: któremu, start_time: 100.6, end_time: 101.5
Word: każda, start_time: 101.5, end_time: 101.8
Word: kobieta, start_time: 101.8, end_time: 102.0
Word: co, start_time: 102.0, end_time: 102.7
Word: ją, start_time: 102.7, end_time: 102.8
Word: ujrzał, start_time: 102.8, end_time: 103.4
Word: bez, start_time: 103.4, end_time: 103.7
Word: bielizny, start_time: 103.7, end_time: 104.0
Word: była, start_time: 104.0, end_time: 104.8
Word: symbolem, start_time: 104.8, end_time: 105.1
Word: ojczyzny, start_time: 105.1, end_time: 106.0
Word: a, start_time: 106.0, end_time: 106.1
Word: łóżko, start_time: 106.1, end_time: 106.7
Word: ofiarnym, start_time: 106.7, end_time: 107.4
Word: stosem, start_time: 107.4, end_time: 107.8
Word: tak, start_time: 107.8, end_time: 108.6
Word: w, start_time: 108.6, end_time: 108.8
Word: Męczeństwa, start_time: 108.8, end_time: 109.6
Word: aureoli, start_time: 109.6, end_time: 110.2
Word: z, start_time: 110.2, end_time: 110.3
Word: każdą, start_time: 110.3, end_time: 111.0
Word: po, start_time: 111.0, end_time: 111.3
Word: pływał, start_time: 111.3, end_time: 111.8
Word: w, start_time: 111.8, end_time: 111.9
Word: gondoli, start_time: 111.9, end_time: 112.2
Word: potem, start_time: 112.2, end_time: 113.1
Word: ona, start_time: 113.1, end_time: 113.6
Word: poszła, start_time: 113.6, end_time: 113.7
Word: z, start_time: 113.7, end_time: 113.9
Word: dzieckiem, start_time: 113.9, end_time: 114.4
Word: a, start_time: 114.4, end_time: 114.5
Word: on, start_time: 114.5, end_time: 115.0
Word: rozmawiał, start_time: 115.0, end_time: 115.7
Word: z, start_time: 115.7, end_time: 115.8
Word: Czarnieckim, start_time: 115.8, end_time: 116.7
Word: Powiedz, start_time: 116.7, end_time: 117.3
Word: proszę, start_time: 117.3, end_time: 117.7
Word: z, start_time: 117.7, end_time: 117.9
Word: jakiej, start_time: 117.9, end_time: 118.4
Word: racji, start_time: 118.4, end_time: 118.5
Word: Ja, start_time: 118.5, end_time: 119.4
Word: mam, start_time: 119.4, end_time: 119.6
Word: Abra, start_time: 119.6, end_time: 119.9
Transcript: odpowiedzialność za tych figur monstrualny wylęgły imaginacji rozmaitych takich panów więc te przeróżne perwersje lechickich erotomanów polskie matki polskie żony te Grażyny i Aldony ty chcesz uważać za wersję autentyczną kobiecości to się można wściekłości zostaw całą te bibułę złotowłosy paziu słodki Zostaw te androny czułe wielkich duchów małe plotki Wierz mi wszyscy ci poeci to są duże stare dzieci i najgłupsza Panna z pensji nie ma tak śmiesznych pretensji że ktoś stworzył Tadeusza winszujemy sercem całym leczysz każdego geniusza mam nagradzać własnym ciałem płacić długi społeczeństwa ceną mojego panieństwa Zapytajcie się Maryli opowie wam w każdej chwili czuję w kościach do tej pory te Filarecka
Confidence: 0.8968194127082825
Word: odpowiedzialność, start_time: 119.9, end_time: 121.0
Word: za, start_time: 121.0, end_time: 121.5
Word: tych, start_time: 121.5, end_time: 121.8
Word: figur, start_time: 121.8, end_time: 122.1
Word: monstrualny, start_time: 122.1, end_time: 123.2
Word: wylęgły, start_time: 123.2, end_time: 124.4
Word: imaginacji, start_time: 124.4, end_time: 125.6
Word: rozmaitych, start_time: 125.6, end_time: 126.7
Word: takich, start_time: 126.7, end_time: 127.0
Word: panów, start_time: 127.0, end_time: 127.3
Word: więc, start_time: 127.3, end_time: 128.4
Word: te, start_time: 128.4, end_time: 128.6
Word: przeróżne, start_time: 128.6, end_time: 129.3
Word: perwersje, start_time: 129.3, end_time: 130.0
Word: lechickich, start_time: 130.0, end_time: 131.0
Word: erotomanów, start_time: 131.0, end_time: 131.8
Word: polskie, start_time: 131.8, end_time: 132.6
Word: matki, start_time: 132.6, end_time: 133.1
Word: polskie, start_time: 133.1, end_time: 133.8
Word: żony, start_time: 133.8, end_time: 134.1
Word: te, start_time: 134.1, end_time: 134.6
Word: Grażyny, start_time: 134.6, end_time: 135.4
Word: i, start_time: 135.4, end_time: 135.6
Word: Aldony, start_time: 135.6, end_time: 136.4
Word: ty, start_time: 136.4, end_time: 137.0
Word: chcesz, start_time: 137.0, end_time: 137.3
Word: uważać, start_time: 137.3, end_time: 137.9
Word: za, start_time: 137.9, end_time: 138.1
Word: wersję, start_time: 138.1, end_time: 138.5
Word: autentyczną, start_time: 138.5, end_time: 139.4
Word: kobiecości, start_time: 139.4, end_time: 140.3
Word: to, start_time: 140.3, end_time: 140.9
Word: się, start_time: 140.9, end_time: 141.1
Word: można, start_time: 141.1, end_time: 141.4
Word: wściekłości, start_time: 141.4, end_time: 143.1
Word: zostaw, start_time: 143.1, end_time: 143.9
Word: całą, start_time: 143.9, end_time: 144.3
Word: te, start_time: 144.3, end_time: 144.6
Word: bibułę, start_time: 144.6, end_time: 145.1
Word: złotowłosy, start_time: 145.1, end_time: 146.2
Word: paziu, start_time: 146.2, end_time: 146.6
Word: słodki, start_time: 146.6, end_time: 147.2
Word: Zostaw, start_time: 147.2, end_time: 147.9
Word: te, start_time: 147.9, end_time: 148.1
Word: androny, start_time: 148.1, end_time: 148.8
Word: czułe, start_time: 148.8, end_time: 149.3
Word: wielkich, start_time: 149.3, end_time: 150.1
Word: duchów, start_time: 150.1, end_time: 150.7
Word: małe, start_time: 150.7, end_time: 151.0
Word: plotki, start_time: 151.0, end_time: 151.3
Word: Wierz, start_time: 151.3, end_time: 152.2
Word: mi, start_time: 152.2, end_time: 152.5
Word: wszyscy, start_time: 152.5, end_time: 153.2
Word: ci, start_time: 153.2, end_time: 153.4
Word: poeci, start_time: 153.4, end_time: 153.9
Word: to, start_time: 153.9, end_time: 154.4
Word: są, start_time: 154.4, end_time: 154.5
Word: duże, start_time: 154.5, end_time: 155.0
Word: stare, start_time: 155.0, end_time: 155.6
Word: dzieci, start_time: 155.6, end_time: 156.0
Word: i, start_time: 156.0, end_time: 156.3
Word: najgłupsza, start_time: 156.3, end_time: 157.1
Word: Panna, start_time: 157.1, end_time: 157.6
Word: z, start_time: 157.6, end_time: 157.7
Word: pensji, start_time: 157.7, end_time: 158.2
Word: nie, start_time: 158.2, end_time: 158.7
Word: ma, start_time: 158.7, end_time: 158.8
Word: tak, start_time: 158.8, end_time: 159.0
Word: śmiesznych, start_time: 159.0, end_time: 159.8
Word: pretensji, start_time: 159.8, end_time: 160.6
Word: że, start_time: 160.6, end_time: 160.7
Word: ktoś, start_time: 160.7, end_time: 161.3
Word: stworzył, start_time: 161.3, end_time: 161.7
Word: Tadeusza, start_time: 161.7, end_time: 162.3
Word: winszujemy, start_time: 162.3, end_time: 163.4
Word: sercem, start_time: 163.4, end_time: 164.1
Word: całym, start_time: 164.1, end_time: 164.6
Word: leczysz, start_time: 164.6, end_time: 165.5
Word: każdego, start_time: 165.5, end_time: 166.1
Word: geniusza, start_time: 166.1, end_time: 166.7
Word: mam, start_time: 166.7, end_time: 167.2
Word: nagradzać, start_time: 167.2, end_time: 167.8
Word: własnym, start_time: 167.8, end_time: 168.4
Word: ciałem, start_time: 168.4, end_time: 168.6
Word: płacić, start_time: 168.6, end_time: 169.8
Word: długi, start_time: 169.8, end_time: 170.2
Word: społeczeństwa, start_time: 170.2, end_time: 171.0
Word: ceną, start_time: 171.0, end_time: 171.7
Word: mojego, start_time: 171.7, end_time: 172.2
Word: panieństwa, start_time: 172.2, end_time: 172.9
Word: Zapytajcie, start_time: 172.9, end_time: 174.1
Word: się, start_time: 174.1, end_time: 174.2
Word: Maryli, start_time: 174.2, end_time: 174.7
Word: opowie, start_time: 174.7, end_time: 175.7
Word: wam, start_time: 175.7, end_time: 175.8
Word: w, start_time: 175.8, end_time: 176.0
Word: każdej, start_time: 176.0, end_time: 176.0
Word: chwili, start_time: 176.0, end_time: 176.7
Word: czuję, start_time: 176.7, end_time: 177.2
Word: w, start_time: 177.2, end_time: 177.4
Word: kościach, start_time: 177.4, end_time: 177.5
Word: do, start_time: 177.5, end_time: 178.0
Word: tej, start_time: 178.0, end_time: 178.2
Word: pory, start_time: 178.2, end_time: 178.6
Word: te, start_time: 178.6, end_time: 179.0
Word: Filarecka, start_time: 179.0, end_time: 179.8
Transcript: amory i ten poetycki Kierat w jakich przodują pan literat w niewinności szukał chluby mleczkiem pij o zdrowie lubej ballad płacił cały łokcie z sercem czystszy niż paznokcie mierzył zbrojnych pancerz wiary w siłę męską na zamiary takie ma kobieta szanse gdy się zmieszczę w romanse pani która się odważy zerwać nici tych szantaże śluza przekleństw się otwiera puchu marny etcetera pójdź mój paziu chwilę płyną nie dla nas ta gra słów pusta gdy pić zechcesz życia wino zawsze znajdziesz moje usta Chodź pod oknem trubadury giną w lirycznej agonii serwis całej literatury oknem właź
Confidence: 0.8595150709152222
Word: amory, start_time: 179.9, end_time: 180.5
Word: i, start_time: 180.5, end_time: 180.6
Word: ten, start_time: 180.6, end_time: 181.2
Word: poetycki, start_time: 181.2, end_time: 182.1
Word: Kierat, start_time: 182.1, end_time: 182.6
Word: w, start_time: 182.6, end_time: 182.7
Word: jakich, start_time: 182.7, end_time: 183.5
Word: przodują, start_time: 183.5, end_time: 184.4
Word: pan, start_time: 184.4, end_time: 184.9
Word: literat, start_time: 184.9, end_time: 185.6
Word: w, start_time: 185.6, end_time: 185.8
Word: niewinności, start_time: 185.8, end_time: 186.7
Word: szukał, start_time: 186.7, end_time: 187.5
Word: chluby, start_time: 187.5, end_time: 188.0
Word: mleczkiem, start_time: 188.0, end_time: 188.8
Word: pij, start_time: 188.8, end_time: 189.2
Word: o, start_time: 189.2, end_time: 189.3
Word: zdrowie, start_time: 189.3, end_time: 189.9
Word: lubej, start_time: 189.9, end_time: 190.3
Word: ballad, start_time: 190.3, end_time: 191.2
Word: płacił, start_time: 191.2, end_time: 191.9
Word: cały, start_time: 191.9, end_time: 192.1
Word: łokcie, start_time: 192.1, end_time: 192.8
Word: z, start_time: 192.8, end_time: 192.9
Word: sercem, start_time: 192.9, end_time: 193.7
Word: czystszy, start_time: 193.7, end_time: 194.3
Word: niż, start_time: 194.3, end_time: 194.4
Word: paznokcie, start_time: 194.4, end_time: 195.1
Word: mierzył, start_time: 195.1, end_time: 196.0
Word: zbrojnych, start_time: 196.0, end_time: 196.8
Word: pancerz, start_time: 196.8, end_time: 197.4
Word: wiary, start_time: 197.4, end_time: 197.9
Word: w, start_time: 197.9, end_time: 198.0
Word: siłę, start_time: 198.0, end_time: 198.6
Word: męską, start_time: 198.6, end_time: 199.8
Word: na, start_time: 199.8, end_time: 200.0
Word: zamiary, start_time: 200.0, end_time: 200.9
Word: takie, start_time: 200.9, end_time: 201.5
Word: ma, start_time: 201.5, end_time: 201.6
Word: kobieta, start_time: 201.6, end_time: 202.0
Word: szanse, start_time: 202.0, end_time: 202.4
Word: gdy, start_time: 202.4, end_time: 203.0
Word: się, start_time: 203.0, end_time: 203.1
Word: zmieszczę, start_time: 203.1, end_time: 203.6
Word: w, start_time: 203.6, end_time: 203.8
Word: romanse, start_time: 203.8, end_time: 204.7
Word: pani, start_time: 204.7, end_time: 205.4
Word: która, start_time: 205.4, end_time: 205.8
Word: się, start_time: 205.8, end_time: 205.9
Word: odważy, start_time: 205.9, end_time: 206.5
Word: zerwać, start_time: 206.5, end_time: 207.4
Word: nici, start_time: 207.4, end_time: 207.9
Word: tych, start_time: 207.9, end_time: 208.1
Word: szantaże, start_time: 208.1, end_time: 208.7
Word: śluza, start_time: 208.7, end_time: 209.7
Word: przekleństw, start_time: 209.7, end_time: 210.7
Word: się, start_time: 210.7, end_time: 210.8
Word: otwiera, start_time: 210.8, end_time: 211.4
Word: puchu, start_time: 211.4, end_time: 212.2
Word: marny, start_time: 212.2, end_time: 212.3
Word: etcetera, start_time: 212.3, end_time: 213.6
Word: pójdź, start_time: 213.6, end_time: 214.8
Word: mój, start_time: 214.8, end_time: 215.1
Word: paziu, start_time: 215.1, end_time: 215.5
Word: chwilę, start_time: 215.5, end_time: 216.1
Word: płyną, start_time: 216.1, end_time: 216.6
Word: nie, start_time: 216.6, end_time: 217.4
Word: dla, start_time: 217.4, end_time: 217.6
Word: nas, start_time: 217.6, end_time: 217.9
Word: ta, start_time: 217.9, end_time: 218.1
Word: gra, start_time: 218.1, end_time: 218.4
Word: słów, start_time: 218.4, end_time: 218.8
Word: pusta, start_time: 218.8, end_time: 219.4
Word: gdy, start_time: 219.4, end_time: 220.2
Word: pić, start_time: 220.2, end_time: 220.5
Word: zechcesz, start_time: 220.5, end_time: 221.1
Word: życia, start_time: 221.1, end_time: 221.6
Word: wino, start_time: 221.6, end_time: 222.0
Word: zawsze, start_time: 222.0, end_time: 222.8
Word: znajdziesz, start_time: 222.8, end_time: 223.4
Word: moje, start_time: 223.4, end_time: 223.8
Word: usta, start_time: 223.8, end_time: 224.2
Word: Chodź, start_time: 224.2, end_time: 225.2
Word: pod, start_time: 225.2, end_time: 225.5
Word: oknem, start_time: 225.5, end_time: 226.1
Word: trubadury, start_time: 226.1, end_time: 227.0
Word: giną, start_time: 227.0, end_time: 228.0
Word: w, start_time: 228.0, end_time: 228.2
Word: lirycznej, start_time: 228.2, end_time: 228.8
Word: agonii, start_time: 228.8, end_time: 229.4
Word: serwis, start_time: 229.4, end_time: 230.6
Word: całej, start_time: 230.6, end_time: 230.9
Word: literatury, start_time: 230.9, end_time: 231.7
Word: oknem, start_time: 231.7, end_time: 232.6
Word: właź, start_time: 232.6, end_time: 233.0
