Waiting for operation to complete...
Transcript: nastrojów wiosennych nie masz nic milszego ponad ciągnący żeński pensjonat w sumie sznurkiem przez plantację w ciszy z wolna uroczyście zielono pachną wakacje Słońce gdzie się poprzez liście ciągnie podwójny sznureczek takich przemiłych owieczek cieplutko wiosna południe ławeczka próżniactwo boskie myśli rozegrane cudnie jakieś koziołki szelmowskie idą dużo mniejsza mała kobiecości gama cała ptaszek ćwierka gdzieś tam z góry swoich liryk pierwszą serię zapoznanych serc tortury i celibatu mizerię pod kapą granatową rysuje się to i owo w rytm melodii jakiejś sennej kołyszą się stare drzewa w płynie Fa
Confidence: 0.8667283654212952
Word: nastrojów, start_time: 0.0, end_time: 0.9
Word: co, start_time: 62.9, end_time: 63.6
Word: się, start_time: 63.6, end_time: 63.7
Word: śpiewa, start_time: 63.7, end_time: 64.3
Word: tam, start_time: 64.3, end_time: 65.2
Word: mała, start_time: 65.2, end_time: 65.7
Word: mogłaby, start_time: 65.7, end_time: 66.3
Word: troszkę, start_time: 66.3, end_time: 66.7
Word: obciągnąć, start_time: 66.7, end_time: 68.0
Word: sobie, start_time: 68.0, end_time: 68.6
Word: pończoszki, start_time: 68.6, end_time: 69.4
Word: Jakiś, start_time: 69.4, end_time: 70.3
Word: czarny, start_time: 70.3, end_time: 71.0
Word: nieznany, start_time: 71.0, end_time: 71.6
Word: jeszcze, start_time: 71.6, end_time: 72.0
Word: jakieś, start_time: 72.0, end_time: 72.7
Word: czucia, start_time: 72.7, end_time: 73.5
Word: wiotkie, start_time: 73.5, end_time: 74.1
Word: śliczne, start_time: 74.1, end_time: 75.0
Word: jakieś, start_time: 75.0, end_time: 75.6
Word: dziwne, start_time: 75.6, end_time: 76.2
Word: w, start_time: 76.2, end_time: 76.3
Word: piersiach, start_time: 76.3, end_time: 76.7
Word: dreszcze, start_time: 76.7, end_time: 77.4
Word: Pan, start_time: 77.4, end_time: 78.2
Word: i, start_time: 78.2, end_time: 78.4
Word: pani, start_time: 78.4, end_time: 79.1
Word: teistyczne, start_time: 79.1, end_time: 80.5
Word: czy, start_time: 80.5, end_time: 81.3
Word: to, start_time: 81.3, end_time: 81.4
Word: nie, start_time: 81.4, end_time: 81.5
Word: znaczy, start_time: 81.5, end_time: 82.0
Word: przypadkiem, start_time: 82.0, end_time: 82.7
Word: że, start_time: 82.7, end_time: 83.8
Word: czas, start_time: 83.8, end_time: 84.1
Word: mi, start_time: 84.1, end_time: 84.3
Word: już, start_time: 84.3, end_time: 84.5
Word: zostać, start_time: 84.5, end_time: 84.9
Word: dziadkiem, start_time: 84.9, end_time: 85.2
