zaniesłyszałem	za.ɲɛ.swɨˈʂa.wɛm
obeźreć	ɔˈbɛ.ʑrɛt͡ɕ
paświsko	paɕˈfʲi.skɔ
pirwy	ˈpʲir.vɨ
podpatrować	pɔt.paˈtrɔ.vat͡ɕ
połomić	pɔˈwɔ.mʲit͡ɕ
pośli	pɔɕˈlʲ.i
poźreć	ˈpɔ.ʑrɛt͡ɕ
przydą	ˈpʂɨ.dɔ̃
rzyka	ˈʐɨ.ka
sapi	saˈpʲ.i
scepon	ˈst͡sɛ.pɔn
ściezków	ˈɕt͡ɕɛ.skuf
skubel	ˈsku.bɛl
smyśny	ˈsmɨɕ.nɨ
spierą	ˈspʲɛ.rɔ̃
syroka	sɨˈrɔ.ka
tarasić	taˈra.ɕit͡ɕ
tutok	ˈtu.tɔk
ulatować	u.laˈtɔ.vat͡ɕ
umarty	uˈmar.tɨ
uwazować	u.vaˈzɔ.vat͡ɕ
uwidzieć	uˈvʲi.d͡ʑɛt͡ɕ
uźreć	ˈu.ʑrɛt͡ɕ
wnetki	vnɛtˈkʲ.i
wsyćko	ˈfsɨt͡ɕ.kɔ
wyskakować	vɨ.skaˈkɔ.vat͡ɕ
zarozicki	zaˈrɔ.ʑit͡sˈkʲ.i
zlazuj	ˈzla.zuj
cegozem	t͡sɛˈɡɔ.zɛm
wielgośne	vʲɛlˈɡɔɕ.nɛ
baranimózg	ba.raˈɲi.musk
zebronóg	zɛˈbrɔ.nuk
zimnożab	ʑimˈnɔ.ʐap
snać	snat͡ɕ
rędegocik	rɛn.dɛˈɡɔ.t͡ɕik
golzan	ˈɡɔl.zan
kulati	kuˈla.ti
petrop	ˈpɛ.trɔp
trifolanti	trʲi.fɔˈlan.ti
trojca	ˈtrɔj.t͡sa
biednieńki	ˈbʲɛ.dɲɛɲˈkʲ.i
bierą	ˈbʲɛ.rɔ̃
bronim	ˈbrɔ.ɲim
samam	ˈsa.mam
rychtyk	ˈrɨx.tɨk
panajezusową	pa.na.jɛ.zuˈsɔ.vɔ̃
przechyrlam	pʂɛˈxɨr.lam
uścibi	ˈuɕ.t͡ɕiˈbʲ.i
podorówki	pɔˈdɔ.rufˈkʲ.i
doórz	ˈdɔ.uʂ
grochot	ˈɡrɔ.xɔt
oddajem	ɔdˈda.jɛm
harbaty	xarˈba.tɨ
chliwie	ˈxlʲi.vʲɛ
jaże	ˈja.ʐɛ
kinka	ˈkʲin.ka
epicko-szczegółowy	ɛ.pʲit͡s.kɔʂ.t͡ʂɛ.ɡuˈwɔ.vɨ
zdoli	zdɔˈlʲ.i
zdolili	ˈzdɔ.lʲiˈlʲ.i
zdolisz	ˈzdɔ.lʲiʂ
zdolić	ˈzdɔ.lʲit͡ɕ
zdolił	ˈzdɔ.lʲiw
zdolę	ˈzdɔ.lɛ
jeszce	ˈjɛʂ.t͡sɛ
Hempszir	ˈxɛm.pʂir
Portsmut	ˈpɔr.tsmut
Wermont	ˈvɛr.mɔnt
Massaczuzet	mas.saˈt͡ʂu.zɛt
Gedymina	ɡɛ.dɨˈmʲi.na
Gedyminach	ɡɛ.dɨˈmʲi.nax
Gedyminami	ɡɛ.dɨˈmʲi.naˈmʲ.i
Gedyminem	ɡɛ.dɨˈmʲi.nɛm
Gedyminie	ɡɛ.dɨˈmʲi.ɲɛ
Gedyminom	ɡɛ.dɨˈmʲi.nɔm
Gedyminów	ɡɛ.dɨˈmʲi.nuf
Gedyminowi	ɡɛ.dɨˈmʲi.nɔˈvʲ.i
Gedyminowie	ɡɛ.dɨ.mʲiˈnɔ.vʲɛ
gędź	ɡɛɲt͡ɕ
gędzą	ˈɡɛn.d͡zɔ̃
gędząc	ˈɡɛn.d͡zɔnt͡s
gędząca	ɡɛnˈd͡zɔn.t͡sa
gędzącą	ɡɛnˈd͡zɔn.t͡sɔ̃
gędzące	ɡɛnˈd͡zɔn.t͡sɛ
gędzącego	ɡɛn.d͡zɔnˈt͡sɛ.ɡɔ
gędzącej	ɡɛnˈd͡zɔn.t͡sɛj
gędzącemu	ɡɛn.d͡zɔnˈt͡sɛ.mu
gędzący	ɡɛnˈd͡zɔn.t͡sɨ
gędzących	ɡɛnˈd͡zɔn.t͡sɨx
gędzącym	ɡɛnˈd͡zɔn.t͡sɨm
gędzącymi	ɡɛnˈd͡zɔn.t͡sɨˈmʲ.i
gędźcie	ˈɡɛɲ.t͡ɕt͡ɕɛ
gędzę	ˈɡɛn.d͡zɛ
gędzenia	ɡɛnˈd͡zɛ.ɲa
gędzenie	ɡɛnˈd͡zɛ.ɲɛ
gędzeniem	ɡɛnˈd͡zɛ.ɲɛm
gędzeniu	ɡɛnˈd͡zɛ.ɲu
gędzić	ˈɡɛɲ.d͡ʑit͡ɕ
gędzicie	ɡɛɲˈd͡ʑi.t͡ɕɛ
gędził	ˈɡɛɲ.d͡ʑiw
gędziła	ɡɛɲˈd͡ʑi.wa
gędziłaby	ɡɛɲ.d͡ʑiˈwa.bɨ
gędziłabym	ɡɛɲ.d͡ʑiˈwa.bɨm
gędziłabyś	ɡɛɲ.d͡ʑiˈwa.bɨɕ
gędziłam	ɡɛɲˈd͡ʑi.wam
gędziłaś	ɡɛɲˈd͡ʑi.waɕ
gędziłby	ɡɛɲˈd͡ʑiw.bɨ
gędziłbym	ɡɛɲˈd͡ʑiw.bɨm
gędziłbyś	ɡɛɲˈd͡ʑiw.bɨɕ
gędziłem	ɡɛɲˈd͡ʑi.wɛm
gędziłeś	ɡɛɲˈd͡ʑi.wɛɕ
gędzili	ˈɡɛɲ.d͡ʑiˈlʲ.i
gędziliby	ɡɛɲ.d͡ʑiˈlʲi.bɨ
gędzilibyście	ɡɛɲ.d͡ʑi.lʲiˈbɨɕ.t͡ɕɛ
gędzilibyśmy	ɡɛɲ.d͡ʑi.lʲiˈbɨɕ.mɨ
gędziliście	ɡɛɲ.d͡ʑiˈlʲiɕ.t͡ɕɛ
gędziliśmy	ɡɛɲ.d͡ʑiˈlʲiɕ.mɨ
gędziło	ɡɛɲˈd͡ʑi.wɔ
gędziłoby	ɡɛɲ.d͡ʑiˈwɔ.bɨ
gędziły	ɡɛɲˈd͡ʑi.wɨ
gędziłyby	ɡɛɲ.d͡ʑiˈwɨ.bɨ
gędziłybyście	ɡɛɲ.d͡ʑi.wɨˈbɨɕ.t͡ɕɛ
gędziłybyśmy	ɡɛɲ.d͡ʑi.wɨˈbɨɕ.mɨ
gędziłyście	ɡɛɲ.d͡ʑiˈwɨɕ.t͡ɕɛ
gędziłyśmy	ɡɛɲ.d͡ʑiˈwɨɕ.mɨ
gędzimy	ɡɛɲˈd͡ʑi.mɨ
gędzisz	ˈɡɛɲ.d͡ʑiʂ
gędźmy	ˈɡɛɲ.d͡ʑmɨ
gędzono	ɡɛnˈd͡zɔ.nɔ
Genowef	ɡɛˈnɔ.vɛf
Genowefą	ɡɛ.nɔˈvɛ.fɔ̃
Genowefach	ɡɛ.nɔˈvɛ.fax
Genowefami	ɡɛ.nɔˈvɛ.faˈmʲ.i
Genowefę	ɡɛ.nɔˈvɛ.fɛ
Genowefie	ɡɛ.nɔˈvɛ.fʲɛ
Genowefo	ɡɛ.nɔˈvɛ.fɔ
Genowefom	ɡɛ.nɔˈvɛ.fɔm
Genowefy	ɡɛ.nɔˈvɛ.fɨ
Gertrud	ˈɡɛr.trut
Gertrudą	ɡɛrˈtru.dɔ̃
Gertrudach	ɡɛrˈtru.dax
Gertrudami	ɡɛrˈtru.daˈmʲ.i
Gertrudo	ɡɛrˈtru.dɔ
Gertrudom	ɡɛrˈtru.dɔm
Gertrudzie	ɡɛrˈtru.d͡ʑɛ
geszefciarza	ɡɛ.ʂɛfˈt͡ɕa.ʐa
geszefciarzach	ɡɛ.ʂɛfˈt͡ɕa.ʐax
geszefciarzami	ɡɛ.ʂɛfˈt͡ɕa.ʐaˈmʲ.i
geszefciarze	ɡɛ.ʂɛfˈt͡ɕa.ʐɛ
geszefciarzem	ɡɛ.ʂɛfˈt͡ɕa.ʐɛm
geszefciarzom	ɡɛ.ʂɛfˈt͡ɕa.ʐɔm
geszefciarzów	ɡɛ.ʂɛfˈt͡ɕa.ʐuf
geszefciarzowi	ɡɛ.ʂɛfˈt͡ɕa.ʐɔˈvʲ.i
geszefciarzu	ɡɛ.ʂɛfˈt͡ɕa.ʐu
geszefciarzy	ɡɛ.ʂɛfˈt͡ɕa.ʐɨ
Getyndze	ɡɛˈtɨn.d͡zɛ
Getyng	ˈɡɛ.tɨnk
Getynga	ɡɛˈtɨn.ɡa
Getyngą	ɡɛˈtɨn.ɡɔ̃
Getyngach	ɡɛˈtɨn.ɡax
Getyngami	ɡɛˈtɨn.ɡaˈmʲ.i
Getyngo	ɡɛˈtɨn.ɡɔ
Getyngom	ɡɛˈtɨn.ɡɔm
gicie	ˈɡʲi.t͡ɕɛ
gita	ˈɡʲi.ta
gitach	ˈɡʲi.tax
gitami	ˈɡʲi.taˈmʲ.i
gitem	ˈɡʲi.tɛm
gitom	ˈɡʲi.tɔm
gitów	ˈɡʲi.tuf
gitowi	ˈɡʲi.tɔˈvʲ.i
gitowie	ɡʲiˈtɔ.vʲɛ
gładzin	ˈɡwa.d͡ʑin
gładzina	ɡwaˈd͡ʑi.na
gładziną	ɡwaˈd͡ʑi.nɔ̃
gładzinami	ɡwaˈd͡ʑi.naˈmʲ.i
gładzinę	ɡwaˈd͡ʑi.nɛ
gładzinie	ɡwaˈd͡ʑi.ɲɛ
gładzino	ɡwaˈd͡ʑi.nɔ
gładzinom	ɡwaˈd͡ʑi.nɔm
gładziny	ɡwaˈd͡ʑi.nɨ
glaukom	ˈɡlaw.kɔm
glaukomą	ɡlawˈkɔ.mɔ̃
glaukomach	ɡlawˈkɔ.max
glaukomami	ɡlawˈkɔ.maˈmʲ.i
glaukomę	ɡlawˈkɔ.mɛ
glaukomie	ɡlawˈkɔ.mʲɛ
glaukomo	ɡlawˈkɔ.mɔ
glaukomom	ɡlawˈkɔ.mɔm
glaukomy	ɡlawˈkɔ.mɨ
głazika	ɡwaˈʑi.ka
głazikach	ɡwaˈʑi.kax
głazikami	ɡwaˈʑi.kaˈmʲ.i
głaziki	ˈɡwa.ʑiˈkʲ.i
głazikiem	ɡwaˈʑi.kʲɛm
głazikom	ɡwaˈʑi.kɔm
głazików	ɡwaˈʑi.kuf
głazikowi	ɡwaˈʑi.kɔˈvʲ.i
głaziku	ɡwaˈʑi.ku
głębinna	ɡwɛmˈbʲin.na
głębinną	ɡwɛmˈbʲin.nɔ̃
głębinne	ɡwɛmˈbʲin.nɛ
głębinnej	ɡwɛmˈbʲin.nɛj
głębinnemu	ɡwɛm.bʲinˈnɛ.mu
głębinni	ˈɡwɛm.bʲinˈɲ.i
głębinny	ɡwɛmˈbʲin.nɨ
głębinnych	ɡwɛmˈbʲin.nɨx
głębinnym	ɡwɛmˈbʲin.nɨm
głębinnymi	ɡwɛmˈbʲin.nɨˈmʲ.i
Glenach	ˈɡlɛ.nax
Glenami	ˈɡlɛ.naˈmʲ.i
Glenie	ˈɡlɛ.ɲɛ
Glenom	ˈɡlɛ.nɔm
Glenów	ˈɡlɛ.nuf
Glenowie	ɡlɛˈnɔ.vʲɛ
globtroter	ɡlɔpˈtrɔ.tɛr
globtrotera	ɡlɔp.trɔˈtɛ.ra
globtroterami	ɡlɔp.trɔˈtɛ.raˈmʲ.i
globtroterem	ɡlɔp.trɔˈtɛ.rɛm
globtroterom	ɡlɔp.trɔˈtɛ.rɔm
globtroterów	ɡlɔp.trɔˈtɛ.ruf
globtroterowi	ɡlɔp.trɔˈtɛ.rɔˈvʲ.i
globtroterze	ɡlɔp.trɔˈtɛ.ʐɛ
globtroterzy	ɡlɔp.trɔˈtɛ.ʐɨ
gnatkach	ˈɡnat.kax
gnatkami	ˈɡnat.kaˈmʲ.i
gnatkom	ˈɡnat.kɔm
gnatków	ˈɡnat.kuf
gnojek	ˈɡnɔ.jɛk
gnojka	ˈɡnɔj.ka
gnojkach	ˈɡnɔj.kax
gnojkami	ˈɡnɔj.kaˈmʲ.i
gnojkiem	ˈɡnɔj.kʲɛm
gnojkom	ˈɡnɔj.kɔm
gnojków	ˈɡnɔj.kuf
gnojkowi	ˈɡnɔj.kɔˈvʲ.i
gnojkowie	ɡnɔjˈkɔ.vʲɛ
godzinnika	ɡɔ.d͡ʑinˈɲi.ka
godzinnikach	ɡɔ.d͡ʑinˈɲi.kax
godzinnikami	ɡɔ.d͡ʑinˈɲi.kaˈmʲ.i
godzinniki	ɡɔˈd͡ʑin.ɲiˈkʲ.i
godzinnikiem	ɡɔ.d͡ʑinˈɲi.kʲɛm
godzinnikom	ɡɔ.d͡ʑinˈɲi.kɔm
godzinników	ɡɔ.d͡ʑinˈɲi.kuf
godzinnikowi	ɡɔ.d͡ʑinˈɲi.kɔˈvʲ.i
godzinniku	ɡɔ.d͡ʑinˈɲi.ku
golarza	ɡɔˈla.ʐa
golarzach	ɡɔˈla.ʐax
golarzami	ɡɔˈla.ʐaˈmʲ.i
golarzem	ɡɔˈla.ʐɛm
golarzom	ɡɔˈla.ʐɔm
golarzów	ɡɔˈla.ʐuf
golarzowi	ɡɔˈla.ʐɔˈvʲ.i
golarzu	ɡɔˈla.ʐu
golarzy	ɡɔˈla.ʐɨ
golutcy	ɡɔˈlut.t͡sɨ
golutka	ɡɔˈlut.ka
golutką	ɡɔˈlut.kɔ̃
golutkich	ɡɔˈlut.kʲix
golutkie	ɡɔˈlut.kʲɛ
golutkiego	ɡɔ.lutˈkʲɛ.ɡɔ
golutkiej	ɡɔˈlut.kʲɛj
golutkiemu	ɡɔ.lutˈkʲɛ.mu
golutkim	ɡɔˈlut.kʲim
golutkimi	ɡɔˈlut.kʲiˈmʲ.i
gonciarz	ˈɡɔn.t͡ɕaʂ
gonciarza	ɡɔnˈt͡ɕa.ʐa
gonciarzach	ɡɔnˈt͡ɕa.ʐax
gonciarzami	ɡɔnˈt͡ɕa.ʐaˈmʲ.i
gonciarze	ɡɔnˈt͡ɕa.ʐɛ
gonciarzem	ɡɔnˈt͡ɕa.ʐɛm
gonciarzom	ɡɔnˈt͡ɕa.ʐɔm
gonciarzów	ɡɔnˈt͡ɕa.ʐuf
gonciarzowi	ɡɔnˈt͡ɕa.ʐɔˈvʲ.i
gonciarzu	ɡɔnˈt͡ɕa.ʐu
gorącościach	ɡɔ.rɔnˈt͡sɔɕ.t͡ɕax
gorącościami	ɡɔ.rɔnˈt͡sɔɕ.t͡ɕaˈmʲ.i
gorącościom	ɡɔ.rɔnˈt͡sɔɕ.t͡ɕɔm
góralika	ɡu.raˈlʲi.ka
góralikach	ɡu.raˈlʲi.kax
góralikami	ɡu.raˈlʲi.kaˈmʲ.i
góralikiem	ɡu.raˈlʲi.kʲɛm
góralikom	ɡu.raˈlʲi.kɔm
góralików	ɡu.raˈlʲi.kuf
góralikowi	ɡu.raˈlʲi.kɔˈvʲ.i
góralikowie	ɡu.ra.lʲiˈkɔ.vʲɛ
góraliku	ɡu.raˈlʲi.ku
górnolotniej	ɡur.nɔˈlɔt.ɲɛj
gospodarniej	ɡɔ.spɔˈdar.ɲɛj
gospodnia	ɡɔˈspɔ.dɲa
gospodnią	ɡɔˈspɔ.dɲɔ̃
gospodnich	ɡɔˈspɔ.dɲix
gospodnie	ɡɔˈspɔ.dɲɛ
gospodniego	ɡɔ.spɔˈdɲɛ.ɡɔ
gospodniemu	ɡɔ.spɔˈdɲɛ.mu
gospodnim	ɡɔˈspɔ.dɲim
gospodnimi	ɡɔˈspɔ.dɲiˈmʲ.i
grabarscy	ɡraˈbar.st͡sɨ
grabarska	ɡraˈbar.ska
grabarską	ɡraˈbar.skɔ̃
grabarski	ˈɡra.barsˈkʲ.i
grabarskich	ɡraˈbar.skʲix
grabarskiego	ɡra.barˈskʲɛ.ɡɔ
grabarskiej	ɡraˈbar.skʲɛj
grabarskiemu	ɡra.barˈskʲɛ.mu
grabarskim	ɡraˈbar.skʲim
grabarskimi	ɡraˈbar.skʲiˈmʲ.i
Grąbczewscy	ɡrɔmˈpt͡ʂɛf.st͡sɨ
Grąbczewski	ˈɡrɔm.pt͡ʂɛfsˈkʲ.i
Grąbczewskich	ɡrɔmˈpt͡ʂɛf.skʲix
Grąbczewskiemu	ɡrɔm.pt͡ʂɛfˈskʲɛ.mu
Grąbczewskim	ɡrɔmˈpt͡ʂɛf.skʲim
Grąbczewskimi	ɡrɔmˈpt͡ʂɛf.skʲiˈmʲ.i
Grabińscy	ɡraˈbʲiɲ.st͡sɨ
Grabińskich	ɡraˈbʲiɲ.skʲix
Grabińskiego	ɡra.bʲiɲˈskʲɛ.ɡɔ
Grabińskiemu	ɡra.bʲiɲˈskʲɛ.mu
Grabińskim	ɡraˈbʲiɲ.skʲim
Grabińskimi	ɡraˈbʲiɲ.skʲiˈmʲ.i
gradus	ˈɡra.dus
gradusa	ɡraˈdu.sa
gradusach	ɡraˈdu.sax
gradusami	ɡraˈdu.saˈmʲ.i
gradusem	ɡraˈdu.sɛm
gradusie	ɡraˈdu.ɕɛ
gradusom	ɡraˈdu.sɔm
gradusów	ɡraˈdu.suf
gradusowi	ɡraˈdu.sɔˈvʲ.i
gradusu	ɡraˈdu.su
granatowoczarna	ɡra.na.tɔ.vɔˈt͡ʂar.na
granatowoczarną	ɡra.na.tɔ.vɔˈt͡ʂar.nɔ̃
granatowoczarne	ɡra.na.tɔ.vɔˈt͡ʂar.nɛ
granatowoczarnego	ɡra.na.tɔ.vɔ.t͡ʂarˈnɛ.ɡɔ
granatowoczarnej	ɡra.na.tɔ.vɔˈt͡ʂar.nɛj
granatowoczarnemu	ɡra.na.tɔ.vɔ.t͡ʂarˈnɛ.mu
granatowoczarni	ɡra.na.tɔˈvɔ.t͡ʂarˈɲ.i
granatowoczarnych	ɡra.na.tɔ.vɔˈt͡ʂar.nɨx
granatowoczarnym	ɡra.na.tɔ.vɔˈt͡ʂar.nɨm
granatowoczarnymi	ɡra.na.tɔ.vɔˈt͡ʂar.nɨˈmʲ.i
Greczynce	ɡrɛˈt͡ʂɨn.t͡sɛ
Greczynek	ɡrɛˈt͡ʂɨ.nɛk
Greczynką	ɡrɛˈt͡ʂɨn.kɔ̃
Greczynkach	ɡrɛˈt͡ʂɨn.kax
Greczynkami	ɡrɛˈt͡ʂɨn.kaˈmʲ.i
Greczynkę	ɡrɛˈt͡ʂɨn.kɛ
Greczynki	ˈɡrɛ.t͡ʂɨnˈkʲ.i
Greczynko	ɡrɛˈt͡ʂɨn.kɔ
Greczynkom	ɡrɛˈt͡ʂɨn.kɔm
Grochowach	ɡrɔˈxɔ.vax
Grochowami	ɡrɔˈxɔ.vaˈmʲ.i
Grochowie	ɡrɔˈxɔ.vʲɛ
Grochowom	ɡrɔˈxɔ.vɔm
Grochowów	ɡrɔˈxɔ.vuf
Grochowowi	ɡrɔˈxɔ.vɔˈvʲ.i
Grochowu	ɡrɔˈxɔ.vu
gródek	ˈɡru.dɛk
grodeturowa	ɡrɔ.dɛ.tuˈrɔ.va
grodeturową	ɡrɔ.dɛ.tuˈrɔ.vɔ̃
grodeturowe	ɡrɔ.dɛ.tuˈrɔ.vɛ
grodeturowego	ɡrɔ.dɛ.tu.rɔˈvɛ.ɡɔ
grodeturowej	ɡrɔ.dɛ.tuˈrɔ.vɛj
grodeturowemu	ɡrɔ.dɛ.tu.rɔˈvɛ.mu
grodeturowi	ɡrɔ.dɛˈtu.rɔˈvʲ.i
grodeturowych	ɡrɔ.dɛ.tuˈrɔ.vɨx
grodeturowym	ɡrɔ.dɛ.tuˈrɔ.vɨm
grodeturowymi	ɡrɔ.dɛ.tuˈrɔ.vɨˈmʲ.i
gródka	ˈɡrut.ka
gródką	ˈɡrut.kɔ̃
gródkach	ˈɡrut.kax
gródkami	ˈɡrut.kaˈmʲ.i
gródkę	ˈɡrut.kɛ
gródkiem	ˈɡrut.kʲɛm
gródko	ˈɡrut.kɔ
gródkom	ˈɡrut.kɔm
gródków	ˈɡrut.kuf
gródkowi	ˈɡrut.kɔˈvʲ.i
gródku	ˈɡrut.ku
grykosiej	ɡrɨˈkɔ.ɕɛj
grykosieja	ɡrɨ.kɔˈɕɛ.ja
grykosiejach	ɡrɨ.kɔˈɕɛ.jax
grykosiejami	ɡrɨ.kɔˈɕɛ.jaˈmʲ.i
grykosieje	ɡrɨ.kɔˈɕɛ.jɛ
grykosiejom	ɡrɨ.kɔˈɕɛ.jɔm
grykosiejów	ɡrɨ.kɔˈɕɛ.juf
grykosiejowi	ɡrɨ.kɔˈɕɛ.jɔˈvʲ.i
grykosieju	ɡrɨ.kɔˈɕɛ.ju
Gryzeld	ˈɡrɨ.zɛlt
Gryzeldą	ɡrɨˈzɛl.dɔ̃
Gryzeldach	ɡrɨˈzɛl.dax
Gryzeldami	ɡrɨˈzɛl.daˈmʲ.i
Gryzeldę	ɡrɨˈzɛl.dɛ
Gryzeldo	ɡrɨˈzɛl.dɔ
Gryzeldom	ɡrɨˈzɛl.dɔm
Gryzeldzie	ɡrɨˈzɛl.d͡ʑɛ
grzebyka	ɡʐɛˈbɨ.ka
grzebykach	ɡʐɛˈbɨ.kax
grzebykami	ɡʐɛˈbɨ.kaˈmʲ.i
grzebyki	ˈɡʐɛ.bɨˈkʲ.i
grzebykiem	ɡʐɛˈbɨ.kʲɛm
grzebykom	ɡʐɛˈbɨ.kɔm
grzebyków	ɡʐɛˈbɨ.kuf
grzebykowi	ɡʐɛˈbɨ.kɔˈvʲ.i
grzebyku	ɡʐɛˈbɨ.ku
grzechotliwa	ɡʐɛ.xɔtˈlʲi.va
grzechotliwą	ɡʐɛ.xɔtˈlʲi.vɔ̃
grzechotliwe	ɡʐɛ.xɔtˈlʲi.vɛ
grzechotliwego	ɡʐɛ.xɔt.lʲiˈvɛ.ɡɔ
grzechotliwej	ɡʐɛ.xɔtˈlʲi.vɛj
grzechotliwemu	ɡʐɛ.xɔt.lʲiˈvɛ.mu
grzechotliwi	ɡʐɛˈxɔt.lʲiˈvʲ.i
grzechotliwych	ɡʐɛ.xɔtˈlʲi.vɨx
grzechotliwym	ɡʐɛ.xɔtˈlʲi.vɨm
grzechotliwymi	ɡʐɛ.xɔtˈlʲi.vɨˈmʲ.i
grzeczniuś	ˈɡʐɛt͡ʂ.ɲuɕ
grzeczniusi	ˈɡʐɛt͡ʂ.ɲuˈɕ.i
grzeczniusią	ɡʐɛt͡ʂˈɲu.ɕɔ̃
grzeczniusiach	ɡʐɛt͡ʂˈɲu.ɕax
grzeczniusiami	ɡʐɛt͡ʂˈɲu.ɕaˈmʲ.i
grzeczniusich	ɡʐɛt͡ʂˈɲu.ɕix
