pies	/ˈpʲjɛs/
herbata	[xɛrˈbat̪a]
cebulka	[t͡sɛˈbulka]
dyskietka	[dɨsˈkjɛtka]
zima	[ˈʑima]
klawiatura	[klavjaˈtura]
szkoła	[ˈʂkɔwa]
podłoga	[pɔˈdwɔɡa]
góra	[ˈɡura]
chłopak	[ˈxwɔpak]
budynek	[buˈdɨnɛk]
stół	[stuw]
nauczycielka	[n̪aut͡ʂɨˈt͡ɕɛlka]
nauczyciel	[nauˈt͡ʂɨt͡ɕɛl]
kwiatek	[ˈkfʲatɛk]
ściana	/ˈɕt͡ɕan̪a/
wódka	[ˈvutka]
Sydney	/ˈsɨdni/
Sydney	/ˈsɨdnɛj/
do	/dɔ/
suka	[ˈs̪uka]
mapa	/ˈmapa/
mama	/ˈmama/
er	[ɛr]
facet	[ˈfat͡sɛt]
go	[ɡɔ]
hit	/xit̪/
lit	/lit/
wolny	[ˈvɔlnɨ]
grudzień	/ˈɡrudʑɛɲ/
grudzień	[ˈɡru.d͡ʑej̃]
miesiąc	/ˈmjɛɕɔn̪t͡s̪/
spin	/s̪pin̪/
era	/ˈɛra/
by	[bɨ]
IPA	/ajpiˈɛj/
penis	/ˈpɛ.ɲis̪/
USA	/uɛsˈa/
laser	/ˈlas̪ɛr/
modem	/ˈmɔd̪ɛm/
bieg	[bʲɛk]
nit	/ɲit/
list	[lʲis̪t̪]
house	/xaws/
metal	/ˈmɛtal/
blade	/ˈbladɛ/
klub	/klup/
klimat	[ˈklʲimat]
Oceania	/ɔt͡s̪ɛˈaɲja/
bushido	[buˈɕid̪ɔ]
shogun	/ˈɕɔɡun̪/
chan	/xan̪/
bo	/bɔ/
u	[u]
z	/z/
z	/s/
stop	/ˈstɔp/
syn	/sɨn/
gram	/ɡram/
brew	[brɛf]
manga	[ˈmaŋɡa]
menu	/mɛˈɲi/
sake	[ˈs̪akɛ]
start	/start/
Amsterdam	/ˈams̪t̪ɛrd̪am/
ich	[ix]
hart	[xaɾt]
igloo	/ˈiɡlu/
brat	[brat]
link	[lʲĩŋk]
dzień dobry	/d͡ʑɛɲ ˈdɔbrɨ/
las	[las]
aha	[ʔaˈxa]
temu	[ˈt̪ɛ̃mu]
jaguar	[jaˈɡuar]
polski	[ˈpɔl̪.s̪ʲkʲi]
sześćdziesiąt	[ʂɛɕˈd͡ʑɛɕɔŋt]
dwanaście	/d̪vaˈn̪aɕt͡ɕɛ/
ta	/t̪a/
ta	/t̪a/
ta	/t̪aː/
delta	/ˈdɛlta/
tort	[tɔrt]
chaos	/ˈxaɔs̪/
lambda	/ˈlambd̪a/
mu	[mu]
dam	[d̪ãm]
premier	[ˈprɛmʲɛr]
atom	/ˈat̪ɔm/
echo	/ˈɛxɔ/
aluminium	[alũˈmʲĩɲũm]
krypton	/ˈkrɨptɔn/
radon	/ˈradɔn/
au	/aw/
na	/na/
co	/t͡s̪ɔ/
samuraj	[saˈmuraj]
po	/pɔ/
tu	[t̪u]
pik	[pʲik]
baba	/ˈbaba/
transparent	/trãsˈparɛnt/
tydzień	/ˈtɨdʑɛɲ/
slogan	[ˈslɔɡan]
problem	[ˈprɔblɛ̃m]
rosyjski	[rɔˈs̪ɨjs̪ʲkʲi]
algebra	[alˈɡɛbra]
Barcelona	/ˌbar.t͡s̪ɛ.ˈlɔ.na/
Berlin	/ˈbɛrlin̪/
Dublin	/ˈd̪ublin̪/
bar	/bar/
Helsinki	/xɛlˈs̪in̪ci/
jest	/jɛst/
zoo	[z̪ɔː]
Kabul	/ˈkabul/
Oslo	/ˈɔs̪lɔ/
Surinam	/suˈrinam/
Tirana	/t̪iˈran̪a/
koper	[ˈkɔpɛr]
psi	[pʲɕi]
psi	[ps̪ʲi]
Uzbek	/ˈuzbɛk/
Bergamo	/ˈbɛrɡamɔ/
Bergamo	/bɛrˈɡamɔ/
Brescia	/ˈbrɛʂːa/
Cagliari	/ˈkaljaˌri/
Cagliari	/kalˈjari/
pole	/ˈpɔlɛ/
kilogram	/kʲiˈlɔɡram/
ohm	/ɔm/
kim	[cĩm]
Coventry	/ˈkɔvɛnˌtri/
Jan	[jan]
Hainaut	/ˈxajnawt/
Namur	/ˈnamur/
Sofia	/ˈs̪ɔfja/
ser	[sɛr]
mit	[mʲit̪]
cent	[t͡s̪ɛn̪t̪]
atlas	/ˈatlas/
beret	/ˈbɛrɛt/
lewa	[ˈlɛva]
plan	[plãn̪]
melon	[ˈmɜ.lɔn]
papa	/ˈpapa/
da	/da/
paw	/paf/
Polska	/ˈpɔlska/
je	[jɛ]
hymn	[xɨmn]
Reykjavik	/ˈrɛjkʲavik/
czar	/t͡ʂar/
Drenthe	/ˈdrɛntɛ/
Flevoland	/ˈflɛ.vɔ.ˌlant/
Flevoland	/ˈflɛi̯.vɔ.ˌlant/
zenit	/ˈz̪ɛɲit̪/
poker	/ˈpɔkɛr/
Groningen	/ˈxrɔɲiŋɡɛn/
Groningen	/ˈxrɔwɲiŋɡɛn/
Overijssel	/ɔvɛˈrɛisɛl/
snooker	/ˈsnukɛr/
sumo	[ˈs̪ũmɔ]
harmonia	/xarˈmɔɲja/
less	/ˈlɛsː/
label	/ˈlɛjbɛl/
mango	[ˈmãŋɡɔ]
system	[ˈsɨstɛm]
Egipt	/ˈɛɡʲipt/
sum	/sum/
glut	/ɡlut/
lupa	/ˈlupa/
herb	/xɛrp/
ton	/t̪ɔn̪/
nie	[ɲɛ]
ja	/ja/
auto	[awtɔ]
tom	[t̪ɔ̃m]
tender	/ˈtɛndɛr/
poniedziałek	[pɔɲɛˈd͡ʑawɛk]
rana	[ˈrana]
Gdańsk	/ɡdaɲsk/
Gdańsk	[ɡd̪ãĩ̯s̪k]
Kraków	[ˈkrakuf]
portal	/ˈpɔrt̪al/
tor	[t̪ɔr]
ren	[rɛ̃n̪]
historia	[xʲis̪ˈt̪ɔrʲja]
dom	/d̪ɔm/
stale	/ˈstalɛ/
niedziela	[ɲɛˈd͡ʑɛla]
sobota	/s̪ɔˈbɔt̪a/
woda	[ˈvɔd̪a]
joker	/ˈd͡ʐɔkɛr/
alarm	/ˈalarm/
alkaloid	/alkaˈlɔ.it̪/
blog	[blɔk]
knot	[kn̪ɔt̪]
amen	/ˈamɛn/
materia	/maˈt̪ɛrja/
katakana	/kataˈkana/
Kongo	/ˈkɔŋɡɔ/
demon	/ˈd̪ɛmɔn̪/
Belgia	/ˈbɛlɡʲa/
film	[fʲilm]
Ruanda	/ruˈanda/
Anglia	[ˈãŋɡlʲja]
do widzenia	/dɔ viˈd͡zɛɲa/
step	/stɛp/
AFC	/ˈa ˈɛf ˈt͡sɛ/
WC	/vu.ˈt͡sɛ/
Celt	/t͡sɛlt/
baseball	/ˈbɛjz̪bɔl/
grab	[ɡrap]
hotel	/ˈxɔt̪ɛl/
sad	/s̪at̪/
panna	/ˈpan̪ːa/
ona	/ˈɔn̪a/
ono	/ˈɔn̪ɔ/
oni	[ˈõɲi]
kura	/ˈkura/
ani	/ˈaɲi/
whisky	/ˈwɨs̪kʲi/
kakao	/kaˈkaɔ/
maj	/maj/
chlap	/xlap/
ulica	[uˈlit͡sa]
toga	[ˈtɔɡa]
wie	[vʲjɛ]
luk	/ˈluk/
malina	/maˈlina/
hiragana	/xiraˈɡana/
koza	/ˈkɔzä/
nimi	[ˈɲĩmʲi]
pasta	/ˈpasta/
tsunami	[t͡s̪s̪ũn̪ãmʲi]
rok	[rɔk]
medal	/ˈmɛdal/
statua	[ˈstatua]
much	/mux/
marchewka	[marˈxɛfka]
albatros	[alˈbatrɔs]
albo	[ˈalbɔ]
chart	[xaɾt]
lista	[lʲis̪t̪a]
has	/xas̪/
por	[pɔr]
para	[ˈpara]
geometria	/ɡɛɔˈmɛt̪rja/
frank	[fraŋk]
fragment	/ˈfraɡmɛnt/
bratanek	/braˈtanɛk/
siostrzeniec	[ɕɔsˈt.ʂɛɲɛt͡s]
droga	[ˈd̪rɔɡa]
bu	/buː/
kondom	[ˈkɔndɔm]
kot	[kɔt̪]
lis	[ˈlis]
ptak	/pt̪ak/
wilk	[vilk]
nóż	[nuʂ]
komputer	/kɔmˈput̪ɛr/
szpital	/ˈʂpital/
telefon	/tɛˈlɛfɔn/
widelec	[vʲiˈdɛlɛt͡s]
place	/ˈplat͡sɛ/
kula	[ˈkula]
tata	/ˈt̪at̪a/
astronomia	[as̪t̪rɔ̃ˈn̪ɔ̃mʲja]
tren	[trɛn]
ode	[ɔˈd̪ɛ]
ma	/ma/
jazz	/d͡ʐɛs/
sauna	/ˈsawna/
sauna	[ˈs̪awn̪a]
kamera	/kaˈmɛra/
bryndza	/ˈbɾɨnd͡za/
dobre	[ˈdɔbrɛ]
fotografia	[fɔtɔˈɡrafʲa]
fotograf	/fɔˈtɔɡraf/
mucha	/muxa/
spaghetti	/s̪paˈɡɛt̪t̪i/
mat	[mat̪]
alkoholik	[al.kɔˈxɔ.lʲik]
trolejbus	[trɔˈlɛjbus]
okno	[ˈɔknɔ]
Arab	/ˈarap/
pod	[pɔt̪]
testament	/tɛˈstamɛnt/
moi	/ˈmɔ.i/
jeden	/ˈjɛd̪ɛn̪/
tam	[t̪ãm]
jak	/jak/
jar	/jar/
oko	[ˈɔkɔ]
autor	[ˈawtɔr]
garb	/ˈɡarb/
lada	[ˈlad̪a]
gad	[ɡat]
wymagać	[vɨˈmaɡat͡ɕ]
wymóc	/ˈvɨmut͡s/
wymagania	[vɨmaˈɡaɲa]
jidysz	[ˈjidɨʂ]
cyborg	/ˈt͡s̪ɨbɔrk/
beryl	/ˈbɛrɨl/
mamba	/ˈmamba/
pizda	[ˈpizda]
parapet	/paˈrapɛt/
przychód	[ˈpʂɨxut]
Andy	[ˈandɨ]
kuna	/ˈkuna/
cena	/ˈt͡sɛna/
smacznego	[smat͡ʂˈnɛɡɔ]
ekran	/ˈɛkran/
anagram	/aˈn̪aɡram/
Biblia	[ˈbʲiblʲja]
Europa	/ɛwˈrɔpa/
znowu	[ˈznɔvu]
prosty	[ˈprɔs̪t̪ɨ]
mors	/mɔrs/
Newcastle	/njuˈkasl̩/
figa	[ˈfʲiɡa]
adept	/ˈadɛpt/
aorta	[aˈɔrta]
argot	[arˈɡɔ]
hadron	/ˈxad̪rɔn̪/
cud	[t͡s̪ut̪]
humus	/ˈxumus/
pas	/pas/
pas	/pas/
pas	/pa/
raj	/raj/
sen	[s̪ɛ̃n̪]
biceps	/ˈbi.tsɛps/
embargo	/ɛmˈbarɡɔ/
lot	/lɔt/
paragon	/paˈraɡɔn/
psalm	/psalm/
stadium	/ˈstadjum/
oczywiście	[ɔt͡ʂɨˈvʲiɕt͡ɕɛ]
słońce	[ˈs̪wɔ̃ɲt͡s̪ɛ]
cis	[t͡ɕis]
siostrzenica	[ɕɔst.ʂɛˈɲit͡sa]
bratanica	[brataˈɲit͡sa]
UEFA	/uˈwɛfa/
zebu	/ˈzɛbu/
remis	/ˈrɛmʲis/
Hades	[ˈxadɛs]
sto	/ˈstɔ/
flak	/flak/
iPod	/ˈajpɔt/
robota	[rɔˈbɔt̪a]
norweski	[n̪ɔrˈvɛs̪ʲkʲi]
gluon	/ˈɡluɔn̪/
fermion	/ˈfɛrmjɔn̪/
lepton	/ˈlɛpt̪ɔn̪/
neutrino	/n̪ɛuˈt̪rin̪ɔ/
ketchup	/ˈkɛt͡ʂup/
firma	/ˈfirmä/
Marcin	/ˈmart͡ɕin̪/
ku	/ku/
oda	/ˈɔda/
melodia	/mɛˈlɔd̪ja/
harakiri	/xaraˈkiri/
pieprzyć	[ˈpʲɛpʂɨt͡ɕ]
dialog	/ˈdjalɔk/
seks	/sɛks/
sushi	/ˈsuɕi/
cheeseburger	[t͡ʃiz̪ˈburɡɛr]
Kijów	[ˈcijuf]
motor	/ˈmɔt̪ɔr/
post	[pɔs̪t̪]
Irak	/ˈirak/
trance	/ˈtrɛ̃s/
trance	/ˈtrɛ̃s/
trance	/ˈtrɛ̃su/
trance	/trɛ̃ˈsɔvi/
trance	/ˈtrɛ̃s/
trance	/ˈtrɛ̃sɛm/
trance	/ˈtrɛ̃ɕɛ/
trance	/ˈtrɛ̃ɕɛ/
hal	/ˈxal/
western	/ˈwɛstɛrn/
Arkansas	[ˈarkãz̪as̪]
Connecticut	/kɔˈn̪ɛkt̪ikat̪/
Delaware	/ˈd̪ɛlɛwɛr/
ananas	[aˈna.nas]
halo	/ˈxalɔ/
tal	/tal/
uniform	[uˈɲifɔrm]
Manchester	/ˈmant͡ʂɛsˌtɛr/
Manchester	/ˈmɛnt͡ʂɛsˌtɛr/
Manchester	/manˈt͡ʂɛstɛr/
Manchester	/mɛnˈt͡ʂɛstɛr/
banda	[ˈbãn̪d̪a]
ze	/zɛ/
brody	/ˈbrɔdɨ/
polka	/ˈpɔlka/
Barbara	/barˈbara/
pita	[ˈpʲita]
podcast	/ˈpɔtkast/
etymologia	[ɛtɨmɔˈlɔɡʲja]
hej	[xɛj]
Kamerun	/kaˈmɛrun/
Kanada	/kaˈnada/
energia	[ɛˈnɛrɡʲa]
ponieważ	[pɔˈɲɛvaʂ]
kilka	[ˈkilka]
korekta	[kɔˈɾɛkta]
graham	/ˈɡraxam/
spod	[s̪pɔt̪]
supermarket	[supɛrˈmarkɛt]
adres	/ˈadrɛs/
kto	/ktɔ/
parking	[ˈparcĩŋk]
cholera	/xɔˈlɛra/
Microsoft	/ˈmajkrɔˌsɔft/
angina	/anˈɟina/
potas	[ˈpɔtas]
oso	/ˈɔsɔ/
profil	[ˈprɔfʲil]
brzoza	/ˈbʐɔ.za/
geografia	/ɡɛ.ɔˈɡräfʲä/
HP	/ha ˈpɛ/
centrum	[ˈt͡sɛntrum]
strata	/ˈstrata/
Sahara	/saˈxara/
nobel	/ˈnɔbɛl/
teoria	/t̪ɛˈɔrja/
atmosfera	/at̪mɔs̪ˈfɛra/
turban	[ˈt̪urbãn̪]
patent	/ˈpatɛnt/
meta	/mɛta/
foton	[ˈfɔtɔn]
oregano	/ɔrɛˈɡan̪ɔ/
karat	/ˈkarat/
wtorek	/ˈftɔrɛk/
środa	[ˈɕrɔd̪a]
czwartek	[ˈt͡ʂfartɛk]
piątek	[ˈpʲjɔ̃n̪t̪ɛk]
Hermes	/ˈxɛrmɛs/
sens	[sens]
gór	/ˈɡur/
Knossos	/ˈknɔs.sos/
znak	/znak/
Serbia	/ˈsɛrbja/
chips	[t͡ʂips]
Afganistan	/avɡaˈɲistan/
Maria	/ˈmarja/
mulcz	/mult͡ʂ/
homoseksualny	[xɔmɔsɛksuˈalnɨ]
homoseksualista	/xɔmɔsɛksuaˈlista/
perle	/ˈpɛrlɛ/
a	/a/
Ale	/ˈalɛ/
Anna	/ˈan̪ːa/
Apple	/ˈɛpl/
Bug	[buk]
Hydra	/ˈxɨdra/
Kot	[kɔt̪]
Kuba	/ˈkuba/
Lier	/lir/
Liège	/ˈljeʂ/
Macao	/maˈkaɔ/
Macintosh	/maˈkintɔʂ/
Maj	[ˈmaj]
Monako	/mɔˈnakɔ/
Nil	/ɲil/
Panna	/ˈpan̪ːa/
Pers	/pɛrs/
Polka	/ˈpɔlka/
Ren	[rɛn]
Słońce	[ˈs̪wɔ̃ĩ̯n̪t͡s̪ɛ]
Uran	[ˈuran]
oman	/ˈɔman/
liberia	/liˈbɛrja/
polska	[ˈpɔls̪ka]
einstein	[ˈajnʂtajn]
daniel	/ˈd̪aɲɛl/
sam	[s̪ãm]
dane	/ˈdanɛ/
planeta	[plaˈnɛta]
pierogi	[pʲɛˈrɔɟi]
Islandia	/iˈslandja/
jogurt	/ˈjɔɡurt/
łaciński	/waˈt͡ɕĩj̃sʲci/
Łódź	/wuːt͡ɕ/
sura	/ˈs̪ura/
Swansea	/ˈswɔnzi/
farby	/ˈfarbɨ/
być	[bɨt͡ɕ]
Andora	[anˈdɔra]
angielski	[ãŋˈɟɛls̪ci]
lump	[lũmp]
pismo	[ˈpʲis̪mɔ]
słoń	/s̪wɔɲ/
koń	/kɔɲ/
jantar	[ˈjantaɾ]
grill	/ɡril/
maku	/ˈmaku/
ara	/ˈara/
lato	[ˈlatɔ]
techno	/ˈtɛxnɔ/
oczy	[ɔt͡ʂɨ]
mną	[mn̪ɔ̃w̃]
jej	[jej]
Japonia	/jaˈpɔɲja/
uszom	/ˈuʂɔm/
ucho	[ˈuxɔ]
polscy	/ˈpɔlst͡sɨ/
Moskwa	[ˈmɔskfa]
Wiedeń	/ˈvʲɛd̪ɛɲ/
Francja	/ˈfrant͡sja/
Włochy	/ˈvwɔxɨ/
Białoruś	/bʲjaˈwɔruɕ/
polskim	[ˈpɔlskʲim]
runo	/ˈrunɔ/
pszczoła	[ˈpʂt͡ʂɔwa]
Ukraina	/ukraˈin̪a/
Słowacja	/swɔˈvat͡sja/
kaon	/ˈkaɔn̪/
sok	/sɔk/
itd.	/i tak dalɛj/
jutro	[ˈjut̪rɔ]
aktor	[ˈaktɔr]
aktorka	/akˈtɔrka/
śnieg	/ɕɲɛk/
zim	[ʑim]
prawda	[ˈpravda]
Niemcy	/ˈɲemt͡sɨ/
Jemen	/ˈjɛmɛn/
Litwa	[ˈlʲitfa]
dobry	/ˈd̪ɔbrɨ/
dobrą	[ˈd̪ɔbrɔ̃w̃]
międzynarodowy	/mʲɛ̃d͡zɨnarɔˈdɔvɨ/
Kolumbia	/kɔˈlumbja/
pierwszy	[ˈpʲjɛrfʂɨ]
sześć	/ˈʂɛɕt͡ɕ/
Węgry	/ˈvɛŋɡrɨ/
iBook	/ˈajbuk/
jen	[jɛ̃n̪]
iMac	/ˈajmak/
flet	[ˈflɛt]
swat	/sfat/
Teheran	/t̪ɛˈxɛran̪/
tlen	/tlɛn/
logarytm	[lɔˈɡarɨt̪m̥]
listopad	/lisˈtɔpat/
dnia	/dɲa/
cela	/ˈt͡s̪ɛla/
pisze	/ˈpiʂɛ/
śpiewać	[ˈɕpʲɛvat͡ɕ]
kapo	[ˈkapɔ]
banki	[ˈbãŋʲkʲi]
Bogota	/bɔˈɡɔta/
Bogota	[bɔˈɡɔt̪ä]
Bogota	/ˌbɔɡɔˈta/
Bogota	[ˌbɔɡɔˈt̪ä]
talar	[ˈtalar]
haf	[xaf]
kort	/kɔrt̪/
balkon	/ˈbalkɔn̪/
sól	/s̪ul/
taka	[ˈt̪aka]
inne	[ˈĩn̪ːɛ]
Kirgistan	/kʲirˈɡʲistan/
kultura	[kulˈt̪ura]
francuski	/fran̪ˈt͡s̪us̪kʲi/
politechnika	[pɔlʲiˈtɛxɲika]
bez	[bɛs̪]
orne	/ˈɔrnɛ/
mężczyzna	[mɛ̃ˈʂt͡ʂɨz̪n̪a]
niechlujny	[ɲɛˈxlujnɨ]
Etiopia	/ɛˈtjɔpja/
Madagaskar	/madaˈɡaskar/
casting	[ˈkas̪t̪ʲĩŋk]
delfin	/ˈdɛlfin/
Paryż	/ˈparɨʂ/
Singapur	/siŋˈɡapur/
Maroko	/maˈrɔkɔ/
drzewo	[ˈdʐɛvɔ]
drzewo	[ˈd͡ʐʐɛvɔ]
ulice	/uˈlit͡sɛ/
słodki	/ˈs̪wɔt̪kʲi/
gen	/ɡɛn̪/
Katar	[ˈkatar]
boks	[bɔks̪]
jeść	[jeɕt͡ɕ]
im	[ĩm]
lat	[lat̪]
kometa	/kɔˈmɛta/
itr	[it̪r̥]
rydwan	[ˈrɨdvan]
masa	/ˈmas̪a/
gaz	/ɡas̪/
palma	[ˈpalma]
ducha	/ˈduxa/
Komi	[ˈkɔ̃mʲi]
boku	/ˈbɔku/
Tromsø	/ˈtrɔmsɛ/
Tromsø	/ˈtrumsɛ/
dobra	/ˈdɔbra/
doktor	[ˈd̪ɔkt̪ɔr]
dama	/ˈdama/
bak	[bak]
hel	[xɛl]
srebrna	/ˈsrɛbrna/
hala	/ˈxala/
różowy	/ruˈʐɔvɨ/
czerwony	/t͡ʂɛrˈvɔn̪ɨ/
zielony	/ʑɛˈlɔn̪ɨ/
żółty	/ˈʐuwt̪ɨ/
niebieski	[ɲɛbʲjɛsʲkʲi]
stadia	/ˈstadja/
czarny	[ˈt͡ʂarn̪ɨ]
skarpeta	[skarˈpɛta]
płaszcz	[pwaʂt͡ʂ]
czekać	/ˈt͡ʂɛkat͡ɕ/
lata	[ˈlat̪a]
prepaid	[ˈprɛ.pajt]
prepaid	[pri.pɛjt]
nosy	/ˈnɔsɨ/
cep	/t͡s̪ɛp/
kasa	/ˈkasa/
kusza	/ˈkuʂa/
chuj	/xuj/
noga	[ˈn̪ɔɡa]
mary	/ˈmarɨ/
boja	[ˈbɔja]
druk	[d̪ruk]
dup	[ˈdup]
Horus	/ˈxɔrus/
runa	/ˈruna/
azot	ˈazɔt
harfa	/ˈxarfa/
osa	/ˈɔsa/
grom	/ɡrɔm/
dobro	/ʼd̪ɔbɾɔ/
Malezja	/maˈlɛzja/
sumach	/ˈsumax/
Stany Zjednoczone	/ˈstanɨ zjɛdnɔˈt͡ʂɔnɛ/
ful	/ful/
Karelia	[kaˈrɛlʲja]
rzeczpospolita	/ʐɛt͡ʂpɔsˈpɔʎita/
kos	[kɔs]
kosa	/ˈkɔsa/
cal	/t͡sal/
nic	/ɲit͡s/
coś	[t͡s̪ɔɕ]
ktoś	[ktɔɕ]
zaimki	/zaˈimci/
zaimek	/ˈzaimɛk/
jego	[ˈjɛɡɔ]
wy	/vɨ/
państwo	/ˈpaɲstfɔ/
pani	[ˈpãɲi]
manicure	/maɲiˈkʲir/
grody	[ˈɡrɔdɨ]
Aalborg	/ˈɔlbɔr/
Aalborg	/ˈɔlbɔrk/
Aarhus	/ˈɔrxus/
koks	/kɔks/
pepsi	/ˈpɛps̪i/
Kazachstan	/kaˈz̪axs̪t̪an̪/
jako	/ˈjakɔ/
jakoby	/jaˈkɔbɨ/
obraz	/ˈɔbras/
tato	/ˈt̪at̪ɔ/
Krystyna	/krɨˈs̪t̪ɨn̪a/
nara	[ˈn̪ara]
flota	/ˈflɔta/
Mauretania	/mawrɛˈtaɲja/
cel	[t͡sɛl]
gips	[ɟips̪]
mleko	/ˈmlɛkɔ/
barman	[ˈbarmãn̪]
sporty	/ˈspɔrtɨ/
pana	[ˈpãn̪a]
headshot	/ˈhɛtʂɔt/
sny	[s̪n̪ɨ]
len	/lɛn̪/
tutaj	[ˈt̪ut̪aj]
tej	[t̪ɛj]
fal	/fal/
fos	/fɔs/
huta	/xut̪a/
tego	[ˈt̪ɛɡɔ]
kora	/ˈkɔra/
kusi	[ˈkuɕi]
kosz	/kɔʂ/
kapa	[ˈkapa]
tarka	[ˈt̪arka]
mech	[mɛx]
inni	[ˈĩɲːi]
jaki	[ˈjaci]
wolfram	[ˈvɔlfram]
karp	/karp/
kont	/kɔn̪t̪/
kino	/ˈkʲinɔ/
mur	/mur/
kupa	/ˈkupa/
oba	[ˈɔba]
dobry wieczór	/ˌd̪ɔbrɨ ˈvjɛt͡ʂur/
wieczór	/ˈvʲjɛt͡ʂur/
dobranoc	[d̪ɔˈbrãn̪ɔt͡s̪]
proszę	/ˈprɔʂɛ/
przepraszam	/pʂɛˈpraʂam/
na zdrowie	/na ˈzdrɔvjɛ/
dlaczego	/dlaˈt͡ʂɛɡɔ/
gra	[ɡra]
liść	[lʲiɕt͡ɕ]
raz	[ˈras]
nas	[n̪as̪]
fala	/ˈfala/
fosfor	/ˈfɔsfɔr/
ruten	[ˈrutɛn]
taon	/ˈtaon/
taon	[ˈt̪aɔn̪]
lutet	/ˈlutɛt/
czapka	[ˈt͡ʂapka]
dany	[ˈdanɨ]
tur	/tur/
lotnisko	[lɔtˈɲiskɔ]
bór	/bur/
boso	/ˈbɔsɔ/
cera	[ˈt͡sɛra]
brud	/brut/
buk	[buk]
chory	[ˈxɔrɨ]
doba	/ˈdɔba/
drogi	[ˈd̪rɔɟi]
ksenon	[ˈksɛnɔn]
kruk	/kruk/
lud	/lut̪/
moc	[mɔt͡s̪]
stary	[ˈs̪t̪arɨ]
serce	[ˈs̪ɛrt͡s̪ɛ]
